i,tau,E
0,inf,0.00023
1,0.10943243874229817,0.25345
2,0.057139791266185895,0.50341
3,0.03905472113608493,0.75011
4,0.029658043583054756,0.99354
5,1.740196659087674e-05,1.13386
6,0.024056539643668766,1.23369
7,1.6493186616335987e-05,1.3555
8,0.019698797819771467,1.47056
9,1.3815758049589294e-05,1.57396
10,0.016192672678401056,1.70414
11,1.3900788734068593e-05,1.78926
12,0.01278270305742785,1.93443
13,1.579466428869435e-05,2.00138
14,0.009375786595846834,2.16143
15,1.8597574700691402e-05,2.21032
16,0.006557214221492817,2.38511
17,2.079307090327978e-05,2.4161
18,0.005051990281041972,2.60547
19,2.146055898243623e-05,2.61901
20,2.0598401153715462e-05,2.81791
21,0.004776412018105587,2.82272
22,1.929430794784979e-05,3.01424
23,0.00476079263081417,3.03635
24,6.165994949861376e-08,3.1987
25,1.8098048894921717e-05,3.20726
26,0.004727752389581132,3.24674
27,1.635736008396533e-05,3.39708
28,0.004690292579816609,3.45385
29,6.274896028102293e-08,3.46198
30,1.5447939986003056e-05,3.58367
31,0.004428955560720885,3.65758
32,6.64526408453956e-08,3.72029
33,1.4065387473701528e-05,3.76705
34,0.004320329249808957,3.85789
35,1.2962281294018091e-05,3.94719
36,7.098206679972451e-08,3.97333
37,0.008386005703127275,4.05485
38,1.2211148191434324e-05,4.12408
39,7.182159543362062e-08,4.2208
40,0.019847741480715404,4.24842
41,1.1151038958367745e-05,4.29769
42,0.048651893637897826,4.43847
43,7.610497028006558e-08,4.46232
44,1.0373486268095501e-05,4.46803
45,0.05307687647792007,4.62502
46,9.859137309770377e-06,4.63503
47,8.073872417649147e-08,4.69756
48,9.181270320494857e-06,4.79869
49,0.02634966368547574,4.80799
50,9.038995315648246e-08,4.92607
51,8.857014398263968e-06,4.95897
52,0.02356984548376827,4.98734
53,8.488621761538315e-06,5.11583
54,9.675202488461254e-08,5.14751
55,0.02253517881071758,5.16298
56,8.163522684664474e-06,5.26923
57,0.024047513230102215,5.33483
58,1.1251088980907167e-07,5.36154
59,7.748437277643337e-06,5.41908
60,0.02648804900824667,5.50279
61,7.329465672747622e-06,5.56534
62,1.2021905673535074e-07,5.56804
63,0.026647265645899646,5.66677
64,7.83186140704939e-06,5.70794
65,1.4471905005103433e-07,5.76675
66,0.03126934736045968,5.82664
67,8.145788126165457e-06,5.84683
68,1.755684716799419e-07,5.95797
69,9.318324130119715e-06,5.98191
70,0.24988989756342966,5.98227
71,1.1477583282653506e-05,6.11313
72,0.06036063144655798,6.13349
73,1.5138428309641847e-07,6.1419
74,1.4206501149123948e-05,6.24038
75,0.07079216021115672,6.28016
76,2.454339609970081e-07,6.31885
77,1.7032076772558775e-05,6.36357
78,0.090584147187137,6.42208
79,2.0947179002950532e-05,6.48261
80,2.1390124815809584e-07,6.48937
81,0.10955196919206112,6.55906
82,3.491823684852021e-05,6.59739
83,1.7369614021872357e-07,6.65358
84,0.5535391963375371,6.69085
85,5.177772581563585e-05,6.7078
86,2.794609548898055e-07,6.81179
87,3.908064529496715e-05,6.8137
88,2.659171667768039,6.81721
89,0.00017675714357651013,6.91498
90,3.398294573249502,6.93785
91,4.711992957093327e-07,6.96522
92,0.00011706386581069464,7.01148
93,1.0204640714441677,7.05245
94,0.0002713362015222285,7.10308
95,4.5971850230977404e-07,7.11315
96,0.8983921273296166,7.16065
97,0.0002674060563020769,7.1896
98,1.4510310386401931e-06,7.25698
99,0.33311171927799127,7.26205
100,0.0001961755103469539,7.27088
