i,State
0,X
1,X
2,X
3,X
4,X
5,A
6,X
7,A
8,X
9,A
10,X
11,A
12,X
13,A
14,X
15,A
16,X
17,A
18,X
19,A
20,A
21,X
22,A
23,X
24,B
25,A
26,X
27,A
28,X
29,B
30,A
31,X
32,B
33,A
34,X
35,A
36,B
37,X
38,A
39,B
40,X
41,A
42,X
43,B
44,A
45,X
46,A
47,B
48,A
49,X
50,B
51,A
52,X
53,A
54,B
55,X
56,A
57,X
58,B
59,A
60,X
61,A
62,B
63,X
64,A
65,B
66,X
67,A
68,B
69,A
70,X
71,A
72,X
73,B
74,A
75,X
76,B
77,A
78,X
79,A
80,B
81,X
82,A
83,B
84,X
85,A
86,B
87,A
88,X
89,A
90,X
91,B
92,A
93,X
94,A
95,B
96,X
97,A
98,B
99,X
100,A
