i,v
0,0
1,1
2,2
3,3
4,4
5,0
6,5
7,1
8,6
9,2
10,7
11,3
12,8
13,4
14,9
15,5
16,10
17,6
18,11
19,7
20,8
21,12
22,9
23,13
24,0
25,10
26,14
27,11
28,15
29,1
30,12
31,16
32,2
33,13
34,17
35,14
36,3
37,18
38,15
39,4
40,19
41,16
42,20
43,5
44,17
45,21
46,18
47,6
48,19
49,22
50,7
51,20
52,23
53,21
54,8
55,24
56,22
57,25
58,9
59,23
60,26
61,24
62,10
63,27
64,25
65,11
66,28
67,26
68,12
69,27
70,29
71,28
72,30
73,13
74,29
75,31
76,14
77,30
78,32
79,31
80,15
81,33
82,32
83,16
84,34
85,33
86,17
87,34
88,35
89,35
90,36
91,18
92,36
93,37
94,37
95,19
96,38
97,38
98,20
99,39
100,39
