i,f,tau_if
1,0,0.10943243874229817
2,0,1.2059110179290697
2,1,0.059981920029654155
3,0,376.7543571199306
3,1,0.37110135003476497
3,2,0.04365332385580106
4,0,34.51970395978004
4,1,21.079112070620788
4,2,0.1839531883577259
4,3,0.03545459245047471
4,5,87148225020.62944
5,0,2.266460784690778e-05
5,1,7.761909278603544e-05
5,2,0.002183304666893696
5,3,0.6004025701589447
5,4,1179086.9843977282
6,0,6.264254176924385
6,1,40.300695902300916
6,2,3.6228954305958045
6,3,0.11402763193541482
6,4,0.030926336283324644
6,5,280.7322015579561
6,7,1890167791.194837
7,0,1.923018101535484e-05
7,1,0.0002619607363670525
7,2,0.0002340685685346509
7,3,0.001890733306293253
7,4,0.09101107838902049
7,5,192.09422838516812
7,6,91976.70672978215
8,0,2.530036539251497
8,1,2.0845276972424047
8,2,14.382948123661246
8,3,1.1748425288369158
8,4,0.07968588841666496
8,5,216.89015572660844
8,6,0.02748485956072972
8,7,31.962678927855148
8,9,353539155.9148406
9,0,2.9806934320721647e-05
9,1,2.752311228204682e-05
9,2,0.002512189788475174
9,3,0.0007039033791354085
9,4,0.0015480294963072876
9,5,428.4814684128596
9,6,0.029345593159832435
9,7,158.68475104706263
9,8,196621.1277235001
10,0,1.5171847024561238
10,1,0.5521749560243936
10,2,1.3972260965660428
10,3,5.1665417072063455
10,4,0.5433148614254176
10,5,5892.0400719628415
10,6,0.06036066955900186
10,7,32.583575309937174
10,8,0.025126911001012595
10,9,7.118735619420052
10,11,419922747.5546152
11,0,6.268830304927935e-05
11,1,2.0774468633774908e-05
11,2,0.00020237030337457026
11,3,0.000553493767375165
11,4,0.0020130555217537046
11,5,185.5749929496455
11,6,0.0016742832242638659
11,7,55.47415393042589
11,8,0.12162178914942934
11,9,802.89327096114
11,10,4049030.6611818904
12,0,1.4115729669111416
12,1,0.2484252453330972
12,2,0.20821607289482405
12,3,1.617659104820028
12,4,1.1009305540193814
12,5,446606.9920718988
12,6,0.31739886947467555
12,7,987.7168997536913
12,8,0.04815896983125596
12,9,8.757041053648578
12,10,0.023426541841206516
12,11,2.2186728369984015
12,13,30404998.157036256
13,0,0.0001578434852107593
13,1,2.8310118054494164e-05
13,2,5.540841124775201e-05
13,3,0.004065649443051787
13,4,0.00036788164656543484
13,5,295.7558901046975
13,6,0.019492320431077223
13,7,49.02176379805874
13,8,0.001744977292312488
13,9,18.58672281687226
13,10,0.05686264942681899
13,11,1281.692541320577
13,12,393817.37809702824
14,0,1.8520868412749354
14,1,0.2012057616219611
14,2,0.074251500791141
14,3,0.11198331596525134
14,4,3.041149918205461
14,5,257689.8724242391
14,6,0.4281467739262425
14,7,89685.6982238083
14,8,0.235549327580509
14,9,649.5386483465805
14,10,0.039923271674911914
14,11,3.15103748553959
14,12,0.0220726288610107
14,13,0.8559419869663769
14,15,1711288026.7172263
15,0,0.00044667604061233036
15,1,5.237708514653509e-05
15,2,4.459557541114278e-05
15,3,0.00014377484773740436
15,4,0.23093593067701954
15,5,129802.33063869723
15,6,0.00038025747762049535
15,7,71.37750225706125
15,8,0.6393760701816045
15,9,27.48292431466215
15,10,0.0024913464426607507
15,11,11.780437841147602
15,12,0.04333375089118975
15,13,76.89390839911711
15,14,12167.085153615877
16,0,3.4662824398596306
16,1,0.2680206602461485
16,2,0.06020364869195672
16,3,0.03579135085141152
16,4,0.08656033309242013
16,5,127397.97965458756
16,6,10.582859797732945
16,7,43664.47896895072
16,8,0.22168664488980477
16,9,25153.86561060391
16,10,0.13806194037840439
16,11,165.04335315105652
16,12,0.03397244448484858
16,13,1.3634532597397744
16,14,0.020934626891553794
16,15,0.3860734249040679
16,17,21404399.740796395
17,0,0.0013640533487755536
17,1,0.0001163831111325472
17,2,5.6463615850521687e-05
17,3,6.888727278528925e-05
17,4,0.00034251220565561597
17,5,1765.4672087764484
17,6,0.0008347155232699156
17,7,93.5966657323044
17,8,0.0005116081391345838
17,9,31.81085376332515
17,10,0.005662226492407743
17,11,91.83712870649568
17,12,0.0037560416450999924
17,13,11.2341508307935
17,14,0.039598684152454974
17,15,18.89128689803253
17,16,72009.93062628686
18,0,9.4070077747016
18,1,0.5694308167725023
18,2,0.09155816825514358
18,3,0.03229072134730549
18,4,0.028586894982797005
18,5,30374.815304011663
18,6,0.11386333010372156
18,7,162784.07787161655
18,8,0.9176062305370059
18,9,10633.529015303668
18,10,0.1683628472408033
18,11,2841.695158302693
18,12,0.08131192081644383
18,13,91.58465563439881
18,14,0.029151609794688074
18,15,0.6746456803597212
18,16,0.019952649074349155
18,17,0.1929850682712736
18,19,8867730.78042928
19,0,0.004394515611976263
19,1,0.0002928233504047656
19,2,9.273103482722943e-05
19,3,6.353048726980428e-05
19,4,8.530475499602369e-05
19,5,101.6472856919467
19,6,0.0020610446633662076
19,7,1985.6060419737428
19,8,0.0004056256887822321
19,9,15.85789453822731
19,10,0.0008652311547206837
19,11,20.59058928569268
19,12,0.0023447073547982356
19,13,852.0974791305101
19,14,0.0066672364823531895
19,15,13.382619071936357
19,16,0.040933204087766926
19,17,8.950148672749373
19,18,939091.9710101547
20,0,0.014167214205922384
20,1,0.0007843622869906359
20,2,0.00017761376781033148
20,3,8.153127352222776e-05
20,4,5.7856863234497464e-05
20,5,54.119243253390565
20,6,0.00013297405186831133
20,7,28.711741324170795
20,8,0.0717210674725844
20,9,165.44284815278635
20,10,0.0003055887989948545
20,11,5.032149134416831
20,12,0.0020421660835631987
20,13,17.975104641575065
20,14,0.001568463516142655
20,15,9.541520933834104
20,16,0.01498738971603833
20,17,25.092455104505422
20,18,0.04691763543043017
20,19,5.746312434557784
20,21,146340416.11437824
21,0,35.83573252494669
21,1,1.923035780968021
21,2,0.24629729044270676
21,3,0.054450398294364766
21,4,0.026680191595508555
21,5,29763.50952463214
21,6,0.03451899123775989
21,7,12063.360559298791
21,8,0.3465723857066965
21,9,24384.958792221947
21,10,0.28821391031510485
21,11,41629.919262253024
21,12,0.19992144065520828
21,13,1514.1406700299744
21,14,0.07077987152604626
21,15,99.6664142069917
21,16,0.029604667752509365
21,17,0.37214638162918146
21,18,0.02055573331961478
21,19,0.10797066401084378
21,20,15.045939005569274
22,0,0.04320387312415208
22,1,0.002208704357542734
