i,tau,E
0,inf,0.0
1,0.030662166117227527,0.26573
2,0.015754151382247134,0.52817
3,0.010794409558571184,0.78734
4,0.00832186498717738,1.04324
5,0.006844487357093344,1.29588
6,0.0058648362734316775,1.54527
7,0.005120709582335155,1.79143
8,0.00460691641973692,2.03435
9,0.004211183300228344,2.27405
10,0.003898051014392989,2.51054
11,0.0036452836685469617,2.74383
12,0.003437805880007416,2.97393
13,0.0032654071663873146,3.20084
14,0.0031206785627298636,3.42458
15,0.0029981983998739734,3.64516
16,0.0028939392709200593,3.86259
17,0.002804781349980953,4.07688
18,0.002728433493700833,4.28804
19,0.0026628461729188133,4.49608
20,0.0026066915067492263,4.70101
21,0.0025587386475706846,4.90284
22,0.0025180699246647345,5.10159
23,0.002483866430603255,5.29725
24,0.002455623829559473,5.48985
25,0.002432794284455216,5.67939
26,0.002415078761038777,5.86588
27,0.002402177205538107,6.04933
28,0.0023938504870103885,6.22975
29,0.002389963186913894,6.40714
30,0.002390483136152848,6.58152
31,0.0023953411012031705,6.75288
32,0.0024046227754082037,6.92125
33,0.0024184124076008103,7.08661
34,0.00243694845126894,7.24898
35,0.0024604740508073855,7.40836
36,0.002489508391860138,7.56475
37,0.002524611832787766,7.71816
38,0.002566291068873515,7.86858
39,0.0026156075279579103,8.016
40,0.002673503524647406,8.16044
41,0.002740657564242995,8.30188
