i,f,tau_if
1,0,0.030662166117227527
2,0,0.8444431735592809
2,1,0.016053652496818116
3,0,48.090520575361154
3,1,0.2867287126318499
3,2,0.011219298169384882
4,0,4721.119812914614
4,1,11.874736537290941
4,2,0.1461712938737386
4,3,0.008830828428747679
5,0,520690.54806131945
5,1,864.7400930685103
5,2,4.699406499791525
5,3,0.0895003764029919
5,4,0.007423029224749238
6,0,2211713.7017194335
6,1,116263.8832757378
6,2,265.7344118597808
6,3,2.3286745241941387
6,4,0.06094707535355404
6,5,0.006507583816347975
7,0,20617543.58445012
7,1,363621.8276982889
7,2,72346.89585200389
7,3,103.72568481275555
7,4,1.3026161432737162
7,5,0.044911600781141855
7,6,0.005805780503727797
8,0,268426414.81532562
8,1,4914776.0432111565
8,2,123688.33110106246
8,3,76551.90965950476
8,4,48.24767356258478
8,5,0.8090678198162526
8,6,0.03451045613323301
8,7,0.005352417371001914
9,0,722861983.7261717
9,1,26079361.781460967
9,2,1338414.3764181016
9,3,44428.9707970155
9,4,57336.1746382058
9,5,25.22097099537509
9,6,0.5367647373383742
9,7,0.02753073761617932
9,8,0.005019142837053965
10,0,1045742054.6451244
10,1,44146660.56429385
10,2,53311073.785668544
10,3,433965.774683321
10,4,16517.392763397238
10,5,6297.583640079597
10,6,14.327015262205546
10,7,0.3744660718122999
10,8,0.02261439745330764
10,9,0.004771485157475161
11,0,2873278577.6415524
11,1,10892480010.8745
11,2,21335019.324514598
11,3,3542877.756848064
11,4,118984.00574387696
11,5,7676.079829299058
11,6,1862.7521135445297
11,7,8.661744116545474
11,8,0.27184685041825146
11,9,0.019019907483587457
11,10,0.004588083805394094
12,1,389778074.0293422
12,2,298718944.5623654
12,3,16178165.757782785
12,4,1138192.6141142168
12,5,39593.83044274651
12,6,4213.81427476378
12,7,729.5644761058428
12,8,5.501167957025628
12,9,0.20386195900098147
12,10,0.016311120120798266
12,11,0.004454607973070085
13,2,340075676.6189217
13,3,130774269.98289639
13,4,3598401.821564177
13,5,332897.4748048505
13,6,17191.708709154253
13,7,2595.2314847637813
13,8,344.5814114926291
13,9,3.637212424073745
13,10,0.1570587745751831
13,11,0.014219599474825404
13,12,0.004361674845319465
14,3,112317477.31248333
14,4,11565902.191081805
14,5,1363885.3452552939
14,6,115650.55440496192
14,7,8522.47357533436
14,8,1717.0591894549432
14,9,178.85272935415588
14,10,2.4912612691190117
14,11,0.12379307210036443
14,12,0.012571828014732903
14,13,0.004302657521018691
15,4,72236544.75666611
15,5,3021786.5959390257
15,6,964732.6239992216
15,7,42905.99219126749
15,8,4851.691052401809
15,9,1142.831813500199
15,10,98.4570332869654
15,11,1.7568146842244758
15,12,0.09951236590414655
15,13,0.011251494441796477
15,14,0.004273009919289709
16,5,3919268.3038095804
16,6,2023614.6068089656
16,7,268391.4026477193
16,8,19280.62532611815
16,9,2877.7195062130922
16,10,811.8094763462992
16,11,57.43090044945362
16,12,1.270929713023439
16,13,0.08137274405611794
16,14,0.01017879692889928
16,15,0.004269648547824752
17,6,3235833.0611894564
17,7,1819994.6428731885
17,8,88624.67154240377
17,9,10250.585536671064
17,10,1780.8473396835457
17,11,603.2260394607446
17,12,34.821342960423486
17,13,0.9399451368726768
17,14,0.06755074068302325
17,15,0.009296794807199154
17,16,0.00429052975331529
18,7,2723806.1341856546
18,8,545068.1899780204
18,9,39071.19312821859
18,10,5799.858274009657
18,11,1153.9817227605317
18,12,481.1627517371393
18,13,21.862904023630584
18,14,0.7087629081279363
18,15,0.05683789874278326
18,16,0.008564475235898206
18,17,0.004334716396353988
19,8,2630673.1249774634
19,9,167713.92194577729
19,10,19884.022983670082
19,11,3503.671023185384
19,12,782.8267129551274
19,13,421.4537210240976
19,14,14.116344318179308
19,15,0.5436636573699439
19,16,0.0484006903481027
19,17,0.007951423090368163
19,18,0.004401421825056624
20,9,1190294.072725499
20,10,70667.58933610002
20,11,11173.671483380558
20,12,2233.5434469779943
20,13,560.9406596561819
20,14,433.05677037010724
20,15,9.354739126438323
20,16,0.4234975269549586
20,17,0.041668838971525124
20,18,0.007434740549468639
20,19,0.00449129779396515
21,10,324549.6761522366
21,11,35654.98488119567
21,12,6805.924170065058
21,13,1519.1944147219754
21,14,428.22989611698125
21,15,609.9129157293113
21,16,6.3577026578852065
21,17,0.33459876867083577
21,18,0.03623388777516799
21,19,0.006997817382189854
21,20,0.004604758952769882
22,11,121737.79988969618
22,12,20947.826160633063
22,13,4532.421613134005
22,14,1111.2146839954112
22,15,349.22207097099886
22,16,11395.969023815047
22,17,4.42347132760327
22,18,0.26791390860971265
22,19,0.03179977356206911
22,20,0.0066266878840495775
22,21,0.00474349304244239
23,12,69448.71375600176
23,13,15079.020581649855
23,14,3401.1263347786407
23,15,874.5515395543989
23,16,304.385781596213
23,17,387.39633479950686
23,18,3.146995326497638
23,19,0.21721721105142547
23,20,0.02814733811271357
23,21,0.006310966913956076
23,22,0.004909478056791519
24,13,816082.4090715825
24,14,19836.76608577495
24,15,3020.61576173341
24,16,724.092582973876
24,17,277.53035771103964
24,18,137.9365275580666
24,19,2.2880633854403762
24,20,0.17818705764043036
24,21,0.02511498650107416
24,22,0.006042775160406672
24,23,0.005105609364263136
25,14,130250.51616485137
