i,tau,E
0,inf,0.0
1,0.06641203833838905,0.15772
2,0.017143063298169354,0.31384
3,0.022444853259091478,0.46835
4,0.017817924682828168,0.62126
5,0.014615506226805153,0.77257
6,0.0065309932657871455,0.92228
7,0.009940082099335893,1.0704
8,0.009794394178749211,1.21693
9,0.008976783776913742,1.36186
10,0.008293957043703013,1.50521
11,0.00774194684770996,1.64698
12,0.007289977170654665,1.78717
13,0.006915638537670106,1.92578
14,0.006602994378100686,2.06281
15,0.006340439600593309,2.19827
16,0.020662563752625294,2.33215
17,0.008258697608910789,2.46447
18,0.006019949778293481,2.59522
19,0.005675662499877554,2.7244
20,0.005549618583074124,2.85201
21,0.005467681472303932,2.97806
22,0.005411500642897069,3.10255
23,0.005380675402605559,3.22547
24,0.005379139544779149,3.34682
25,0.005416324310970266,3.46661
26,0.005518191388007958,3.58484
27,0.005805155103984785,3.70149
28,0.0056071921049834885,3.81657
29,0.005439255021057599,3.93008
30,0.005403561563834775,4.04201
31,0.005270017103735374,4.15236
32,0.005158793997596401,4.26113
33,0.005065993783056102,4.36829
34,0.004833228876237876,4.47386
35,0.004846609985050112,4.57781
36,0.004802404433959874,4.68013
37,0.004773079142624804,4.78081
38,0.004681787937796829,4.87983
39,0.004324444627484647,4.97718
40,0.00431708984882512,5.07283
41,0.004291255024567353,5.16675
42,0.004276522016208405,5.25892
43,0.004273668629596427,5.34928
44,0.00425679629844094,5.43781
45,0.004279911089244496,5.52445
46,0.004292380735839226,5.60912
47,0.004300430094796005,5.69177
48,0.004324557628863926,5.77229
49,0.004385434876960899,5.85056
