i,f,tau_if
1,0,0.06641203833838905
2,0,2.006201643887329
2,1,0.017290813908489737
3,0,101.73878781757264
3,1,0.34094097419662206
3,2,0.024032247926449028
4,0,5018.496389867392
4,1,12.805796731022882
4,2,0.34778886117477303
4,3,0.018807717733445667
5,0,235597.41203829556
5,1,498.1697652651528
5,2,10.325924601645683
5,3,0.21296419136559483
5,4,0.01571684457113776
6,0,11175989.475260353
6,1,19681.87728611591
6,2,330.34284924113786
6,3,5.204675332504888
6,4,0.14497632480396583
6,5,0.006848227998301325
7,0,1185357198.0352664
7,1,832774.2296117407
7,2,10971.95409875521
7,3,141.05978549703457
7,4,2.9991614940631197
7,5,0.0529006067752126
7,6,0.012291232209660212
8,0,1819007685.4196439
8,1,82147239.65534785
8,2,413057.5974748794
8,3,4034.964070309628
8,4,70.30042623312364
8,5,0.9454032733984189
8,6,0.08112188777069389
8,7,0.01127397425694978
9,0,60604058855.17788
9,1,342027005.8451929
9,2,49681627.64910301
9,3,132000.72710393672
9,4,1751.8510802518067
9,5,19.490393974591345
9,6,1.271783113046294
9,7,0.06454367554288354
9,8,0.010518907787404747
10,1,1604087780.6435733
10,2,128148914.27437034
10,3,6837059.312770616
10,4,52773.21637562079
10,5,426.4435468426129
10,6,23.354879991909932
10,7,0.8984895013642621
10,8,0.052855687384299105
10,9,0.009951029994857297
11,2,120187569858.29973
11,3,29773475.090100843
11,4,1583199.5463353863
11,5,11531.84072074279
11,6,455.6909294869736
11,7,14.837624437744886
11,8,0.6597423542033359
11,9,0.04429903443736061
11,10,0.009523156478604617
12,3,243072941.2745491
12,4,35952263.3485837
12,5,369640.57937920303
12,6,10532.40630175991
12,7,261.89323428620185
12,8,9.874441104603717
12,9,0.49975847312737914
12,10,0.03784378507430141
12,11,0.009204368111389158
13,4,28633437.64663006
13,5,4000338.2955783913
13,6,430187.16377377993
13,7,5197.81987132663
13,8,158.84881301572176
13,9,6.828634545238016
13,10,0.38839299093267504
13,11,0.03285337658280726
13,12,0.00897393052207457
14,5,13238009.014820123
14,6,3053543.668565304
14,7,187979.90719803236
14,8,2834.398988110153
14,9,100.38811348450521
14,10,4.876386093259612
14,11,0.30839793282089284
14,12,0.028916977238245503
14,13,0.008817819114921103
15,6,17008865.814120054
15,7,5518700.518392482
15,8,71031.39109207684
15,9,1658.7435860308492
15,10,65.69106226323987
15,11,3.5776599853306186
15,12,0.24941203888370295
15,13,0.02575913230008195
15,14,0.008726627482309783
16,7,3926188.204334405
16,8,4799345.611960089
16,9,31023.067852172757
16,10,1012.7225439891045
16,11,44.409081828564936
16,12,2.684617456320741
16,13,0.20494217013592608
16,14,0.023190422878006295
17,8,3469976.61230276
17,9,2865143.4431029256
17,10,16817.05393848228
17,11,626.5768222824755
17,12,30.939502759736477
17,13,2.0539882544038206
17,14,0.17075470370133228
17,16,0.008717842625922822
18,9,53359389.19990836
18,10,525903.6327676118
18,11,10599.57021841441
18,12,396.63809420032857
18,13,22.078715945649936
18,14,1.5988485099734244
18,16,0.01932185966455775
18,17,0.008796147788288041
19,10,1179090.3025032424
19,11,144432.87138857495
19,12,6480.3041757971205
19,13,260.361077980131
19,14,16.070717705237403
19,16,0.1227961150848624
19,17,0.01785418652481877
19,18,0.008930819712291073
20,11,1706259.6881301373
20,12,93617.57750923297
20,13,3821.272653148931
20,14,176.23787914521156
20,16,1.0126650271691258
20,17,0.10572819681631918
20,18,0.016620969009743407
20,19,0.00912609062643882
21,12,1604219.4570986999
21,13,67569.59197197582
21,14,2293.019082711989
21,16,8.962526876045086
21,17,0.8213206133141145
21,18,0.09184345766849122
21,19,0.015582743986932823
21,20,0.009389525220535166
22,13,466401.40839527827
22,14,45272.62778846984
22,16,86.2570551153047
22,17,6.851764626242566
22,18,0.6734209216150349
22,19,0.0804290481077965
22,20,0.014710304446093145
22,21,0.00973366477932885
23,14,377925.2777454336
23,16,949.9149684442178
23,17,61.83498901644325
23,18,5.306125129723828
23,19,0.5577670328524832
23,20,0.0709580073857358
23,21,0.013982653599907916
23,22,0.0101789772798664
24,16,13119.68301474294
24,17,633.500437703665
24,18,45.28647920521063
24,19,4.15537422691657
24,20,0.46620126653583327
24,21,0.06304004233284013
24,22,0.013386606464703155
24,23,0.010760846864865496
25,16,511765.57373561367
25,17,8887.742802843719
25,18,424.36947020664616
25,19,33.64198845907393
25,20,3.2926186963918886
25,21,0.3928019872838923
25,22,0.05638125044312735
25,23,0.012918514952142534
25,24,0.01154725536300553
26,17,134033.56077656802
26,18,5770.788520130614
26,19,297.4164556267991
26,20,25.16822321750945
26,21,2.6389954345931192
26,22,0.33338502216069626
26,23,0.05076188681442372
26,24,0.01259455132013153
26,25,0.012706832335610315
27,18,179765.41368361397
27,19,3287.2755455969377
27,20,216.12212330016484
27,21,18.99834614101312
27,22,2.1357082310016655
27,23,0.28498033015972996
27,24,0.0460556613669756
27,25,0.012512184153866707
27,26,0.015017063396627447
28,19,1225595.4485680617
28,20,2038.8352366625506
28,21,160.51061196255222
28,22,14.812010692556244
28,23,1.773050034450169
28,24,0.24873510161155407
28,25,0.04215942450477362
28,26,0.0120284279669209
28,27,0.014963802196608221
29,20,195754.6476131906
29,21,1448.7373097550196
29,22,118.22599784972799
29,23,11.712167741488086
29,24,1.4822379998513444
29,25,0.21838380517076897
29,26,0.03875883776258469
29,27,0.01160856184008324
29,28,0.015024819599368465
30,21,27218.178439361483
30,22,1089.7499356698438
30,23,86.58979451334089
30,24,9.336040738946854
30,25,1.2430572013240662
30,26,0.1922092066038103
30,27,0.03577330959538485
30,28,0.011359658555462913
30,29,0.015885178637333207
31,22,11093.598934425716
31,23,820.8249621089185
31,24,64.6089004104362
31,25,7.5207227524022775
31,26,1.0538139387585577
31,27,0.17043616058237354
31,28,0.0331554729838964
31,29,0.011046396981895435
31,30,0.016103440576824665
32,23,7318.0278073158015
32,24,573.6225428146857
32,25,49.53883985639178
32,26,6.081866448353612
32,27,0.8995356637496655
32,28,0.1517868077573884
32,29,0.030843595271495987
32,30,0.010783817665727228
32,31,0.016446228785656547
33,24,6614.885610341022
33,25,382.4862985419911
33,26,38.592078212736375
33,27,4.953265118482478
33,28,0.7719911613187934
33,29,0.135744879136861
33,30,0.028793907158991897
33,31,0.010567883686250695
33,32,0.016907295629245415
34,25,5504.61133579276
34,26,272.2939368030006
34,27,30.24530964783178
34,28,4.105082395802186
34,29,0.6705039267077111
34,30,0.12253142395543759
34,31,0.026954983657413195
34,32,0.010187813685738406
34,33,0.016204161957509833
35,26,2957.6814327156408
35,27,202.68201950745612
35,28,23.421730382883542
35,29,3.388474844572464
35,30,0.5784608878216998
35,31,0.11012021296868849
35,32,0.025333898618632708
35,33,0.010155963602149235
35,34,0.017470339676315654
36,27,1668.5814971570906
36,28,153.37650016347087
36,29,18.32543408292824
36,30,2.8266972281558136
36,31,0.503069628008342
36,32,0.0995535932588205
36,33,0.023883137282246888
36,34,0.01006909408360974
36,35,0.018316163980849523
37,28,1076.5702323177936
37,29,115.25235208207116
37,30,14.530101702202256
37,31,2.366615128382519
37,32,0.4394882402831119
37,33,0.09026542082938123
37,34,0.022588207733234476
37,35,0.010026478585562012
37,36,0.01936229244505418
38,29,796.3259071160654
38,30,85.1545871703376
38,31,11.738402405116691
38,32,1.9972887019357046
38,33,0.38681226520873374
38,34,0.08228409066015177
38,35,0.02140826029349077
38,36,0.00990966931042252
38,37,0.019749571177731014
39,30,638.8098447231073
39,31,65.7663840137607
39,32,9.844786391000788
39,33,1.7478174354615548
39,34,0.3505815528258856
39,35,0.07657824149505583
39,36,0.02029829825395355
39,37,0.00931364146814709
39,38,0.017239140894220597
40,31,447.5230779437738
40,32,50.477675344869624
40,33,7.963834944626783
40,34,1.4850718986409581
40,35,0.3091270077382177
40,36,0.06995360468701842
40,37,0.019334958791923606
40,38,0.009344629022161578
40,39,0.018330695640563985
41,32,303.5683440930819
41,33,39.389849503184315
41,34,6.503910202384024
41,35,1.2725149745753495
41,36,0.27425584205901293
41,37,0.0642100983013986
41,38,0.018470919252789108
41,39,0.009359322351103951
41,40,0.019282990612274467
42,33,216.08892849159992
42,34,30.812656825658568
42,35,5.342947696028787
42,36,1.0931697009335508
42,37,0.24389603929064907
42,38,0.05904954974603341
42,39,0.01769658166699872
42,40,0.009416262143516997
42,41,0.020427555664523873
43,34,159.32421590991578
43,35,24.01922032035863
43,36,4.422074037194275
43,37,0.9408235784061756
43,38,0.21730428840374735
43,39,0.054403902286378564
43,40,0.017006411320757878
43,41,0.0095213604901471
43,42,0.021813668191355984
44,35,121.22046341759842
44,36,18.88662039149167
44,37,3.6910957375473212
44,38,0.8154873685947195
44,39,0.1945815402759396
44,40,0.05033355200706569
44,41,0.016385670157133485
44,42,0.009614659054694647
44,43,0.023085841702067785
45,36,89.92415881106356
45,37,14.960372100270831
45,38,3.0670610321934166
45,39,0.7051264930788608
45,40,0.17371329970147492
45,41,0.046529918008071484
45,42,0.015850323317310913
45,43,0.009835224070188758
45,44,0.025116920404619672
46,37,66.34242886309467
46,38,11.997635408189144
46,39,2.567636903408136
46,40,0.613151352083619
46,41,0.1557581574053486
46,42,0.04317922319545498
46,43,0.015377692510216463
46,44,0.010059291265623976
46,45,0.02714971396265347
47,38,50.25718964587897
47,39,9.681236544573613
47,40,2.1658414884863637
47,41,0.5358594366175202
47,42,0.14024364922362187
47,43,0.040219807535599734
47,44,0.014968620694077218
47,45,0.01029966849110632
47,46,0.029245691798506678
48,39,38.49734344224727
48,40,7.815140602131273
48,41,1.8301415937564531
48,42,0.4678708087832275
48,43,0.12619035020608935
48,44,0.03749416213442984
48,45,0.014623776261157488
48,46,0.010627568631335087
48,47,0.031920531204001096
49,40,29.685435108034337
49,41,6.316357195215922
49,42,1.546517918243351
49,43,0.40839251898143103
49,44,0.11353402474994685
49,45,0.03504703571705008
49,46,0.01439103108954543
49,47,0.01112238605529677
49,48,0.03571070597610978
