i,tau,E
0,0.02281715883847865,0.0
1,0.015586930378012474,0.08957
2,0.040935634064113754,0.17794
3,0.0258404886990462,0.26513
4,0.02496170602525398,0.35115
5,0.022048663729599006,0.43602
6,0.02346254216547451,0.51973
7,0.022135593336418482,0.60233
8,0.02211466204494817,0.68381
9,0.02079521988537805,0.7642
10,0.01707077092865019,0.84352
11,0.01609710014106807,0.92178
12,0.01812198024209516,0.999
13,0.09745030760377389,1.03535
14,0.00016305215943252722,1.06733
15,0.018241189564585585,1.0752
16,0.07632320285786878,1.10219
17,7.510428419270351e-05,1.13431
18,0.02075024558582744,1.15038
19,0.1134646367410927,1.16788
20,0.29506431232689784,1.18063
21,0.00017549836549512316,1.20151
22,0.01545719635954629,1.2245
23,0.12600816759863745,1.23358
24,0.11636965891267462,1.25115
25,4.903082793313977e-05,1.26739
26,0.00971143498144929,1.29659
27,0.1516889141855565,1.29898
28,0.10883169782235243,1.32146
29,8.422820279018195e-05,1.3323
30,0.1926285293282682,1.36199
31,0.004462122264515626,1.37068
32,0.6594896826026072,1.39153
33,6.655602951549669e-05,1.39664
34,0.3374020366912679,1.42484
35,1.6686426691517375e-07,1.43205
36,0.0017601432704438624,1.44201
37,6.208420035826206e-05,1.4596
38,0.09567679663753226,1.46104
39,0.2030216139647283,1.48774
40,0.0016534097706871248,1.51249
41,2.319695851738997e-07,1.51974
42,6.023922898192999e-05,1.52322
43,0.42205675046994745,1.52981
44,1.7620592918618336,1.54984
45,0.0019271834270890805,1.58215
46,4.4734127461629016e-05,1.58593
47,0.18691273955714438,1.59779
48,1.9049702973542732e-07,1.60776
49,0.1012602835447285,1.61165
50,0.0001017400049020635,1.64797
51,0.002632591634710037,1.65095
52,0.2997880733399081,1.66492
53,0.29041721917982427,1.67201
54,1.8273826277380557e-07,1.69545
55,6.732038757668484e-05,1.70933
56,0.0031157404068444423,1.71891
57,0.388870307009392,1.73105
58,0.12637192099034417,1.73392
59,9.137783742985257e-05,1.77001
60,1.7550347862957687e-07,1.78265
61,0.0046125525098511385,1.78603
62,0.33068576597938376,1.79122
63,0.11892997202675257,1.79881
64,4.391688936837053e-05,1.83001
65,0.23038977391801382,1.85019
66,0.004097222752389956,1.85249
67,0.06100618201882248,1.86419
68,1.6842985827165598e-07,1.86933
69,3.2032278283577084e-05,1.88935
70,0.28534606864820106,1.90861
71,0.002977008526910405,1.91797
72,0.0819374107027242,1.92914
73,8.417666642227137e-05,1.94806
74,1.8924234666583543e-07,1.95531
75,0.07601473051355558,1.96647
76,0.0034690170154174148,1.98273
77,0.10431594861090007,1.99356
78,0.00021054189791433876,2.00616
79,0.07173236816038252,2.02359
80,2.1528911644524812e-07,2.04096
81,0.001029869681715555,2.04675
82,0.0455151375097529,2.0574
83,3.80791258409117e-05,2.06368
84,0.13165297444260535,2.0803
85,0.002270796513684671,2.11001
86,7.913389405035974e-05,2.11992
87,0.018365959012947963,2.12064
88,2.381262646900619e-07,2.12557
89,0.08316577021973581,2.13652
90,0.002816757914210092,2.17255
91,3.571250373074564e-05,2.17672
92,0.014303312367101854,2.18327
93,0.06382037150510086,2.19192
94,2.3707044956210335e-07,2.21014
95,3.607825435764839e-05,2.23247
96,0.0024492078674846086,2.23435
97,0.014444731493371343,2.24509
98,0.08065836194320897,2.24709
99,2.482941253461651e-05,2.28761
100,3.0825142313446695e-07,2.29356
101,0.002258937454071481,2.29541
102,0.03599159254818803,2.30148
103,0.013133530203802367,2.30689
104,2.649843988891592e-05,2.34217
105,0.032820349084598015,2.35484
106,0.0021416882462087106,2.35666
107,0.009966561023660288,2.36767
108,3.16498572005342e-07,2.37692
109,1.7346175142540705e-05,2.39614
110,0.021710174968593506,2.40844
111,0.001924745368368803,2.41591
112,0.007954290944921264,2.42788
113,1.5128160759240453e-05,2.44954
114,4.059408222932557e-07,2.45915
115,0.022800367127014543,2.46134
116,0.001401039213140026,2.47496
117,0.010380442671927484,2.4875
118,2.2793558103951956e-05,2.50236
119,0.019606171475662897,2.51337
120,0.0016011222376105304,2.5334
121,3.4231617645747303e-07,2.54134
122,0.004623438108492364,2.54653
123,1.8721622256255775e-05,2.55464
124,0.01530114538284122,2.56496
125,0.0015148191387982346,2.5912
126,0.0050711906878465355,2.60495
127,1.7664510085255886e-05,2.60657
128,0.017075546170874034,2.61596
129,3.2082340416073964e-07,2.62262
130,0.001570510951052547,2.64836
131,1.6501499872078646e-05,2.65708
132,0.005850935999534386,2.66259
133,0.01389523251041095,2.66648
134,2.876447064629878e-07,2.70324
135,0.001393526615946971,2.70489
136,1.7908675308360994e-05,2.70774
137,0.011955037624723752,2.7159
138,0.0041597054112657355,2.72066
139,2.2335235385999624e-05,2.75773
140,0.0019482322286218615,2.76067
141,0.008675477706466466,2.76523
142,0.003042734674327562,2.77723
143,2.808518100611578e-07,2.7832
144,1.6307732182464345e-05,2.80717
145,0.007942523237356437,2.8134
146,0.003811278330883915,2.81676
147,0.003209304391501063,2.8334
148,2.0036402623377298e-05,2.85606
149,0.008608189736906245,2.86129
150,2.9521321363399354e-07,2.86274
151,0.00699381159808079,2.87125
152,0.0019159266901456614,2.88903
153,1.431245537736259e-05,2.9044
154,0.006847936365529284,2.90868
155,0.008357326562347079,2.92537
156,2.5962917846155507e-07,2.94101
157,0.001993950664789577,2.94411
158,1.4811228763066108e-05,2.95222
159,0.006122339941564191,2.95529
160,0.009355759521871003,2.97895
161,0.0016696199132393587,2.99854
162,1.5906249909540693e-05,2.99951
163,0.005424461823846246,3.00122
164,2.521031850463275e-07,3.01892
165,0.008050002591939252,3.03196
166,2.8701894410732013e-05,3.04628
167,0.004309172293477088,3.04635
168,0.0013686118223008895,3.05277
169,0.01406400529531897,3.08433
170,0.0037862590733789506,3.09083
171,3.5401327572031886e-05,3.09254
172,2.3618683592439954e-07,3.09622
173,0.0019823059281488067,3.10618
174,0.0039684545821347395,3.13437
175,0.03740407033799327,3.13695
176,2.1703763138002212e-05,3.1383
177,0.00855088464993534,3.15908
178,2.1283382530692984e-07,3.17228
179,0.003914998305798546,3.17774
180,1.4306352021960965e-05,3.18356
181,0.023792819378913047,3.18793
182,0.17896780852108496,3.21143
183,0.003688278740744488,3.21999
184,1.3717038085446635e-05,3.22833
185,0.06155304990961109,3.23871
186,2.218431588486215e-07,3.24811
187,0.00374979825561508,3.26162
188,0.39181156264733813,3.26326
189,1.4472967923153945e-05,3.27261
190,0.025414759852706744,3.28896
191,0.004011483101643407,3.30242
192,0.017167484681111456,3.31451
193,1.2737013826931567e-05,3.31656
194,2.369129606580269e-07,3.32309
195,0.005713067851128403,3.33855
196,0.00583936172913875,3.34257
197,1.1847357104789683e-05,3.35961
198,0.055498807507960386,3.36524
199,0.005301365157763975,3.38156
200,0.02829594137073675,3.38815
201,2.2838111936465387e-07,3.39729
202,1.2111439758414306e-05,3.4025
203,0.08884192639541524,3.41542
204,0.009053300835654643,3.42004
205,0.08985628409967605,3.43677
206,1.2536881750141695e-05,3.44484
207,0.011990487555076089,3.45757
208,0.5063173596744426,3.46509
209,2.569247811210123e-07,3.4707
210,0.004134411839906568,3.48491
211,1.0241541872789348e-05,3.4873
212,0.014940961672120081,3.49433
213,0.14200833829856085,3.51419
214,1.097309416331596e-05,3.52837
215,0.016913379814596726,3.52998
216,0.010578775454354396,3.5329
217,2.2185655295966553e-07,3.54333
218,0.034851936432713775,3.56272
219,0.01376531505584797,3.56507
220,1.0285736621023844e-05,3.56941
221,0.020854853750373426,3.57989
222,9.295361580714087e-06,3.60938
223,0.008368549795907655,3.6108
224,2.708466529661422e-07,3.61516
225,0.030105736872646324,3.62654
226,6.975370425254209e-06,3.64934
227,0.03281710265560464,3.6583
228,0.04777765027045545,3.6727
229,1.8103296109069732e-07,3.68617
230,0.24593876194036984,3.70527
231,0.11585689498925948,3.71835
232,0.38551459832885043,3.75173
233,2.1695120035132476e-07,3.75636
234,0.10419028123351104,3.76352
235,0.14264632328162224,3.79767
236,0.25785823823381915,3.80818
237,1.6017612544530568e-07,3.82572
238,0.6859512926822947,3.84308
239,0.22194323977659253,3.85235
240,0.17777651098014277,3.88797
241,1.6265931476387644e-07,3.89423
242,0.0692388176235238,3.89603
243,0.5721823475886086,3.93235
244,0.20784757306135623,3.93921
245,1.7121859564803633e-07,3.96188
246,0.6835678324144829,3.97621
247,0.18162944823339333,3.98192
248,0.11281146138766565,4.02414
249,1.6212695981356113e-07,4.02866
