i,State
0,X1Sigma+
1,X1Sigma+
2,X1Sigma+
3,X1Sigma+
4,X1Sigma+
5,X1Sigma+
6,X1Sigma+
7,X1Sigma+
8,X1Sigma+
9,X1Sigma+
10,X1Sigma+
11,X1Sigma+
12,X1Sigma+
13,a3Pi
14,Ap1Pi
15,X1Sigma+
16,a3Pi
17,Ap1Pi
18,X1Sigma+
19,a3Pi
20,b3Sigma+
21,Ap1Pi
22,X1Sigma+
23,a3Pi
24,b3Sigma+
25,Ap1Pi
26,X1Sigma+
27,a3Pi
28,b3Sigma+
29,Ap1Pi
30,a3Pi
31,X1Sigma+
32,b3Sigma+
33,Ap1Pi
34,a3Pi
35,A1Sigma+
36,X1Sigma+
37,Ap1Pi
38,b3Sigma+
39,a3Pi
40,X1Sigma+
41,A1Sigma+
42,Ap1Pi
43,b3Sigma+
44,a3Pi
45,X1Sigma+
46,Ap1Pi
47,b3Sigma+
48,A1Sigma+
49,a3Pi
50,Ap1Pi
51,X1Sigma+
52,b3Sigma+
53,a3Pi
54,A1Sigma+
55,Ap1Pi
56,X1Sigma+
57,a3Pi
58,b3Sigma+
59,Ap1Pi
60,A1Sigma+
61,X1Sigma+
62,a3Pi
63,b3Sigma+
64,Ap1Pi
65,a3Pi
66,X1Sigma+
67,b3Sigma+
68,A1Sigma+
69,Ap1Pi
70,a3Pi
71,X1Sigma+
72,b3Sigma+
73,Ap1Pi
74,A1Sigma+
75,a3Pi
76,X1Sigma+
77,b3Sigma+
78,Ap1Pi
79,a3Pi
80,A1Sigma+
81,X1Sigma+
82,b3Sigma+
83,Ap1Pi
84,a3Pi
85,X1Sigma+
86,Ap1Pi
87,b3Sigma+
88,A1Sigma+
89,a3Pi
90,X1Sigma+
91,Ap1Pi
92,b3Sigma+
93,a3Pi
94,A1Sigma+
95,Ap1Pi
96,X1Sigma+
97,b3Sigma+
98,a3Pi
99,Ap1Pi
100,A1Sigma+
101,X1Sigma+
102,a3Pi
103,b3Sigma+
104,Ap1Pi
105,a3Pi
106,X1Sigma+
107,b3Sigma+
108,A1Sigma+
109,Ap1Pi
110,a3Pi
111,X1Sigma+
112,b3Sigma+
113,Ap1Pi
114,A1Sigma+
115,a3Pi
116,X1Sigma+
117,b3Sigma+
118,Ap1Pi
119,a3Pi
120,X1Sigma+
121,A1Sigma+
122,b3Sigma+
123,Ap1Pi
124,a3Pi
125,X1Sigma+
126,b3Sigma+
127,Ap1Pi
128,a3Pi
129,A1Sigma+
130,X1Sigma+
131,Ap1Pi
132,b3Sigma+
133,a3Pi
134,A1Sigma+
135,X1Sigma+
136,Ap1Pi
137,a3Pi
138,b3Sigma+
139,Ap1Pi
140,X1Sigma+
141,a3Pi
142,b3Sigma+
143,A1Sigma+
144,Ap1Pi
145,a3Pi
146,X1Sigma+
147,b3Sigma+
148,Ap1Pi
149,a3Pi
150,A1Sigma+
151,X1Sigma+
152,b3Sigma+
153,Ap1Pi
154,a3Pi
155,X1Sigma+
156,A1Sigma+
157,b3Sigma+
158,Ap1Pi
159,a3Pi
160,X1Sigma+
161,b3Sigma+
162,Ap1Pi
163,a3Pi
164,A1Sigma+
165,X1Sigma+
166,Ap1Pi
167,a3Pi
168,b3Sigma+
169,X1Sigma+
170,a3Pi
171,Ap1Pi
172,A1Sigma+
173,b3Sigma+
174,a3Pi
175,X1Sigma+
176,Ap1Pi
177,b3Sigma+
178,A1Sigma+
179,a3Pi
180,Ap1Pi
181,X1Sigma+
182,b3Sigma+
183,a3Pi
184,Ap1Pi
185,X1Sigma+
186,A1Sigma+
187,a3Pi
188,b3Sigma+
189,Ap1Pi
190,X1Sigma+
191,a3Pi
192,b3Sigma+
193,Ap1Pi
194,A1Sigma+
195,X1Sigma+
196,a3Pi
197,Ap1Pi
198,b3Sigma+
199,a3Pi
200,X1Sigma+
201,A1Sigma+
202,Ap1Pi
203,b3Sigma+
204,a3Pi
205,X1Sigma+
206,Ap1Pi
207,a3Pi
208,b3Sigma+
209,A1Sigma+
210,X1Sigma+
211,Ap1Pi
212,a3Pi
213,b3Sigma+
214,Ap1Pi
215,a3Pi
216,X1Sigma+
217,A1Sigma+
218,b3Sigma+
219,a3Pi
220,Ap1Pi
221,X1Sigma+
222,Ap1Pi
223,b3Sigma+
224,A1Sigma+
225,X1Sigma+
226,Ap1Pi
227,b3Sigma+
228,X1Sigma+
229,A1Sigma+
230,b3Sigma+
231,X1Sigma+
232,b3Sigma+
233,A1Sigma+
234,X1Sigma+
235,b3Sigma+
236,X1Sigma+
237,A1Sigma+
238,b3Sigma+
239,X1Sigma+
240,b3Sigma+
241,A1Sigma+
242,X1Sigma+
243,b3Sigma+
244,X1Sigma+
245,A1Sigma+
246,b3Sigma+
247,X1Sigma+
248,X1Sigma+
249,A1Sigma+
