i,v
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,0
14,0
15,13
16,1
17,1
18,14
19,2
20,0
21,2
22,15
23,3
24,1
25,3
26,16
27,4
28,2
29,4
30,5
31,17
32,3
33,5
34,6
35,0
36,18
37,6
38,4
39,7
40,19
41,1
42,7
43,5
44,8
45,20
46,8
47,6
48,2
49,9
50,9
51,21
52,7
53,10
54,3
55,10
56,22
57,11
58,8
59,11
60,4
61,23
62,12
63,9
64,12
65,13
66,24
67,10
68,5
69,13
70,14
71,25
72,11
73,14
74,6
75,15
76,26
77,12
78,15
79,16
80,7
81,27
82,13
83,16
84,17
85,28
86,17
87,14
88,8
89,18
90,29
91,18
92,15
93,19
94,9
95,19
96,30
97,16
98,20
99,20
100,10
101,31
102,21
103,17
104,21
105,22
106,32
107,18
108,11
109,22
110,23
111,33
112,19
113,23
114,12
115,24
116,34
117,20
118,24
119,25
120,35
121,13
122,21
123,25
124,26
125,36
126,22
127,26
128,27
129,14
130,37
131,27
132,23
133,28
134,15
135,38
136,28
137,29
138,24
139,29
140,39
141,30
142,25
143,16
144,30
145,31
146,40
147,26
148,31
149,32
150,17
151,41
152,27
153,32
154,33
155,42
156,18
157,28
158,33
159,34
160,43
161,29
162,34
163,35
164,19
165,44
166,35
167,36
168,30
169,45
170,37
171,36
172,20
173,31
174,38
175,46
176,37
177,32
178,21
179,39
180,38
181,47
182,33
183,40
184,39
185,48
186,22
187,41
188,34
189,40
190,49
191,42
192,35
193,41
194,23
195,50
196,43
197,42
198,36
199,44
200,51
201,24
202,43
203,37
204,45
205,52
206,44
207,46
208,38
209,25
210,53
211,45
212,47
213,39
214,46
215,48
216,54
217,26
218,40
219,49
220,47
221,55
222,48
223,41
224,27
225,56
226,49
227,42
228,57
229,28
230,43
231,58
232,44
233,29
234,59
235,45
236,60
237,30
238,46
239,61
240,47
241,31
242,62
243,48
244,63
245,32
246,49
247,64
248,65
249,33
