i,f,tau_if
0,1,0.2666461270860514
0,2,3.161768000969076
0,4,0.13428048661089123
0,5,0.03094729675362857
1,0,0.19297916304569687
1,2,0.025954875040127137
1,3,0.04890932211679547
2,0,0.17856634089062182
2,1,0.05311115924210609
3,0,0.6187649768106002
3,1,0.08463960698304043
3,2,0.03957569105194458
4,0,52.348787535774164
4,1,1.3184500564596473
4,2,0.13113136341758672
4,3,0.031587737393697954
5,0,22.59234715166223
5,1,5.437905349675884
5,2,0.5551139775536512
5,3,0.10911673861605654
5,4,0.029273887515366102
6,0,133.77584460548863
6,1,4.055200391096328
6,2,1.1263981068947229
6,3,0.3853381727355082
6,4,0.22511944138986953
6,5,0.029034267763246083
7,0,864.6581373797826
7,1,14.997560090155543
7,2,1.697126566367127
7,3,0.36246376388010826
7,4,0.48706767602449463
7,5,0.34045181365349125
7,6,0.027196252214912064
8,0,5916.5898467099705
8,1,238.5452691465478
8,2,44.76474875257256
8,3,2.6415416765958812
8,4,0.16713655335523442
8,5,0.35569510927013415
8,6,0.5740463756130358
8,7,0.029174035691270375
9,0,135168.6681867953
9,1,35893.408974699574
9,2,2307.3585598562763
9,3,20.34188707153961
9,4,2.98253522055006
9,5,0.08699755370271539
9,6,0.22425858648111352
9,7,1.201080293174987
9,8,0.03234491285635295
10,0,9273.765438696011
10,1,12070.888798162123
10,2,55.73174436567268
10,3,563.5950251989636
10,4,9.704607006618598
10,5,5.447641576791029
10,6,0.05311671299993912
10,7,0.14503606493238458
10,8,1.2018118263745667
10,9,0.03152608484535518
11,0,6915.014512395339
11,1,6820.076156962507
11,2,3056.2448616443917
11,3,12.242386104961641
11,4,229.96393486263926
11,5,9.353792303502972
11,6,12.541754501445821
11,7,0.04675389943840681
11,8,0.11776782303113392
11,9,0.9534786142863073
11,10,0.03234044631561919
12,0,4531.49352958403
12,1,2310.986025582649
12,2,1479.6225738912724
12,3,180.28249797738957
12,4,20.45893316383627
12,5,137.00487357616484
12,6,2.612135616771777
12,7,246.05926482992948
12,8,0.07116541075278833
12,9,0.11217366983536745
12,10,0.5072491789287387
12,11,0.03356411409711939
12,13,73854126.0067492
13,0,7.1743252398580095
13,1,780.912508558264
13,2,0.7605538782750936
13,3,0.40295031097655853
13,4,0.3743282554269544
13,5,0.4501877957632122
13,6,0.9230528348204949
13,7,2.9135207630340108
13,8,11637.76250464457
13,9,235.68802296030847
13,10,1501.7625984650153
13,11,11538.408264057114
13,12,2137463198.702246
13,14,938242.4482208483
13,15,686705883.7430888
13,16,1383278.1732704255
13,17,2614365.46839912
13,18,33118188.49879258
13,19,37039.89499233572
13,22,7620659.930895757
14,0,0.009603743086261527
14,1,0.003038848625217955
14,2,0.0024509801490035002
14,3,0.0006060945383547262
14,4,0.0009137364369974766
14,5,0.0006937261604565684
14,6,0.000965519427107511
14,7,0.029122849174337332
14,8,0.031862635229820975
14,9,19.373492700031054
14,10,0.33642390690338775
14,11,3.8876755196551227
14,12,398.41877753903407
14,13,975.1541874488505
14,15,7049372.525406266
14,16,146956133796798.34
14,17,25502267.746676307
14,18,831306.7790396677
14,19,158305682183.98758
14,21,0.7790884866393869
14,22,5842.6034016875265
14,26,12351.470718635714
14,27,67338197.25330347
14,30,22724781.787331276
15,0,1935.3857700692176
15,1,441.84542409254925
15,2,882.5145042370173
15,3,131.901852128913
15,4,450.09271802692945
15,5,70.35220958168048
15,6,52.19625445220781
15,7,0.7641244134530049
15,8,1.2836217807074874
15,9,0.05798457664980033
15,10,0.19375151410707894
15,11,0.5014032683417033
15,12,0.03535499780068099
15,13,2944225.9187033237
15,14,635552.7177151853
15,16,62281923.64372939
16,0,1.609755434913698
16,1,1.9577381452907414
16,2,0.22106347311855007
16,3,0.22696884589307545
16,4,0.47604279270266037
16,5,3.943975723740597
16,6,10.64922085284143
16,7,2.289695072380835
16,8,11.835305188182693
16,9,132.08757732994582
16,10,21.98875723968586
16,11,164.37099984333196
16,12,4428.125726502515
16,13,668.9078904071666
16,14,1981810.4745144069
16,15,322399192806.92
16,18,4254900522.768031
16,19,35530289.64930086
16,21,195367.27819345778
16,22,800.9147404805382
16,23,26535.715414458515
16,26,108.6109870834334
16,27,21244510.090497963
17,0,0.0025036119071909714
17,1,0.0106014985212031
17,2,0.0001929491687257422
17,3,0.0002135959116951054
17,4,0.0005713956897059247
17,5,0.003287519560683169
17,6,0.035122631110959215
17,7,0.004014110856963656
17,8,0.0030012178092162964
17,9,0.004844425754834625
17,10,0.014867793689832444
17,11,0.08542375512150355
17,12,1.2899642430092049
17,13,739961.7669732978
17,14,1.0299794576474544
17,15,164.5726589024763
17,16,875.1575659791856
17,18,7378835.373376326
17,19,11258656463831.105
17,21,0.25836953149789443
17,22,12927074.94842792
