i,f,tau_if
0,1,188405.91629883228
1,0,280158.7520114274
1,2,186190.28379510506
2,0,180944.58243030662
2,1,188959.98237249264
2,3,193036.1782083153
3,0,140858.4695874769
3,1,140858.4695874769
3,2,149676.55731949655
3,4,198608.01637583977
4,0,120059.38287818985
4,1,120059.38287818985
4,2,120059.38287818985
4,3,127249.84645326596
4,5,217849.8566494946
5,0,106778.42869988951
5,1,106778.42869988951
5,2,106778.42869988951
5,3,106778.42869988951
5,4,113741.28798478474
5,6,244683.71536787102
6,0,97771.42059693589
6,1,97771.42059693589
6,2,97771.42059693589
6,3,97771.42059693589
6,4,97771.42059693589
6,5,105911.73699127157
6,7,277976.02061315
7,0,92996.00534294601
7,1,92996.00534294601
7,2,92996.00534294601
7,3,92996.00534294601
7,4,92996.00534294601
7,5,92996.00534294601
7,6,100596.13458898143
7,8,324991.87520311994
8,0,90518.54340886917
8,1,90518.54340886917
8,2,90518.54340886917
8,3,90518.54340886917
8,4,90518.54340886917
8,5,90518.54340886917
8,6,90518.54340886917
8,7,93779.48386409646
8,9,371747.2118959108
9,0,90291.34025140625
9,1,90291.34025140625
9,2,90291.34025140625
9,3,90291.34025140625
9,4,90291.34025140625
9,5,90291.34025140625
9,6,90291.34025140625
9,7,90291.34025140625
9,8,94265.36601898931
10,0,93445.90012343248
10,1,93445.90012343248
10,2,93445.90012343248
10,3,93445.90012343248
10,4,93445.90012343248
10,5,93445.90012343248
10,6,93445.90012343248
10,7,93445.90012343248
10,8,93445.90012343248
10,9,93445.90012343248
11,0,102980.16982900885
11,1,102980.16982900885
11,2,102980.16982900885
11,3,102980.16982900885
11,4,102980.16982900885
11,5,102980.16982900885
11,6,102980.16982900885
11,7,102980.16982900885
11,8,102980.16982900885
11,9,102980.16982900885
11,10,102980.16982900885
12,0,126706.92932412318
12,1,126706.92932412318
12,2,126706.92932412318
12,3,126706.92932412318
12,4,126706.92932412318
12,5,126706.92932412318
12,6,126706.92932412318
12,7,126706.92932412318
12,8,126706.92932412318
12,9,126706.92932412318
12,10,126706.92932412318
12,11,126706.92932412318
13,0,181782.99695925863
13,1,181782.99695925863
13,2,181782.99695925863
13,3,181782.99695925863
13,4,181782.99695925863
13,5,181782.99695925863
13,6,181782.99695925863
13,7,181782.99695925863
13,8,181782.99695925863
13,9,181782.99695925863
13,10,181782.99695925863
13,11,181782.99695925863
13,12,181782.99695925863
14,0,458734.7365673635
14,1,458734.7365673635
14,2,458734.7365673635
14,3,458734.7365673635
14,4,458734.7365673635
14,5,458734.7365673635
14,6,458734.7365673635
14,7,458734.7365673635
14,8,458734.7365673635
14,9,458734.7365673635
14,10,458734.7365673635
14,11,458734.7365673635
14,12,458734.7365673635
14,13,458734.7365673635
