i,tau,E
0,45.07920024686852,0.31261
1,0.9652694634068093,0.40364
2,0.0781450799901072,0.61966
3,0.041304789070166804,0.6886
4,0.0024499321449181675,0.92898
5,0.011024628627107763,0.96665
6,0.02005785887353201,0.98236
7,0.004666380857140929,1.0975
8,0.0011981791282821878,1.31051
9,0.00285922401454516,1.31983
10,0.0025438180866968365,1.39611
11,0.005423153926089811,1.40385
12,0.0012188514027856,1.52539
13,0.0015542605715236492,1.53132
14,0.0013635606896811193,1.54696
15,0.002025493673179208,1.66098
16,0.002028456063328862,1.69884
17,0.001398498829954372,1.87495
18,0.0010495962642800738,1.88385
19,0.0008550934309577511,1.95654
20,0.0005096099885095513,2.05723
21,218.97884586879184,2.57388
22,112495750.73394819,
