i,tau,E
0,inf,0.0
1,0.41367923929927813,0.08864
2,0.2139793524752611,0.17499
3,3.0640180587569157,0.25997
4,0.14732240633608482,0.2624
5,0.11353837237876545,0.34751
6,0.31666930127263443,0.3482
7,0.012014996549474844,0.41056
8,0.10286685840316566,0.4337
9,0.19976245815428875,0.4342
10,0.01207756332774751,0.49681
11,1.7049216055023986,0.51738
12,0.252410257621211,0.51757
13,0.558206193510001,0.52124
14,0.012106771735581624,0.58077
15,0.8343410562585176,0.60251
16,0.26218507390424717,0.60518
17,0.6436810761196076,0.60603
18,0.012131331076774833,0.66576
19,0.012093528219894545,0.66872
20,0.26044500199072035,0.6851
21,0.19855234522817994,0.69079
22,0.3906773325224728,0.69187
23,0.3207215309973202,0.74847
24,0.46141979461763827,0.75458
25,4.323684306641398,0.76873
26,1.1430076288206104,0.77223
27,5.006082748152696,0.77543
28,10.034057183462059,0.77744
29,0.006369936983191878,0.80831
30,0.012255857350590918,0.83222
31,0.013818368705839603,0.8382
32,1.2249774373280866,0.84995
33,4.561694991691051,0.85956
34,4.911415571127066,0.86004
35,0.9980965243852812,0.86188
36,0.0064977053998912845,0.89213
37,2.8649346295872418,0.91367
38,0.6893119574358241,0.92284
39,0.01241103278687498,0.92433
40,6.122384034126644,0.93219
41,10.229852702320718,0.94232
42,5.943325594544814,0.94736
43,7.7648415530510855,0.94738
44,0.09146403356624692,0.97369
45,3.8534666457046116,0.99616
46,1.260064902879114,1.00524
47,1.777684946361733,1.00978
48,11.055933148993315,1.01192
49,4.765014357235549,1.02698
50,11.843606089402602,1.02847
51,1.6683353942798123,1.03196
52,3.17841317540397,1.03329
53,5.885789456655692,1.05625
54,0.006443836167025458,1.06445
55,3.464997582498644,1.07631
56,8.396058844131272,1.08866
57,0.5785985590386666,1.09262
58,0.7205994594657038,1.09479
59,1.7647506146373717,1.11019
60,2.100916804989542,1.11453
61,8.24004099980064,1.11676
62,2.1380303938806833,1.11695
63,3.3402991414348575,1.13655
64,0.9680849517457831,1.14794
65,0.3240134958770217,1.15746
66,0.21099556282724924,1.16981
67,0.6339704406468601,1.1764
68,0.0907597411418609,1.1787
69,0.008304684071213885,1.17893
70,0.01887121846566714,1.19278
71,0.004376726287704968,1.19358
72,1.2015387847576038,1.19948
73,0.48313714561396026,1.19955
74,0.392169166115522,1.20192
75,0.006681518352883166,1.21745
76,0.00644481912549598,1.2292
77,0.00839967235155685,1.23906
