i,f,tau_if
1,0,0.4136792392992781
2,0,1531.917220889258
2,1,0.21400924544802766
3,0,25.842569085612123
3,1,3.5105438046203403
3,2,355.0079473967139
4,0,5484.181292254251
4,1,258.62958434281234
4,2,0.14741033515649005
5,0,39506.53151648579
5,1,2602.9023801752983
5,2,88.19838388187964
5,3,110063.27763192452
5,4,0.11369013752601603
5,6,1633974.8965931323
6,0,3.5347935265362103
6,1,30.257785653861536
6,2,2.611035613977973
6,3,0.4075464151061457
6,4,191.60440675055858
6,5,30885311.659630697
7,0,0.012487309417666117
7,1,0.32984610525312846
7,2,19.36168844144054
7,3,16.24647976962708
7,4,789.9875710715934
7,5,325141.45187260595
7,6,545.738511959852
8,0,39759.07138471279
8,1,7339.291539534041
8,2,1369.5800989407755
8,3,72958.53427609707
8,4,38.07321649949316
8,5,0.1031556211130366
8,6,26485.933393301442
8,7,319431.3698808139
8,9,695506.3263600398
9,0,4521.3537821563405
9,1,2.1143205095983757
9,2,7.976412440437769
9,3,1004.5693625282803
9,4,2.0988163015266728
9,5,97.99021639969277
9,6,0.25512060791951713
9,7,66378.9993822797
9,8,4304431.223305679
10,0,1.0906177671152473
10,1,0.013354679034853467
10,2,0.22436453591501165
10,3,147.50036375311248
10,4,11.539917395260664
10,5,182.70554434749008
10,6,14.573161975467938
10,7,0.42104480443024495
10,8,13602.345175283415
10,9,691.3655546446486
11,0,144.46612148550037
11,1,442.6247426346638
11,2,2153.6430006687947
11,3,25.742982313816132
11,4,41145.66430557768
11,5,3037.747320046775
11,6,1.8802773101973613
11,7,1551.1466021692545
11,8,7793.844206512227
11,9,196.79659433518512
11,12,874574.2334398512
11,13,1629726.2059973923
12,0,10355.457740508957
12,1,10772.668917340641
12,2,4549.923081389126
12,3,27707.357139662792
12,4,706.1542155464363
12,5,19.100214698879327
12,6,29245.301095867697
12,7,34528.66922173383
12,8,0.255923908716155
12,9,9331.240024145061
12,10,696036.3890143794
12,11,755845.0074769539
12,13,355373.8105773082
13,0,27354.85258008137
13,1,1223.7382738151898
13,2,1.4502487101153887
13,3,3194.9108289368573
13,4,3.9367675910361983
13,5,1.8672670716978392
13,6,253.1468734244588
13,7,34139.30553759398
13,8,67.38706220847611
13,9,3.4205090019090743
13,10,64756.10833500175
13,12,363220.3519933647
14,0,4478.819460101916
14,1,0.5283506238226511
14,2,0.014262719455759219
14,3,4527.43729756396
14,4,0.17343921273977958
14,5,8.519689478303821
14,6,81.57792859879913
14,7,804.8573077549381
14,8,108.1861668796579
14,9,13.37458976450157
14,10,0.21692347458139394
14,11,66663.00069503444
14,12,3626.1743381829774
14,13,620.7149095009024
15,0,68520.74719571293
15,1,8490.193428671048
15,2,5624.947586937375
15,3,38375.660086817334
15,4,2544.019905896477
15,5,590.5636770281111
15,6,20097.28046590817
15,7,53369.43632474434
15,8,10.704521688398104
15,9,14706.610017948093
15,10,149512.65340043494
15,11,29559.29495593392
15,12,0.9071172353737409
15,13,8279.320600050616
15,14,76890.42780466338
15,16,551644.9880455798
15,17,276140.1468460485
16,0,517.2686355098416
16,1,153.90236354778938
16,2,331.1583119050317
16,3,1.829792968784339
16,4,1051.935454517763
16,5,12558.001093318544
16,6,9.103740668538613
16,7,1558.8410334990144
16,8,3165.967805040236
16,9,1.395218297059113
16,10,1170.1600686716108
16,11,0.4137146339621234
16,12,8528.994675672318
16,13,105.65948622109634
16,14,128395.81836482255
16,15,291071.80046700727
16,17,2358191.99214379
17,0,15536.62011470721
17,1,9658.37875264924
17,2,692.1759210106637
17,3,5610.027899744605
17,4,1.896757634226919
17,5,2.4981745806192617
17,6,1902.4655085794536
17,7,22686.981871755954
17,8,1.7204707811494726
17,9,464.52127366057186
17,10,90017.8631890445
17,11,46014.41169901675
17,12,48.11746584703737
17,13,51.40186423064082
17,14,30982.12859269668
17,15,314354.11154017865
17,16,585824.4399891379
18,0,7187.9517289185815
18,1,1092.8989783952225
18,2,0.3498649611433693
18,3,16275.45712112188
18,4,0.015229561988512984
18,5,0.14344265523881283
18,6,7060.567682018102
18,7,2233.4526738100053
18,8,6.715884481924285
18,9,53.585805403160485
18,10,397.5093600087482
18,11,31753.046101170392
18,12,88.58593784473914
18,13,12.202122013923551
18,14,0.14986669227927768
18,15,2000.9325096492958
18,16,121394.5782880005
18,17,633.8089575855453
18,19,247000.02750745055
19,0,1.08951842601468
19,1,655.0560640744549
19,2,5580.78407493358
19,3,0.01277602078499943
19,4,1630.423609369399
19,5,4195.950044900972
19,6,0.3439833355719475
19,7,11.473871984843829
19,8,4934.301031268982
19,9,22.780078345657802
19,10,3.093609869480083
19,11,7.993807160067431
19,12,6715.604962599374
19,13,843.8836966614559
19,14,244.0857885215847
19,15,44841.78710708431
19,16,216.63670114439407
19,17,28731.478980087937
19,18,125023.05889081261
20,0,25709.28115095897
20,1,63144.562683678494
20,2,6520.177444419313
20,3,10895.754795472043
20,4,3630.8705395380875
20,5,1747.1104402080387
20,6,22920.01516869146
20,7,19427.894305098198
20,8,396.3260364800888
20,9,12860.252881150538
20,10,33603.54805140552
20,11,9967.02401348005
20,12,6.787974788291344
20,13,5583.025332824423
20,14,36762.855550773
20,15,0.27116570737216283
20,16,14947.563442751813
20,17,4937.402008709877
20,18,180335.37382178687
20,19,58720.62106989874
20,21,240218.05684230078
20,22,215264.094994234
21,0,3000.5984799906446
21,1,293.9583388663168
21,2,149.2852154043836
21,3,2019.6293869062697
21,4,332.5170576572227
21,5,637.2132873365431
21,6,1.32771296286009
21,7,5711.917046587033
21,8,2026.55830119713
21,9,3.84913655430938
21,10,1987.7009222224656
21,11,600.0744376584416
21,12,3902.2511500534843
21,13,1.143842535745893
21,14,932.1609440459443
21,15,7201.347307637344
21,16,0.32125717341382976
21,17,60.23215393487068
21,18,153550.99661790123
21,19,28503.844693642583
21,20,187599.851427623
21,22,260139.53718495293
22,0,38370.450903678764
22,1,6330.7289557222075
22,2,2727.6057614110337
22,3,26550.412878888885
22,4,415.25855650399046
22,5,1.5701477419450474
22,6,4444.82916242982
22,7,24200.520017526673
22,8,2.0086164265025666
22,9,1454.1209714718107
22,10,47104.962582618005
22,11,16393.838838805328
22,12,1.664664075051531
22,13,68.25796611515833
22,14,44125.93435352885
22,15,36.67221682679999
22,16,30311.70699566232
22,17,1.2851458820020716
22,18,17662.90401958305
22,19,207093.1264564789
22,20,295103.00533863803
22,21,281118.76554300205
23,0,5804.82523718323
23,1,3293.4213680448347
23,2,861.0258238559552
23,3,18686.26889453416
23,4,9.349320157399006
23,5,0.9695042332686569
23,6,1452.7314427069537
23,7,4407.472538321505
23,8,1.678053718811823
23,9,1992.0715148602826
23,10,1089.6756185608056
23,11,15509.87722556361
23,12,34.738101831233976
23,13,40.63745489156902
23,14,99.94308898305478
23,15,195.6350573496938
23,16,16155.409229198152
23,17,17.776499971539206
23,18,0.7979493596354671
23,19,39782.22112785657
23,20,2873.77446154792
23,21,71589.0501910663
23,22,976.2364648224084
23,24,94891.70445936354
23,26,13498.92008639309
24,0,594.8910091797397
24,1,9.48541617107803
24,2,285.49809553066484
24,3,204.5415809316233
24,4,1519.3567442592114
24,5,258.1732908489784
24,6,2.005018931699425
24,7,198.11215422518072
24,8,1179.5556407074057
24,9,3.330037530022495
24,10,63.55482228189923
24,11,418.04775428774775
24,12,8339.567733687529
24,13,14.222975925339044
24,14,2.2891509642719057
24,15,3469.9018967418733
24,16,228.12686831005857
24,17,180.2954781559416
24,18,122.0431400136635
24,19,1.4366188526091537
24,20,24295.466991278387
24,21,448.6242145459368
24,22,12705.312381147807
24,23,63094.21548381557
25,0,6892.970131359634
25,1,10968.798703937073
25,2,30814.630744033995
25,3,12105.512985766036
25,4,4904.345177291718
25,5,2104.9980394129375
25,6,6050.953137604765
25,7,25123.911274618305
25,8,1049.0240662308938
25,9,6830.102608209913
25,10,13475.228782143995
25,11,10095.896869221078
25,12,297.76499086960257
25,13,8465.46832260424
25,14,45772.303496097426
25,15,5.158506114247066
25,16,8648.0014449292
25,17,6424.793787948732
25,18,15137.285769080285
25,19,11507.573331269234
25,20,32.6568599598283
25,21,12322.303596895808
25,22,4313.627726144513
25,23,82388.45223382986
25,24,226797.12084281555
25,26,671591.672263264
25,27,128648.55097401641
25,28,81292.35977321831
25,29,38027.28208351259
26,0,325.85552134812707
26,1,4785.772215740446
26,3,39.67668218694593
26,4,13978.194017332962
26,5,15666.911183673394
26,6,118.13229695140389
26,7,209.86951524560496
26,8,8254.460027955074
26,9,654.5322545192768
26,10,5582.155182790616
26,11,50.53520232898744
26,12,20503.240687683523
26,13,46598.32246039142
26,14,21838.829438742083
26,15,5499.172925744807
26,16,1.2482217505439652
26,17,2711.3893511626293
26,18,41634.61426341923
26,19,518.4714666564211
26,20,82344.23277933276
26,21,134.74056612232977
26,22,6561.241292130854
26,23,13349.352556401014
26,25,716845.8781362007
27,0,24895.78980779794
27,1,13694.30696296728
27,2,2781.6074255941476
27,3,8263.428653280202
27,4,612.4304773438539
27,5,350.0685336266571
27,6,5963.308148183898
27,7,6533.9189801347065
