i,tau,E
0,inf,0.0
1,0.010676859186112731,0.49114
2,0.005748633922758416,0.96095
3,0.004012313014039597,1.41002
4,0.0030408494772314366,1.83885
5,0.0023838902077892104,2.2479
6,0.0024197596010924797,2.63754
7,0.002251400042204101,3.00807
8,0.0018228909135062775,3.35966
9,0.0018008228364867062,3.69235
10,0.0015061409972948196,4.00609
11,0.0015367060841363124,4.30061
12,0.001285618950642083,4.57542
13,0.001223828562186214,4.82978
14,0.0012482787024721688,5.0626
15,0.0017763800554579925,5.27233
16,0.005311271556111314,5.45684
17,0.0179638859298747,5.61323
18,0.04625769041415318,5.73757
19,0.0991320676103747,5.82411
