i,f,tau_if
1,0,0.010676859186112731
2,0,0.057547125908953244
2,1,0.006386621453103824
3,0,1.4473621321410715
3,1,0.01907608135655458
3,2,0.005098913352023903
4,0,13.095439710910677
4,1,0.3895300308293996
4,2,0.009403467443112013
4,3,0.004548180028677073
5,0,92.81702457666023
5,1,2.9329767291852065
5,2,0.16479536669988926
5,3,0.005519231014400918
5,4,0.004312614733999646
6,0,690.895404131061
6,1,16.546688390350543
6,2,0.8502051904561234
6,3,0.05696547490984552
6,4,0.005944518467558167
6,5,0.0044199006839917765
7,0,3996.794564319495
7,1,99.55500877655916
7,2,4.862742165088288
7,3,0.38123434582848764
7,4,0.035860258886411624
7,5,0.005081515791311892
7,6,0.004615710503949201
8,0,18845.13403468761
8,1,520.1991733181148
8,2,24.529577691715023
8,3,2.00352740228079
8,4,0.20654328204914787
8,5,0.022334900914802114
8,6,0.0033314908641478387
8,7,0.0050439625357419715
9,0,80077.53821838919
9,1,2269.1539375662114
9,2,113.47981472434837
9,3,8.7504847790965
9,4,0.9333337984170719
9,5,0.11463878729085801
9,6,0.014712688601218993
9,7,0.003212035767752085
9,8,0.006020973199815958
10,0,392975.40460405854
10,1,8256.90019703608
10,2,460.0119866334254
10,3,32.65167433673038
10,4,3.841534613567828
10,5,0.4591623411384769
10,6,0.07013045320030178
10,7,0.010188626248077924
10,8,0.00235576702077547
10,9,0.008027012249282218
11,1,24162.054591122134
11,2,1646.6065602424148
11,3,121.5374449303656
11,4,12.425528243250984
11,5,1.724778882342411
11,6,0.2496542062836
11,7,0.04564307549405527
11,8,0.007252824073081096
11,9,0.002471254426203842
11,10,0.012250608352558446
12,2,5401.380354119745
12,3,385.8947549695978
12,4,40.71766337299307
12,5,4.613086280534237
12,6,0.787461288352507
12,7,0.147724747841208
12,8,0.031267081479906915
12,9,0.005294383553940238
12,10,0.0019595305322880822
12,11,0.02606620159605028
13,3,1164.283855291596
13,4,118.74169308128377
13,5,14.862465157873531
13,6,2.155752710309479
13,7,0.4393747368111874
13,8,0.0944616795609491
13,9,0.022365259483491218
13,10,0.003895347678075834
13,11,0.002012168963068704
13,12,0.1886666834356229
14,4,304.6676666657546
14,5,43.21091346509666
14,6,5.848124191433144
14,7,1.2141989319705169
14,8,0.2569008205610049
14,9,0.062447851394030356
14,10,0.017001650254617882
14,11,0.002907787071697805
14,12,0.002649327544507971
15,5,102.19532198406333
15,6,16.870958111923894
15,7,2.646791415071124
15,8,0.6938743103142956
15,9,0.1549690247493128
15,10,0.04990111636089127
15,11,0.01107766026598793
15,12,0.0022507809615977233
16,6,42.06720054343297
16,7,7.05963067051377
16,8,1.6674285591324292
16,9,0.45817538403919195
16,10,0.09521592832291477
16,11,0.04408087374806162
16,12,0.0065727597762115985
17,7,20.496962284389202
17,8,2.2664063056109756
17,9,1.334825487926193
17,10,0.16689876156880273
17,11,0.10580718655494238
17,12,0.025650722745407445
18,8,7.409277722557222
18,9,1.8418063646228573
18,10,0.7112220421673044
18,11,0.11886751013565856
18,12,0.0899170813185692
19,9,1.9412019539634842
19,10,4.185698971525281
19,11,0.1770957468756473
19,12,0.2712352319614128
