i,tau,E
0,inf,0.70731
1,0.2667057768550594,0.76506
2,192.66798175284183,0.82218
3,44.57345373532498,0.88109
4,0.13512290097705368,0.93879
5,0.09812077375390271,0.95823
6,0.2980738921981856,0.99803
7,0.9906913721084273,1.01497
8,42.69763693777894,1.05561
9,15.278462611649928,1.07118
10,54.13683511660482,1.11453
11,1.1527325497076084,1.12919
12,0.0028444513841357085,1.16017
13,36.66404240558238,1.17147
14,11.944348102187869,1.18606
15,0.06900077860388591,1.20651
16,0.03375056360538247,1.21513
17,0.2039486617872165,1.22965
18,0.09298948585536074,1.24448
19,0.015525335695302707,1.26221
20,0.0030052146976609156,1.2695
21,0.016117855085889015,1.2855
22,0.014932730074830074,1.30129
