i,f,tau_if
1,0,0.2667057768550594
2,0,230.24697894209055
2,1,1180.479098844962
3,0,447.9838777252122
3,1,55.16093082112732
3,2,482.18756536463036
4,0,4517.131070857493
4,1,1287.4609884387505
4,2,16.82784052199677
4,3,0.1362353914642393
4,5,99815.62433518241
5,0,0.09903213387871118
5,1,110.68506799629151
5,2,16.59592818313601
5,3,41.025000519723136
5,4,8100.277698411866
6,0,3343.4061659615422
6,1,1458.9025191521405
6,2,418.17664434805687
6,3,461.89630145830125
6,4,0.2985886164549511
6,5,4312.141507141456
6,7,94744.41168831997
7,0,2.67372231769959
7,1,410.65232568614806
7,2,314.63591418803634
7,3,1179.6014175673492
7,4,271.71089483895946
7,5,1.599507024682102
7,6,19419.616955319412
8,0,682.8333164463307
8,1,2748.9943752023814
8,2,1111.10757868348
8,3,421.4071930481161
8,4,63.837874728733176
8,5,2961.716027275659
8,6,491.9777051135884
8,7,3784.3413196909573
8,9,49859.29351537819
9,0,1107.8108964246567
9,1,134.5323594795598
9,2,72.15327632686986
9,3,267.2127534050035
9,4,37.589929621496864
9,5,150.06324297454006
9,6,248.52118586215946
9,7,454.47643147560086
9,8,43120.22836513992
10,0,1494.2330273351724
10,1,925.1618136189011
10,2,2464.7176746389746
10,3,610.0723087898438
10,4,193.43557655721557
10,5,1540.9783954333698
10,6,192.5365671108304
10,7,3328.958663165962
10,8,356.9289620808724
10,9,1904.0164641387667
10,11,27034.771582176985
11,0,645.980629272635
11,1,923.9131067627552
11,2,70.37300264748241
11,3,2.4580031447811335
11,4,4.1794383856476855
11,5,750.3471780328025
11,6,125.35996695460702
11,7,414.1080398340922
11,8,218.8830317348442
11,9,5.312308842245825
11,10,36575.457231513006
12,0,0.00293882797899475
12,1,0.09109606948914745
12,2,14.349784356928772
12,3,6314.172790457187
12,4,606.6037233418175
12,5,4.621836713206202
12,6,3788.257284543342
12,7,266.6572671599515
12,8,69.97361702942769
12,9,710.6942719288274
12,10,203.18806736702575
12,11,39541.72803665112
13,0,258.79336672706177
13,1,1058.4057608498915
13,2,861.6242357274159
13,3,690.1596686640397
13,4,366.0702080925811
13,5,1537.7748758753546
13,6,208.60872944925345
13,7,2182.9071387212152
13,8,262.26638622027355
13,9,1242.3553051648396
13,10,166.9389609113647
13,11,2922.357813311336
13,12,7244.738866380379
13,14,25736.948481253068
13,15,22802.658598105332
13,16,19425.41908721795
14,0,363.68403008062865
14,1,990.8871628394938
14,2,403.258452001878
14,3,104.94881209683359
14,4,38.357084239505504
14,5,1056.409707645195
14,6,188.17146644162395
14,7,702.1619585437139
14,8,254.30522663410366
14,9,155.22931263291744
14,10,1052.9810714630896
14,11,44.02085218787459
14,12,13188.364881536747
14,13,31026.847601463363
14,15,37645.41614340284
14,16,42625.745950554134
15,0,3.5622535644431648
15,1,68.07300690218723
15,2,379.42121543014025
15,3,638.5735314772204
15,4,239.4104566990689
15,5,0.07131276840874405
15,6,879.5554956598246
15,7,21.420535873431028
15,8,1727.2180741507232
15,9,11.574756821659747
15,10,6698.305650607807
15,11,33.26963430506247
15,12,1137.4716034926591
15,13,15685.684796078842
15,14,8234.698759717812
16,0,0.17069172498894788
16,1,191.6687029639942
16,2,0.04972534309125812
16,3,1.4488267258504974
16,4,212.9610992269586
16,5,975.6772265996176
16,6,4133.068651153066
16,7,586.6664232093509
16,8,629.2519791211383
16,9,186.1388324439826
16,10,246.10832769637966
16,11,971.4165909920277
16,12,0.33964107080655803
16,13,1483.491757650815
16,14,65927.18837252595
16,15,41339.39644481191
17,0,1123.1905058769644
17,1,196.66969609630274
17,2,764.0121534655523
17,3,1438.3460128325414
17,4,68.32447722642755
17,6,255.44482415115118
17,7,1147.140427549526
17,8,0.23795793592111722
17,9,12705.83311840576
17,10,1.6398645665517744
17,11,5074.887151174836
17,12,2395.174574964681
17,13,15.963760766819515
17,14,8775.715632516121
17,16,8761.890683021375
18,1,1712.3487522772484
18,2,11.984177288836303
18,3,309.6864250981111
18,4,2.94252792848176
18,5,5031.737270218561
18,6,0.10385455212465124
18,7,1392.9404049030572
18,8,1.5026821703378392
18,9,822.5242979547646
18,10,52.34031033922728
18,11,201.4501014415829
18,12,2814.161206953064
18,13,829.1007241027261
18,14,220.6390460938837
18,15,6126.628393970729
18,17,59132.28413194013
19,0,563.7640117333233
19,1,0.2771269187955248
19,2,64.36486442594806
19,3,3626.850594326161
19,4,4656.955896484335
19,5,1.1229897206422172
19,6,891.3818329388137
19,7,0.01802276698420307
19,9,0.9024688166545003
19,10,1693.9272334055381
19,11,15.324523536136713
19,13,18187.768124882787
19,14,446.68883933085135
19,15,0.3095238465748532
19,16,1677.4634762186763
19,18,27217.470791741463
20,0,177.19657779681953
20,1,0.0957427087051015
20,2,0.0034951599379772626
20,3,0.0353723213960786
20,4,0.772001741194476
20,5,351.228774906169
20,6,57.748488366345306
20,7,1279.4405415339736
20,8,2154.6525066041
20,9,4.182554902368676
20,10,169.13592362405944
20,11,116.79567059206987
20,12,396.6864398480086
20,13,69.91123577172178
20,14,913.0911482338571
20,16,0.15786361852858433
20,17,843.5683598329239
21,0,167.17219175897694
21,1,150.93224505108793
21,2,8.557699305123867
21,3,40.08430979332978
21,4,279.1315012706257
21,6,28.84536497560275
21,8,1.3827049541461789
21,9,2382.534064813376
21,10,0.156333174116915
21,11,1818.9884516847856
21,12,707.9199262024048
21,13,0.026369676904776162
21,14,390.1564355858834
21,16,203.40109299044676
21,17,0.05953115110876652
21,18,4271.162004914197
21,20,6596.087317470941
22,3,5.569014217648482
22,4,33.374497032306266
22,5,44.15011037527594
22,6,2.243158366980709
22,8,0.03197855597772314
22,9,8.301167014601551
22,10,1.9129603235744486
22,11,0.5985694453595649
22,13,7.721709598012586
22,14,0.04958395402465557
22,15,66.02839940533022
22,18,0.08070699339238971
22,19,814.4321205634144
