i,tau,E
0,inf,0.0
1,18.514951587640706,0.03441
2,9.269399075222632,0.06852
3,6.190877138472826,0.10234
4,4.654208958288524,0.13587
5,3.7344247406652453,0.16911
6,3.123297559511567,0.20208
7,2.688818025679512,0.23475
8,2.3648743168053263,0.26715
9,2.11459562576577,0.29928
10,1.915849548025006,0.33112
11,1.7545049943687145,0.3627
12,1.6211304819016394,0.394
13,1.5092073199268026,0.42504
14,1.4140492304478627,0.45581
15,1.3322400354222792,0.48632
16,1.2612049758065396,0.51656
17,1.198982486629771,0.54655
18,1.1440523659683424,0.57628
19,1.0952130183525213,0.60575
20,1.0515164197206208,0.63497
21,1.0121910293864416,0.66394
22,0.9766166423919326,0.69266
23,0.9442916400016073,0.72113
24,0.9147938012094499,0.74936
25,0.8877807792264513,0.77734
26,0.8629649690092582,0.80508
27,0.8401038449827364,0.83259
28,0.818992474913634,0.85985
29,0.7994540949053573,0.88688
30,0.7813404106011016,0.91368
31,0.7645181910564491,0.94025
32,0.748874696354726,0.96658
33,0.7343095170836543,0.99269
34,0.7207324569709128,1.01857
35,0.7080641320441045,1.04423
36,0.6962305772127533,1.06966
37,0.6851684377400994,1.09487
38,0.6748181503861136,1.11987
39,0.6651261319390523,1.14464
40,0.6560432127437635,1.1692
41,0.6475243956089572,1.19355
42,0.6395288806826853,1.21769
43,0.6320173459538312,1.24161
44,0.6249557476916341,1.26533
45,0.6183143367214216,1.28884
46,0.6120604550122243,1.31214
47,0.6061692983141531,1.33524
48,0.6006148507377745,1.35814
49,0.595375997742228,1.38084
50,0.5904287291118883,1.40333
51,0.5857578217198833,1.42564
52,0.5813435977692476,1.44774
53,0.5771715266311721,1.46965
54,0.5732251208220843,1.49137
55,0.5694928441732772,1.5129
56,0.5659614588440757,1.53424
57,0.5626201740826791,1.55539
58,0.5594588259616067,1.57636
59,0.5564694959382236,1.59714
60,0.5536410795447603,1.61774
61,0.5509671415349064,1.63815
62,0.5484396211908594,1.65839
63,0.5460530863941796,1.67845
64,0.543798895930822,1.69833
65,0.541673538205306,1.71804
66,0.5396705998523921,1.73757
67,0.53778468738077,1.75693
68,0.5360121611806162,1.77611
69,0.5343483634501437,1.79513
70,0.5327886259018314,1.81398
71,0.5313286091093603,1.83267
72,0.5299649144035998,1.85119
73,0.5286940884025897,1.86954
74,0.5275117719076259,1.88773
75,0.5264162619984213,1.90577
76,0.5254028934243318,1.92364
77,0.5244704278213831,1.94135
78,0.523615646551904,1.95891
79,0.5228362818262542,1.97631
80,0.5221299335613986,1.99356
81,0.5214947074267866,2.01066
82,0.5209275462078515,2.0276
83,0.5204286995229532,2.0444
84,0.5199935164274428,2.06105
85,0.5196221641040701,2.07755
86,0.5193121656755221,2.09391
87,0.5190619125217985,2.11012
88,0.5188696371248579,2.12619
89,0.5187341708815402,2.14212
90,0.5186544821202514,2.1579
91,0.5186283396977214,2.17355
92,0.5186556070585854,2.18906
93,0.518734242650278,2.20444
94,0.5188629710116508,2.21968
95,0.5190428518786769,2.23479
96,0.5192710522989897,2.24976
97,0.5195467600568586,2.26461
98,0.5198708403732011,2.27933
99,0.5202411084564297,2.29391
100,0.5206576410063798,2.30837
101,0.5211202948827672,2.32271
102,0.5216277977543484,2.33692
103,0.5221797005933095,2.35101
104,0.5227757084416949,2.36497
105,0.5234155403542256,2.37882
106,0.5240992081138949,2.39254
107,0.5248250765553402,2.40615
108,0.5255939855217092,2.41964
109,0.5264051806287943,2.43302
110,0.5272588282359136,2.44628
111,0.5281531344426382,2.45943
112,0.5290897770730876,2.47246
113,0.5300670599126807,2.48539
114,0.5310855218502448,2.4982
115,0.5321441439114126,2.51091
116,0.5332426043071629,2.52351
117,0.5343813407622714,2.536
118,0.5355594315661434,2.54839
119,0.5367771278396547,2.56067
120,0.5380340639071515,2.57285
