i,f,tau_if
1,0,18.514951587640706
2,0,460.61060969476387
2,1,9.459768926665614
3,0,9086.960085708255
3,1,162.01131467045298
3,2,6.4414087392474055
4,0,178715.99201218487
4,1,2379.8355135382944
4,2,85.5425137495733
4,3,4.932343128307116
5,0,3109327.946484746
5,1,37495.35442281494
5,2,997.4212251438186
5,3,54.24847987699433
5,4,4.027133427192585
6,0,47870304.756812595
6,1,544777.5704559373
6,2,13119.12814184152
6,3,522.4727087897381
6,4,38.273164841118664
6,5,3.4240196233611644
7,0,655873636.2616512
7,1,7233723.398680939
7,2,163511.8379634433
7,3,5909.326673659921
7,4,312.5718817946711
7,5,28.982061264143717
7,6,2.993727105035579
8,0,8530781582.404568
8,1,87295840.92190893
8,2,1915850.0432332307
8,3,64349.59410955053
8,4,3110.252697073492
8,5,204.35894038377668
8,6,23.088179814807383
8,7,2.6715659268537766
9,0,152463361603.0866
9,1,1000308071.0649902
9,2,20571781.152336136
9,3,675177.5397863876
9,4,30033.3898461387
9,5,1819.4276638309673
9,6,142.48649235497285
9,7,19.104672765294186
9,8,2.4215550554205665
10,0,125255563000808.7
10,1,12224277646.135292
10,2,210479265.66304216
10,3,6601817.168843357
10,4,284105.3490726773
10,5,15815.939310899665
10,6,1147.9887619421854
10,7,104.35695829922412
10,8,16.281525782613162
10,9,2.222114264039315
11,0,71770858318561.47
11,1,203402191038.4538
11,2,2163326533.779346
11,3,60523196.74589935
11,4,2587559.2245566812
11,5,135560.95206461175
11,6,9111.176109711516
11,7,767.2762720405884
11,8,79.45595725607409
11,9,14.206182052949591
11,10,2.059464973115874
12,1,5955127658757.569
12,2,32622579971.47054
12,3,565612775.0656747
12,4,21505864.056484226
12,5,1141308.0964015205
12,6,71262.23629628027
12,7,5617.994727060741
12,8,536.7787863741104
12,9,62.435464348539284
12,10,12.634833074550667
12,11,1.9244286269717445
13,2,401822581193.90924
13,3,5562831601.87617
13,4,181307556.75953242
13,5,9188116.177259209
13,6,553302.6992712998
13,7,40439.988048887346
13,8,3654.824370168931
13,9,389.7249681779009
13,10,50.36161223974069
13,11,11.41644523809257
13,12,1.810662684760394
14,3,96279840177.10725
14,4,1547226616.2940238
14,5,67349808.87627271
14,6,4244312.785181504
14,7,290891.2040743281
14,8,24402.404415733
14,9,2482.5616571099335
14,10,291.84653458993427
14,11,41.530174194793744
14,12,10.45241178763934
14,13,1.7136068049723214
15,4,22056140623.22437
15,5,518217790.6897817
15,6,29770484.550086018
15,7,2074985.2999619057
15,8,163475.23061788926
15,9,15485.981533550605
15,10,1747.5700027560813
15,11,224.34396052714422
15,12,34.90214888753215
15,13,9.676351844574564
15,14,1.6299431055709672
16,5,5058807185.603579
16,6,198834828.27766588
16,7,14289057.825621342
16,8,1086258.623278626
16,9,97051.06084119887
16,10,10249.149851097194
16,11,1267.6510359272525
16,12,176.38148725876962
16,13,29.817870403157947
16,14,9.041912053200367
16,15,1.5571660840254973
17,6,1761135545.383385
17,7,86747349.28499995
17,8,7189056.737131374
17,9,605117.4683065437
17,10,60284.81973147052
17,11,7029.438970194501
17,12,943.4843605514565
17,13,141.4106366963066
17,14,25.844021280971763
17,15,8.515956118869022
17,16,1.4933662684562716
18,7,562560087.0201405
18,8,43190842.94512693
18,9,3760970.166585317
18,10,355219.6342599046
18,11,38956.03166699725
18,12,4968.565710630234
18,13,718.097262623625
18,14,115.33737025795871
18,15,22.68756455224938
18,16,8.074114227603875
18,17,1.4370635882499496
19,8,232133830.73888487
19,9,23511624.10914721
19,10,2072264.0560532091
19,11,217267.77456759568
19,12,26065.509692639
19,13,3603.9853147807135
19,14,557.3988556093441
19,15,95.51356659019277
19,16,20.1448176216049
19,17,7.69823065565677
19,18,1.3870796849148757
20,9,116792342.78972565
20,10,12017211.764568333
20,11,1204341.69783871
20,12,137810.7343486752
20,13,17971.491608418517
20,14,2673.919607757098
20,15,440.2510745448311
20,16,80.17935659678821
20,17,18.07131590131163
20,18,7.374491903627903
20,19,1.3424848768512458
21,10,62264851.57762984
21,11,6634660.375184901
21,12,727116.8634841316
21,13,90363.90267455626
21,14,12717.83230711148
21,15,2023.8060538861632
21,16,353.1731349331178
21,17,68.13412353730763
21,18,16.36227048191327
21,19,7.092258106704453
21,20,1.302512399149828
22,11,63045425.60068754
22,12,3825357.4924871046
22,13,453730.66195758723
22,14,61003.305449426574
22,15,9211.545082663177
22,16,1559.034727992155
22,17,287.3110764923102
22,18,58.541714004497486
22,19,14.940431467266652
22,20,6.8433983428422325
22,21,1.2665389580555986
23,12,19971222.060073316
23,13,2279912.264697987
23,14,292638.266781692
23,15,42229.23352722317
23,16,6811.852135323007
23,17,1220.1189622988616
23,18,236.71241845268403
23,19,50.80790606054554
23,20,13.747912864070987
23,21,6.621485763101701
23,22,1.2340612448437853
24,13,11412329.028366972
24,14,1399467.4255643294
24,15,194343.07712089445
24,16,29907.39397706658
24,17,5130.737586437352
24,18,968.6203249684207
24,19,197.2842337692707
24,20,44.50290034531069
24,21,12.740612053156244
24,22,6.421592491436999
24,23,1.204641072761413
25,14,6754327.9373477455
25,15,888487.2910346258
25,16,132202.69028998938
25,17,21627.545034446408
25,18,3928.4487796283647
25,19,779.0197625769878
25,20,166.16408685263679
25,21,39.31063101183224
25,22,11.884625734395081
25,23,6.239751961610248
25,24,1.1779267166012022
26,15,4086355.4935492687
26,16,581138.9856467026
26,17,91885.72723305941
26,18,15939.368323312545
26,19,3052.8042984065182
26,20,633.9992905243872
26,21,141.31427110100353
26,22,34.9954645711997
26,23,11.153419219605752
26,24,6.073070014178766
26,25,1.1536106137133997
27,16,2544365.5743940403
27,17,389650.3257063276
27,18,65179.71049020302
27,19,11947.379218082753
27,20,2404.672691896724
27,21,521.6192211730993
27,22,121.25806353919273
27,23,31.379202032522123
27,24,10.526127234978112
27,25,5.919112916174338
27,26,1.131435441012588
28,17,1638377.481162138
28,18,266515.9386897519
28,19,47125.158434514575
28,20,9095.071472966243
28,21,1917.6065129673207
28,22,433.4829217115226
28,23,104.91071699515855
28,24,28.32549251918463
28,25,9.986128918620336
28,26,5.776072463901917
28,27,1.111178027801644
29,18,1083987.0503188607
29,19,186088.40773788936
29,20,34651.677816245836
29,21,7022.709010438657
29,22,1546.5447595317307
29,23,363.5990094892886
29,24,91.46528822214029
29,25,25.728842813589935
29,26,9.520013610198657
29,27,5.642525610621362
29,28,1.0926434225507449
30,19,731660.3271219926
30,20,132396.02277063928
30,21,25877.52605567086
30,22,5493.822165904325
30,23,1260.2995556374797
30,24,307.61974796958935
30,25,80.31417192216652
30,26,23.506773719507397
30,27,9.116905118731776
30,28,5.517365491656852
30,29,1.075669274062768
31,20,503577.589726011
31,21,95829.93401268253
31,22,19604.041471503147
31,23,4349.099730499814
31,24,1036.9946775934964
31,25,262.35308908707395
31,26,70.99416090968606
31,27,21.594112810935496
31,28,8.76789046392027
31,29,5.399701840038944
31,30,1.060106456330671
32,21,353229.8106347119
32,22,70395.94460152075
32,23,15054.543108145237
32,24,3480.7000818214096
32,25,860.9263526041346
32,26,225.4294762595149
32,27,63.148419513572165
32,28,19.93903904900716
32,29,8.465599625573553
32,30,5.288805619523363
32,31,1.0458322440832029
33,22,252241.90663872834
33,23,52449.360296549065
33,24,11704.055073061158
33,25,2814.066743271706
33,26,720.743078242141
33,27,195.06528475488284
33,28,56.49972188412017
33,29,18.499781750052964
33,30,8.203967779403763
33,31,5.184155126298915
33,32,1.03273331944923
34,23,182717.25241271203
34,24,39607.62367172717
34,25,9204.104773505373
34,26,2296.6468685325403
34,27,608.1050175794892
34,28,169.9055469079837
34,29,50.83012460058678
34,30,17.242692986050287
34,31,7.977804977035181
34,32,5.085245452931031
34,33,1.0207117860523598
35,24,134210.4012136639
35,25,30288.563776601983
35,26,7315.2423240422095
35,27,1890.8657691079843
35,28,516.8410788016199
35,29,148.90902527027043
35,30,45.96777035948504
35,31,16.140171419119326
35,32,7.782800116836655
35,33,4.991710556755509
35,34,1.0096798900856785
36,25,99875.41810844782
36,26,23431.776048291355
36,27,5872.530403096288
36,28,1569.5336189435552
36,29,442.3091557651461
36,30,131.27070121424464
36,31,41.77480604006287
36,32,15.169691780901253
36,33,7.615210840647552
36,34,4.9031520265923865
36,35,0.9995585877668944
37,26,75299.29194249421
37,27,18323.849188757024
