i,tau,E
0,inf,0.0
1,0.034101252544717485,0.16867
2,0.017658778327483672,0.33178
3,0.012285889589471223,0.48944
4,0.009601153159688796,0.64176
5,0.00794101886777521,0.78882
6,0.006881030030987484,0.93071
7,0.006098605470274644,1.0675
8,0.005547194412986597,1.19923
9,0.005118894079492189,1.32592
10,0.004794341683686468,1.44757
11,0.004543998501053014,1.56415
12,0.004410429490068981,1.67556
13,0.004321869228068338,1.78168
14,0.004310873461256861,1.88228
15,0.004390567104312377,1.97708
16,0.004588657870363137,2.06564
17,0.004442562503763847,2.14737
18,0.004146310872770336,2.22147
19,0.0040716623804174425,2.28687
20,0.005231059926759859,2.34217
21,0.006588320157622237,2.38561
22,0.0101018279659519,2.4151
23,0.0357190382740294,2.42854
