i,f,tau_if
1,0,0.034101252544717485
2,0,0.5817615363458271
2,1,0.018211572029671292
3,0,22.53017136951144
3,1,0.1912484928262584
3,2,0.01313697874313672
4,0,82.35232567734326
4,1,5.808455976918694
4,2,0.09375942467311581
4,3,0.010717624783805526
5,0,165.26878244616285
5,1,25.599193005498137
5,2,2.424773862387439
5,3,0.05484912876729099
5,4,0.009324959565165901
6,0,462.51180229372153
6,1,37.71805766236836
6,2,14.5205211982672
6,3,1.2790096078419255
6,4,0.03574559374877389
6,5,0.008585739321520899
7,0,1346.8862353466334
7,1,88.83452694532592
7,2,14.97991656991276
7,3,12.756316063575042
7,4,0.7479383435278276
7,5,0.025005836779221285
7,6,0.008164125556749295
8,0,3885.5844003217235
8,1,228.0361077612532
8,2,30.307222885520066
8,3,7.990643016804398
8,4,29.76101155727406
8,5,0.46768947497649516
8,6,0.018431886740852756
8,7,0.008085188949718217
9,0,10820.695082283504
9,1,591.8256715999736
9,2,69.1698609189329
9,3,13.9407642455705
9,4,5.200374771116578
9,5,15.961695067329186
9,6,0.2985342174038915
9,7,0.014125032235739346
9,8,0.008273640185394816
10,0,28699.017163977962
10,1,1497.7647944394214
10,2,161.59211240786146
10,3,28.466692217309266
10,4,7.769589391864889
10,5,3.9584043181272865
10,6,4.172912796207837
10,7,0.18942124344134825
10,8,0.011383934473810767
10,9,0.008711265431416515
11,0,74439.76371349517
11,1,3709.7585663527934
11,2,379.28093438858224
11,3,61.060027998367275
11,4,14.383269265737896
11,5,5.028316186878016
11,6,3.5030862043901156
11,7,2.2008785959846615
11,8,0.12214029457352917
11,9,0.009375104517906926
11,10,0.009597832676111898
12,0,188859.06643855543
12,1,8839.070574881105
12,2,868.5041211853564
12,3,130.99210822131252
12,4,28.27617957806955
12,5,8.39126057170017
12,6,3.660577313111283
12,7,3.6588569576526986
12,8,1.3971244835960628
12,9,0.07861469970806623
12,10,0.008194952455011163
12,11,0.011042037034308349
13,0,489543.553176377
13,1,20880.02618030504
13,2,1954.992725532689
13,3,281.3255148133742
13,4,56.85903456008801
13,5,15.329024747568345
13,6,5.532357695312488
13,7,2.9807561247066854
13,8,5.0168494725099
13,9,0.9683538885387101
13,10,0.051755364227067044
13,11,0.007299426158868627
13,12,0.013656083451172798
14,0,1318211.6873949424
14,1,49085.740956037625
14,2,4271.043790727616
14,3,596.734365532872
14,4,114.10866469581404
14,5,28.834183255836102
14,6,9.371666078988381
14,7,4.0457857371287655
14,8,2.7109289112334105
14,9,19.875221333176093
14,10,0.6678224609504222
14,11,0.03453251884587831
14,12,0.0067874109654111475
14,13,0.018738554447142987
15,0,3770369.779747635
15,1,115348.89200298334
15,2,9105.629949051294
15,3,1243.1984486572285
15,4,226.71222612633258
15,5,54.48497546659704
15,6,16.58604402701533
15,7,6.357442289969264
15,8,3.2657461754111625
15,9,2.8026858640910675
15,10,7.465572229296653
15,11,0.4320549178107457
15,12,0.02343814326715564
15,13,0.00667293573173611
15,14,0.031364005444287746
16,0,11404402.472224101
16,1,265836.8658107924
16,2,19192.280488605356
16,3,2528.772631713644
16,4,444.2503608200136
16,5,102.46199351941291
16,6,29.74465136338543
16,7,10.616628658268846
16,8,4.753140335919961
16,9,2.9233556077096723
16,10,3.4894076200972304
16,11,2.8433717747692175
16,12,0.2575898709611666
16,13,0.01634215292563106
16,14,0.007060386856044281
16,15,0.10112501581862647
17,0,32884265.42527681
17,1,583623.8289497291
17,2,40518.18860858398
17,3,5003.99188852651
17,4,857.7243724093506
17,5,191.28251936758562
17,6,53.4388910034849
17,7,18.18472068247025
17,8,7.5069229152029475
17,9,3.9388936772906247
17,10,2.9588182486276655
17,11,6.435924312860275
17,12,1.7143889191812565
17,13,0.14344373777654548
17,14,0.011998709629717651
17,15,0.00824210172110538
17,16,0.08396795395192527
18,0,75207077.93060575
18,1,1210983.3291986152
18,2,85882.49301618591
18,3,9659.080911015635
18,4,1636.2187079784683
18,5,355.46092046370626
18,6,96.12472808679094
18,7,31.55809171889269
18,8,12.389508916900308
18,9,5.921298503227114
18,10,3.672452384762106
18,11,3.5742792985089062
18,12,78.26675633964939
18,13,1.0681718174815786
18,14,0.07582063519038619
18,15,0.009808600625995314
18,16,0.010986381313284912
18,17,0.030102485872525044
19,0,139215615.6871311
19,1,2462000.40442095
19,2,183041.28983365904
19,3,18525.084231840738
19,4,3122.892248473993
19,5,664.12981760268
19,6,174.3844975918079
19,7,55.62677243767313
19,8,21.11396473031826
19,9,9.499674416761751
19,10,5.291319454364313
19,11,3.9990212331118933
19,12,6.106313218551139
19,13,4.8509551907081025
19,14,0.5868843842983962
19,15,0.039522169984094545
19,16,0.008622961727449552
19,17,0.016743346919656735
19,18,0.023859556559512742
20,0,237014382.8554157
20,1,4866257.848334426
20,2,382880.6067968233
20,3,35882.9948837092
20,4,6040.516964046643
20,5,1267.6399706656903
20,6,325.54751450146966
20,7,101.58104822137814
20,8,37.68630384280436
20,9,16.324790293054726
20,10,8.532408516406637
20,11,5.671002187078955
20,12,5.745697193635134
20,13,57.23353680927013
20,14,2.5592613724566355
20,15,0.256036789017255
20,16,0.02204625922469682
20,17,0.012005125380101497
20,18,0.03681268300803163
20,19,0.032828646888799565
21,0,449715719.28459364
21,1,9921962.173771039
21,2,849450.6380399737
21,3,72684.31315548453
21,4,12259.219733138683
21,5,2550.5338028558704
21,6,641.7494953552066
21,7,196.40389653316274
21,8,71.74480866677617
21,9,30.33088817809745
21,10,15.221818146412975
21,11,9.442574120335726
21,12,8.08412344149081
21,13,15.570815304797032
21,14,9.438081731027417
21,15,1.3462698284781085
21,16,0.10013031012811954
21,17,0.015171994213534656
21,18,0.018912036970354745
21,19,0.2206774500616535
21,20,0.05808662201267931
22,0,672009068.3792988
22,1,23509026.062091876
22,2,2122094.4736127728
22,3,174077.88202376256
22,4,29742.758656484926
22,5,6166.634086347825
22,6,1529.7652183760977
22,7,462.90190370144825
22,8,167.3132722142853
22,9,69.94808273431687
22,10,34.32166898260862
22,11,20.657956205737396
22,12,16.291506183601637
22,13,24.705506024079146
22,14,63.76008147327433
22,15,5.181957422625619
22,16,0.5211632358298535
22,17,0.047648646871952256
22,18,0.01886154196512209
22,19,0.0938646979539822
22,20,0.12928561580019807
22,21,0.23427360862320165
23,0,1018757674.4484863
23,1,106319591.31919593
23,2,9382089.557463117
23,3,864274.9143043377
23,4,149432.0928759362
23,5,30938.795978478254
23,6,7643.437523342094
23,7,2305.77690589737
23,8,827.3393441457092
23,9,346.15484125483204
23,10,169.0680647685035
23,11,101.55213074148939
23,12,79.2851650865902
23,13,122.6858431867968
23,14,2529.897435710873
23,15,33.38347222429637
23,16,4.116203853593817
23,17,0.3210145729479268
23,18,0.07460284980399423
23,19,0.11871947604808697
23,20,4.443379349032856
23,21,0.4236641947967159
23,22,6.506801138866917
