i,f,tau_if
1,0,0.1384251850116253
2,0,0.08801153430352235
2,1,0.07955194690061758
3,0,3.429936099233608
3,1,0.029282270114188692
3,2,0.06469855244685319
4,0,81.70157774257987
4,1,0.7060707248909278
4,2,0.015018428606333827
4,3,0.06722692963488547
5,0,582.7463244803736
5,1,13.88233136593175
5,2,0.22629399465764152
5,3,0.00950382436877932
5,4,0.07978133820307941
6,0,2496.615901696693
6,1,76.49529765513054
6,2,3.8995082464949467
6,3,0.08455044290709468
6,4,0.007790414971367825
6,5,0.11766240847744726
7,0,7357.0484385825885
7,1,301.9680988732436
7,2,20.262599025879364
7,3,1.3654635210235597
7,4,0.03579053845736078
7,5,0.0072972950983135505
7,6,0.244797124608308
8,0,15710.726068837139
8,1,908.3016111141739
8,2,70.07164214704511
8,3,7.099694153465729
8,4,0.4690597437115543
8,5,0.016711415104480442
8,6,0.013016469703537346
8,7,2.0041716195202324
9,0,24295.228383485326
9,1,2282.6485812510055
9,2,207.88702756148473
9,3,26.769139111819648
9,4,3.1340583282561476
9,5,0.1356856759576514
9,6,0.01189774517264355
9,7,0.04512361548046567
9,8,0.3532573687091288
10,0,73331.71266805164
10,1,7850.35915375406
10,2,861.8562883179835
10,3,134.89817616928994
10,4,15.948909223824252
10,5,1.514195321488154
10,6,0.056647426651020044
10,7,0.04070302523471515
10,8,6.68668516951039
10,9,1.6829998732083449
11,0,402793.8923159996
11,1,43073.812794931764
11,2,5376.294967557061
11,3,902.9273985459956
11,4,107.89401230939441
11,5,14.838075629745767
11,6,0.4292668177370369
11,7,0.18017504456720954
11,8,4.269239584480522
11,9,6.207144757086724
11,10,376.89885059915633
