i,tau,E
0,inf,0.0
1,0.10935817717664974,0.2326
2,0.05573345074408294,0.46172
3,0.03771691694848771,0.68736
4,0.028729987108489775,0.90953
5,0.02346168622166657,1.12823
6,0.019877949018033164,1.34347
7,0.01733265814764092,1.55525
8,0.015437206833826073,1.76356
9,0.014039923839040774,1.96842
10,0.012877884404307701,2.1698
11,0.011939152923688976,2.3677
12,0.011168632804834636,2.56211
13,0.010528268577778234,2.75301
14,0.009991003587010714,2.94039
15,0.009537086718274447,3.12421
16,0.00915189846402662,3.30445
17,0.008824426680500432,3.48106
18,0.008503002307652425,3.654
19,0.008268234011722584,3.82322
20,0.008071587425078899,3.98864
21,0.007867556653865298,4.1502
22,0.007737438941995359,4.3078
23,0.007638191542343071,4.46136
24,0.007525885920245895,4.61074
25,0.007442896102003247,4.75583
26,0.007433567559697447,4.89647
27,0.0074119840494034665,5.03251
28,0.007424102811133408,5.16374
29,0.00747352884038328,5.28996
30,0.007592049183788321,5.41115
31,1.9877692371149287e-07,5.4801
32,0.007735641998660646,5.52695
33,0.007909071907331535,5.6371
34,3.9587820817208435e-06,5.63883
35,0.008185526650301323,5.74131
36,4.2157120650067265e-06,5.76554
37,1.9345825579223736e-07,5.77045
38,0.008557480182509675,5.83929
39,3.4545583549354414e-06,5.89048
40,0.009055811010264194,5.9307
41,2.8774483786327265e-06,6.01371
42,0.00962755687415547,6.01517
43,1.891092398856996e-07,6.05675
44,0.010524068441657073,6.09232
45,4.109376401986911e-06,6.13527
46,0.011719684557349966,6.16174
47,1.466414968752753,6.22297
48,3.846492700519756e-06,6.25518
49,220.86029827729857,6.27555
50,7.024865624654448,6.31903
51,1.8532821274443805e-07,6.33899
52,0.49302594831066016,6.35297
53,3.4001179682043478e-06,6.37345
54,0.1372628327344227,6.37699
55,0.12367446843835951,6.39089
56,0.1095443189795759,6.39655
57,0.0807261345046823,6.40227
58,0.0653915596827075,6.41013
59,0.05441536754494554,6.41972
60,0.04809669360241828,6.43082
61,0.04331341075820481,6.44332
62,0.03930740943007121,6.45712
63,3.674828208842612e-06,6.48992
64,4.4213494654925986e-08,6.49324
65,2.800319480312713e-06,6.60491
66,1.8206302891217206e-07,6.6172
67,2.401240197344321e-06,6.71774
68,4.94759910366908e-08,6.78054
69,2.5551557710463732e-06,6.83019
70,1.793201694912753e-07,6.8914
71,1.712066666430144e-06,6.93803
72,1.373292655050438e-06,7.03461
73,6.43652029419992e-08,7.07549
74,2.0450322288408783e-06,7.15916
75,1.7691419916245237e-07,7.16167
76,1.999685206107996e-06,7.25774
77,1.7327895307926467e-06,7.34058
78,9.459347897125104e-08,7.39481
79,1.746341684832024e-07,7.42807
80,1.1962160873757818e-06,7.47771
81,1.88091272965606e-06,7.57214
82,4.6729612385383405e-08,7.65226
83,2.5294432770175815e-06,7.66978
84,1.7239926442963712e-07,7.69066
