i,State
0,X2Pi
1,X2Pi
2,X2Pi
3,X2Pi
4,X2Pi
5,X2Pi
6,X2Pi
7,X2Pi
8,X2Pi
9,X2Pi
10,X2Pi
11,X2Pi
12,X2Pi
13,X2Pi
14,X2Pi
15,X2Pi
16,X2Pi
17,X2Pi
18,X2Pi
19,X2Pi
20,X2Pi
21,X2Pi
22,X2Pi
23,X2Pi
24,X2Pi
25,X2Pi
26,X2Pi
27,X2Pi
28,X2Pi
29,X2Pi
30,X2Pi
31,A2Sigma+
32,X2Pi
33,X2Pi
34,B2Pi
35,X2Pi
36,B2Pi
37,A2Sigma+
38,X2Pi
39,B2Pi
40,X2Pi
41,B2Pi
42,X2Pi
43,A2Sigma+
44,X2Pi
45,B2Pi
46,X2Pi
47,X2Pi
48,B2Pi
49,X2Pi
50,X2Pi
51,A2Sigma+
52,X2Pi
53,B2Pi
54,X2Pi
55,X2Pi
56,X2Pi
57,X2Pi
58,X2Pi
59,X2Pi
60,X2Pi
61,X2Pi
62,X2Pi
63,B2Pi
64,C2Pi
65,B2Pi
66,A2Sigma+
67,B2Pi
68,C2Pi
69,B2Pi
70,A2Sigma+
71,B2Pi
72,B2Pi
73,C2Pi
74,B2Pi
75,A2Sigma+
76,B2Pi
77,B2Pi
78,C2Pi
79,A2Sigma+
80,B2Pi
81,B2Pi
82,C2Pi
83,B2Pi
84,A2Sigma+
