i,f,tau_if
1,0,0.10935817717664972
2,0,1.4040917753044286
2,1,0.058037154051477836
3,0,23.75707172126707
3,1,0.49335114890320575
3,2,0.040909407641890695
4,0,413.728339591584
4,1,6.176713366167614
4,2,0.26003456667178665
4,3,0.032470821994336964
5,0,5251.546459079636
5,1,83.74289409817987
5,2,2.577183584329742
5,3,0.16473624565000708
5,4,0.02766081811340177
6,0,40248.41197790187
6,1,916.5571663929413
6,2,28.34014585044631
6,3,1.3495675614549503
6,4,0.11575821646099889
6,5,0.02445530354610655
7,0,197767.55072477905
7,1,6212.989676163607
7,2,273.2442492807431
7,3,12.347401538161845
7,4,0.8104286966098484
7,5,0.08712892528935268
7,6,0.02227241879050554
8,0,680744.0959936309
8,1,27820.80657255803
8,2,1676.9819254543731
8,3,106.42496108842863
8,4,6.290683687116041
8,5,0.5339731003745711
8,6,0.06883293443632592
8,7,0.02074306636890552
9,0,2877762.2644941383
9,1,88879.9581673328
9,2,7006.335702874379
9,3,602.1898922288991
9,4,48.748870449640016
9,5,3.565467281994304
9,6,0.3765032720494833
9,7,0.056454452191534894
9,8,0.01978112305947665
10,0,13836502.281210544
10,1,318785.82388164155
10,2,20513.486078322177
10,3,2341.8672001595182
10,4,258.84559178411934
10,5,25.088521716800273
10,6,2.195608358640251
10,7,0.27933886044179457
10,8,0.047526323539453
10,9,0.019036016864091048
11,0,62008891.73940009
11,1,1344186.7449442605
11,2,64493.7395902641
11,3,6450.752332764964
11,4,946.1463734874249
11,5,126.05904531556457
11,6,14.033145632067498
11,7,1.4401924230673873
11,8,0.21576970628165568
11,9,0.04089836613964175
11,10,0.01855361988737258
12,0,238115151.4335683
12,1,5458930.772178161
12,2,242598.63226946155
12,3,18061.14077302082
12,4,2477.718074671108
12,5,436.9594588751706
12,6,67.28203757446353
12,7,8.370458731235052
12,8,0.9942811362428289
12,9,0.17216404199106003
12,10,0.03582927275451673
12,11,0.018289865899585794
13,0,785468042.1663269
13,1,19704580.787515912
13,2,907695.6946617973
13,3,61007.91787692313
13,4,6272.563972877121
13,5,1097.2039873735337
13,6,223.012950892004
13,7,38.50465787231395
13,8,5.25746569482762
13,9,0.7163017634574411
13,10,0.14107518186189955
13,11,0.031858566309983155
13,12,0.018219111157475834
14,0,2134891997.8853416
14,1,61283269.351700015
14,2,3084258.841198104
14,3,211272.94741928234
14,4,19104.796875758984
14,5,2548.288489580014
14,6,540.6677943974796
14,7,122.99117735368809
14,8,23.269357369359746
14,9,3.4471927720664692
14,10,0.5350604163622572
14,11,0.11818324782791013
14,12,0.02868818534614863
14,13,0.018328912702986155
15,0,7052779439.282776
15,1,164514032.29755336
15,2,9242072.57183375
15,3,677121.1661233425
15,4,61384.561444911
15,5,7025.00547286255
15,6,1167.9184164064168
15,7,289.5198086419819
15,8,72.14050938726814
15,9,14.686165229593138
15,10,2.3450125511691824
15,11,0.41236290108844476
15,12,0.10085673997979336
15,13,0.026118428150244073
15,14,0.018617218477314745
16,0,24736425314.80925
16,1,414986148.7167423
16,2,24203844.767949503
16,3,1944608.3122284582
16,4,186026.22279504008
16,5,20961.33612147995
16,6,2927.022130493548
16,7,589.1768924712352
16,8,165.67986732228786
16,9,44.47682649795619
16,10,9.601449616579199
16,11,1.6477056523547222
16,12,0.32659873717212834
16,13,0.08742495222185874
16,14,0.024011972868502356
16,15,0.019091567785398233
17,0,56718204368029.86
17,1,1053873314.6914437
17,2,56698100.89916616
17,3,4928569.585932232
17,4,510808.56157149264
17,5,60187.79668654185
17,6,8109.805129259308
17,7,1349.699867268685
17,8,321.3748384980839
17,9,100.0854389697733
17,10,28.56182284894491
17,11,6.463022999335752
17,12,1.1918815260197426
17,13,0.264973282646362
17,14,0.07678984304632477
17,15,0.022272479093586935
17,16,0.019769059691863003
18,0,263115715082106.0
18,1,3057106117.490918
18,2,126770367.55165268
18,3,10982636.144132227
18,4,1242707.3654205194
18,5,157973.87348709744
18,6,22089.13111726273
18,7,3465.6653353281845
18,8,673.1757590059688
18,9,184.7228739453679
18,10,62.754292769371226
18,11,18.972374525214676
18,12,4.471843063070386
18,13,0.8869518331456888
18,14,0.21956363945124996
18,15,0.06817281152881481
18,16,0.020787135607679173
18,17,0.020471336725907334
19,0,911194813068289.2
19,1,10097348297.2332
19,2,295958736.83544046
19,3,23359356.728941515
19,4,2713635.1891554017
19,5,373199.9715851802
19,6,55721.18560458507
19,7,8971.857555209417
19,8,1612.6658164208527
19,9,362.85364209811047
19,10,113.46393991149444
19,11,41.22296415353791
19,12,12.958087693316875
19,13,3.1527418503591025
19,14,0.6750583523838111
19,15,0.1854418435561822
19,16,0.06113530832519249
19,17,0.019594338165121114
19,18,0.02162270404377423
20,0,2285819530008920.0
20,1,46338590897059.484
20,2,813924664.8857614
20,3,50737708.54085202
20,4,5555341.7952983705
20,5,794599.9430800406
20,6,127641.25741086152
20,7,21789.69657025385
20,8,3961.2411351445776
20,9,806.7498667953972
20,10,208.27202235808164
20,11,72.94766388178971
20,12,27.94420542564215
20,13,9.051186180186736
20,14,2.266170522906316
20,15,0.5257483904064344
20,16,0.15929984004690564
20,17,0.05526687753988926
20,18,0.01861626772988226
20,19,0.02309801281996005
21,0,1.5095281924454376e+16
21,1,270035115083070.47
21,2,3177200933.4024134
21,3,122414598.75340906
21,4,11407713.483352356
21,5,1564256.5579852595
21,6,263315.12673996144
21,7,48300.085910464004
21,8,9263.669464277744
21,9,1875.4515436053239
21,10,428.5509443670292
21,11,125.19758640394019
21,12,48.22827173430474
