i,tau,E
0,14270.13118449333,0.0
1,99.93004437368013,0.14931
2,25.951586923019242,0.29654
3,101.40206069002987,0.44169
4,0.19367244380126028,0.58474
5,0.18125125916976806,0.72569
6,9.738386874174706,0.86451
7,8.982274567703934,1.00121
8,22.250146335397677,1.13577
9,16.64864212288509,1.26817
10,229.3505892255945,1.3984
11,556.2711997690692,1.52645
12,367.55132609082165,1.65232
13,251.5110720653505,1.77598
14,564.9152061765758,1.89742
15,670.2300007070422,2.01664
16,568.2061002499325,2.13361
17,414.99705254488873,2.24833
18,271.62909586525956,2.36078
19,139.35678691893565,2.47094
20,12.117431749465513,2.57881
21,253.0323728527665,2.68436
22,261.94527562408916,2.78758
23,1.6053811924354064,2.88846
24,77.50272254104036,2.98698
25,0.5392609790356291,3.08312
26,46.46710028929402,3.17686
27,16.672124362787375,3.2682
28,2.619999338515285,3.35711
29,27.05955476014072,3.44357
30,32.549751751618395,3.52757
31,24.22394853669906,3.60908
32,24.793963353483285,3.6881
33,24.494854665516474,3.76459
34,26.681926432588934,3.83854
35,36.783973373508786,3.90992
36,32.294613991156496,3.97873
37,37.28624915156353,4.04493
38,60.655420283451996,4.1085
39,79.56998994471907,4.16943
40,117.63271155155256,4.22768
41,190.47780728428518,4.28324
42,329.7850902167366,4.33609
43,574.109027703933,4.38619
44,914.8255278133486,4.43352
45,1292.5202223847416,4.47805
46,1332.5715077222044,4.51976
47,2899.7951753039415,4.55863
48,3394.7072174819646,4.59462
49,3913.744228604318,4.6277
50,4408.683839814087,4.65791
51,4865.841442699391,4.68588
52,5849.8030505174975,4.71373
53,1702.013070892857,4.74376
