i,f,tau_if
0,1,22038.253853287108
0,2,13486317.70548458
0,5,40606.42348343419
1,0,101.65047001620883
1,2,427218.22352531785
1,3,6026.4898114998605
1,4,915044.706218788
2,0,57.78194397202074
2,1,47.1168581277934
2,3,331276.8508197494
3,0,119.34840571800741
3,1,1073.2131924853759
3,2,1827.2021058041526
3,4,260661.34524593447
4,0,3165.162025385516
4,1,202186.19222388603
4,2,14368.070693492473
4,3,0.1936871368759672
4,5,828404.6324054428
5,0,20971.59848729274
5,1,7856.18439460492
5,2,6614.922187122936
5,3,2605.2055666057686
5,4,0.18127467225360197
5,6,384735.5151422716
6,0,1092811.6226935575
6,1,47135.79628450888
6,2,21234.545889414658
6,3,3430.370996681285
6,4,10.661436728230395
6,5,117.25109746787639
6,7,1019804.1635658165
7,0,11077845.626726268
7,1,285525.21521350124
7,2,747.7776670061046
7,3,2232.244691172865
7,4,9.173831603366686
7,5,76468.97719958663
7,6,1924.9239982398
7,8,310350.7454860399
8,0,57411710.02320471
8,1,7923291.33551704
8,2,199813.2345386053
8,3,348.6320386637407
8,4,24.421269689003612
8,5,181938.59787258317
8,6,35346.29452770389
8,7,919.9339939405763
8,9,776194.1891715295
9,0,229572957.92593166
9,1,30421137.650509764
9,2,4990176.7060118895
9,3,13136.654165760398
9,4,160.99446328016128
9,5,18.82461670224986
9,6,3405.7068526452263
9,7,40538.66788583515
9,8,2979.0267518191163
9,10,769166.6295095867
10,0,3821625363.9556007
10,1,34180551.8602705
10,2,4588981.850678195
10,3,106705.06031283052
10,4,1801.331351939574
10,5,4763.884982880001
10,6,581.8906995905649
10,7,28318.195775089316
10,8,88663.08908248588
10,9,549.7330349051831
10,11,788571.4313350474
11,0,3386955504626.631
11,1,409589360.08739793
11,2,28634317.28987086
11,3,809216.2162376258
11,4,28232.436189792952
11,5,7261.552494204306
11,6,4641.830689177268
11,7,1635.9732905069056
11,8,87869.99262853748
11,9,5550.756905542297
11,10,1656.3860389913643
11,12,751827.0102880141
12,0,8538998499710.906
12,1,54148328328.418396
12,2,80536771.41788441
12,3,3451031.42788638
12,4,322906.2846208009
12,5,22368.68086636736
12,6,18546.031879205388
12,7,10802.56282434408
12,8,2933.46617789102
12,9,17361.10802037736
12,10,25059.154798967073
12,11,479.4144947118678
12,13,544494.4257892485
13,0,2219528536867.8174
13,1,121726181726.35577
13,2,285619626651.437
13,3,19288885.53682374
13,4,2962298.224403714
13,5,121854.15551054761
13,6,341461.5176655638
13,7,35573.90881453921
13,8,4313.649401512856
13,9,911.6227049410223
13,10,1114.6141033643964
13,11,993.5186034238094
13,12,1423.7511852896928
13,14,666370.012866941
14,0,973865014029.049
14,1,1239087507028.914
14,2,42165046722.52753
14,3,2895232129.605945
14,4,6934797.932012196
14,5,11782328.539446246
14,6,66324.3381710035
14,7,17142.81008842702
14,8,8038.05511047062
14,9,1294.5470039722948
14,10,164578.0453824666
14,11,4361.115303781562
14,12,4997.0811180460005
14,13,2762.3431803163094
14,15,464250.74643036415
15,0,83162294008069.7
15,1,320804578488.60266
15,2,10572040520994.73
15,3,16221500227.049957
15,4,104354925.37816943
15,5,6636937.423836537
15,6,1104379.0325717947
15,7,4589024.653707118
15,8,38767.494534054975
15,9,7333.354791232234
15,10,40264.99333843058
15,11,2078.9680552131367
15,12,13434.989414347754
15,13,38982.62922396875
15,14,1386.939137931449
15,16,608684.0475789537
16,0,26692882377455.453
16,1,492810591429.03204
16,2,162470989736.21005
16,3,6788497849.920256
16,4,13684275213.325645
16,5,17132457.82536718
16,6,50287594.94302059
16,7,18323235.37643764
16,8,160742.6320562507
16,9,36676.987788940976
16,10,60259.848597036296
16,11,1900.1942734754243
16,12,2237.1617120192245
16,13,2115.4410226532577
16,14,24497.85502629901
16,15,4549.990824297999
16,17,318614.69430447277
17,0,634767577157.6064
17,1,6146802192492.553
17,2,51304180771.69206
17,3,8229269840.908849
17,4,944268354.7033416
17,5,4242463025.7451053
17,6,9144158.007413048
17,7,2555130.8144917
17,8,4249620.695716658
17,9,503801.0395031664
17,10,6500.786476100436
17,11,2110.864840199744
17,12,1306.558295798854
17,13,2441.6868037609283
17,14,12739.5567150545
17,15,26357.29108810008
17,16,2057.9960676340334
17,18,476573.10585579113
18,0,16024732211211.725
18,1,14492303274177.352
18,2,99839026151.26242
18,3,126499218848.07439
18,4,1094417372.1256661
