i,tau,E
0,3518664.951184726,0.0
1,12.514754233859824,0.04474
2,6.3256706935387355,0.08905
3,4.258634788545137,0.13292
4,3.228236569614813,0.17637
5,2.6098112410461067,0.2194
6,2.1954965979040044,0.26202
7,1.9013080741722617,0.30422
8,1.6804494389758386,0.34601
9,1.5076080742783864,0.3874
10,1.3701843008929948,0.42839
11,1.2569602484124216,0.46898
12,1.1632306365341416,0.50918
13,1.083338145771498,0.549
14,1.0152798597802521,0.58842
15,0.9558021343435933,0.62747
16,0.9040135865707223,0.66615
17,0.8582505026494197,0.70445
18,0.8174227748157052,0.74238
19,0.7806950165874449,0.77995
20,0.7476158920714882,0.81716
21,0.7177461647930435,0.85401
22,0.6905849876912566,0.89051
23,0.6652844356007668,0.92665
24,0.6422373818807856,0.96246
25,0.6211030846240304,0.99792
26,0.6012585385879546,1.03304
27,0.5824066219359508,1.06783
28,0.5648032335765926,1.10228
29,0.548595641827195,1.13641
30,0.533248743472348,1.17022
31,0.5183930801882808,1.2037
32,0.5038166539574273,1.23687
33,0.48978152869935376,1.26972
34,0.47665444606825685,1.30226
35,0.4643071101066004,1.33449
36,0.4521208883939382,1.36643
37,0.4410418408416257,1.39806
38,0.43075508653348876,1.42939
39,0.420838594444228,1.46043
40,0.4102187512403204,1.49118
41,0.4006110451615089,1.52164
42,0.3917342998721624,1.55181
43,0.38314468748544744,1.58171
44,0.3732378284592742,1.61132
45,0.3637579261136756,1.64066
46,0.3546996797365394,1.66973
47,0.3457246241993295,1.69853
48,0.3380280934372072,1.72706
49,0.33078209998833163,1.75533
50,0.32402646257247847,1.78334
51,0.31800150295492596,1.81109
52,0.3129340432714969,1.83858
53,0.30770050167653396,1.86583
54,0.30352591143331836,1.89282
55,0.3001083388575636,1.91956
56,0.29625304607367325,1.94607
57,0.2938035818034343,1.97233
58,0.2915339113431803,1.99835
59,0.2892268381228862,2.02413
60,0.288056231866972,2.04968
61,0.2864024631636718,2.075
62,0.28605657670489887,2.10009
63,0.2856672241880351,2.12496
64,0.2855327111127034,2.1496
65,0.2856173305019693,2.17401
66,0.286887161791983,2.19821
67,0.2862684640751191,2.22219
68,0.28666799258316605,2.24596
69,0.28697422386213806,2.26951
70,0.2868016018929922,2.29285
71,0.28756365045287213,2.31598
72,0.28777044389921985,2.33891
73,0.28887379147678055,2.36163
74,0.29011760277973425,2.38415
75,0.2900735151655862,2.40647
76,0.2901348687770583,2.42859
77,0.2903528351087894,2.45052
78,0.2906033540986008,2.47225
79,0.2916327799247295,2.49378
80,0.2911634964768674,2.51513
81,0.2913328373808555,2.53629
82,0.2935197876683466,2.55726
83,0.2923988838601117,2.57805
84,0.292967966781471,2.59865
85,0.2934415667119728,2.61907
86,0.2933911603618606,2.63931
87,0.2936468587602266,2.65937
88,0.2940004225831051,2.67925
89,0.2949632063742513,2.69896
90,0.2945919340898715,2.7185
91,0.29546571386343623,2.73786
92,0.295193502772797,2.75705
93,0.29609694626666616,2.77607
94,0.29583853668644977,2.79493
95,0.296778129196068,2.81361
96,0.29659025171328895,2.83214
97,0.2978440742771142,2.8505
98,0.2975756751176666,2.86869
99,0.29742216308200115,2.88673
100,0.2982994356142332,2.9046
