i,f,tau_if
0,1,3518664.951184726
1,0,12.514810454335901
1,2,2785813.7825868414
2,0,2456.22383400583
2,1,6.3420160054568875
2,3,3258525.7678422206
3,0,342266.35570023715
3,1,818.929724854005
3,2,4.280953495986416
3,4,5304291.41689343
4,0,12761928.27274609
4,1,84212.18340617964
4,2,412.05477226396516
4,3,3.2538552162891343
4,5,12944607.368776744
5,0,107215979.49025291
5,1,2128254.056162811
5,2,33885.487870521705
5,3,249.23823897124183
5,4,2.637636878441704
5,6,70482753.3933655
6,0,773930747.8844166
6,1,16682816.127620872
6,2,580536.0307290498
6,3,16754.446556731786
6,4,167.36557425805296
6,5,2.2249841482711568
6,7,72567441380.20914
7,0,42158280995.89801
7,1,99132832.05016038
7,2,4424147.242692452
7,3,203336.279866929
7,4,9716.567350858222
7,5,120.6767628800784
7,6,1.9321544613242077
7,8,486570.3694813447
8,1,110715786387.58405
8,2,23118007.286225684
8,3,1511823.917304623
8,4,83578.04627399569
8,5,6204.761393723925
8,6,91.38890431182155
8,7,1.7124417348211258
8,9,746230.4773581007
9,2,615976719.389347
9,3,7586032.12636467
9,4,604996.2043703956
9,5,38482.15952511518
9,6,4047.0951818249555
9,7,71.667150282881
9,8,1.5406578216761198
9,10,1401253.2531730356
10,3,183657288.7865369
10,4,2944315.430192235
10,5,273031.2201418453
10,6,19427.55511372538
10,7,2834.0523404272844
10,8,57.912563808143354
10,9,1.4041930486624183
10,11,3431563.885144499
11,4,134908399.3178331
11,5,1317453.459697241
11,6,135860.18130649437
11,7,10544.748938168295
11,8,2068.637633709533
11,9,47.78871604195981
11,10,1.2918924715881572
11,12,15443483.23308544
12,5,36537618.161060676
12,6,649652.9671067512
12,7,73764.2048512499
12,8,6105.977837394358
12,9,1573.425853457783
12,10,40.236196349817284
12,11,1.1990306382121814
12,13,553397713.1494334
13,6,14151216.16817853
13,7,343961.28356210585
13,8,42899.84531130587
13,9,3725.0895824458494
13,10,1254.345079938241
13,11,34.3460618936913
13,12,1.1199950952016005
13,14,228136.82895388803
14,7,6839629.773401329
14,8,194757.83338767165
14,9,26440.493955461436
14,10,2385.8258884759407
14,11,1007.1902839195592
14,12,29.750433750097226
14,13,1.0527654602877454
14,15,350492.41243078455
15,8,3340126.184997229
15,9,116658.31906573108
15,10,16977.017851176948
15,11,1588.583060304533
15,12,772.7437079472217
15,13,26.016154631622175
15,14,0.9942225124213704
15,16,635139.3895786633
16,9,1757898.0223183504
16,10,73968.31519735714
16,11,11270.396593933508
16,12,1098.164997935612
16,13,620.9271377555771
16,14,23.007422168147475
16,15,0.9433168332523093
16,17,1437802.666890415
17,10,997045.2731757803
17,11,50876.65047455452
17,12,7664.271914428372
17,13,783.5243786718369
17,14,523.6344164634796
17,15,20.51721022848155
17,16,0.8984047463730975
17,18,4779750.571160677
18,11,591922.0336115082
18,12,33193.6850604014
18,13,5315.723310440429
18,14,573.7578912763665
18,15,474.08657688216437
18,16,18.401792720974544
18,17,0.8584115035073033
18,19,46107630.43408204
19,12,363835.25274791376
19,13,21751.64319336505
19,14,3769.930365578631
19,15,430.34623712847787
19,16,379.4342114240615
19,17,16.609987202121776
19,18,0.822758594185482
19,20,115542.03789776852
20,13,233364.3591799269
20,14,15178.157354317329
20,15,2741.1356584211194
20,16,330.52141722143756
20,17,314.1718669408276
20,18,15.09870268512372
20,19,0.7906982329261648
20,21,168254.66403744384
21,14,154352.11482605117
21,15,11297.483790674385
21,16,2035.110789792993
21,17,258.84541435784803
21,18,285.6084952778876
21,19,13.768522415796193
21,20,0.7618083464963129
21,22,270487.2221253195
22,15,104802.7693158586
22,16,17649.48362171015
22,17,1544.5737733034189
22,18,206.22349727813588
22,19,268.5986744046936
22,20,12.604765337259808
22,21,0.7356051695418867
22,23,516478.591684007
23,16,72963.98858233406
23,17,6178.80116600441
23,18,1199.7208359270394
23,19,167.1823344797613
23,20,213.76811828558104
23,21,11.592869524330633
23,22,0.7116489558028974
23,24,1203811.5354939606
24,17,51785.41085470538
24,18,4626.810853460213
24,19,948.9552115339417
24,20,137.68933057783036
24,21,188.3116712979171
24,22,10.670726481414087
24,23,0.6899026763401718
24,25,4439536.480600984
25,18,37524.490284254585
25,19,14676.001565824397
25,20,765.5686036339785
25,21,114.83087157348639
25,22,191.28061979479682
25,23,9.85057781054701
25,24,0.6697096483934951
25,26,50260331.42709399
26,19,27551.41458610171
26,20,2914.8931629938957
26,21,626.0342577684311
26,22,97.05278142485987
26,23,177.34048404985742
26,24,9.08596880598467
26,25,0.6513870508071266
26,27,74599.74131150568
27,20,20496.44896037273
27,21,2246.971810139212
27,22,518.3862144893617
27,23,82.97000286306216
27,24,140.49300576829586
27,25,8.379400871138587
27,26,0.6344892817054358
27,28,108930.13395756226
28,21,15449.184192686
28,22,3312.745634521169
28,23,434.00548011064586
28,24,71.69262905697835
28,25,126.22969746109337
28,26,7.732014139125726
28,27,0.618563675959317
28,29,165278.801967347
29,22,11738.821046203253
29,23,1447.0802865737837
29,24,364.6429140126318
29,25,62.732536162531524
29,26,131.66854160006878
29,27,7.115220230848395
29,28,0.6041439148518429
29,30,284775.740786118
30,23,9017.555494695232
30,24,1283.1868295013037
30,25,307.2166044821755
30,26,55.17441443723465
30,27,158.56010322433866
30,28,6.545710191605536
30,29,0.590337086059628
30,31,543879.1740587342
31,24,6978.959590067332
31,25,1090.7717361121058
31,26,257.75922046810854
31,27,49.25627648260486
31,28,146.583861975523
