i,tau,E
0,inf,0.0
1,0.05481183942179919,0.14048
2,0.02805706996582332,0.27626
3,0.01912136075066876,0.4074
4,0.014641197436808117,0.53398
5,0.011908817821365249,0.65605
6,0.010147327099372064,0.77366
7,0.008902851239790502,0.88682
8,0.007994044729181322,0.99552
9,0.007326551144189404,1.09974
10,172814.9102147326,1.1994
11,322170.2460539461,1.29438
12,560415.2993858383,1.38447
13,0.06578576433703029,1.46944
14,0.010871920190261421,1.54895
15,0.006414180500823598,1.62251
16,0.005400764415947643,1.68948
17,0.005299478544510751,1.74893
18,0.006131016076740886,1.79967
19,0.007807953500664233,1.84025
20,0.011754205006495643,1.86902
21,0.03063290683575851,1.88413
22,4.794618331804678e-08,2.76375
23,6.590107627513437e-08,2.8039
24,6.160658023206321e-08,2.84483
25,7.018665470694547e-08,2.88663
26,7.377641732121965e-08,2.92926
27,7.737490160073721e-08,2.9726
28,7.254577708876165e-08,3.01649
29,7.057964460937209e-08,3.06078
30,8.244981006298546e-08,3.10533
31,7.381778180449951e-08,3.14999
32,7.846293092346998e-08,3.19465
33,9.3589804849562e-08,3.23919
34,9.103975415607127e-08,3.28352
35,1.0089302382629985e-07,3.32754
36,8.781870940012352e-08,3.37118
37,9.402221117251994e-08,3.41437
38,9.612056945456833e-08,3.45704
39,9.93932034080719e-08,3.49915
40,1.05639292075586e-07,3.54063
41,1.1305078833346739e-07,3.58143
42,1.2865030824379078e-07,3.6215
43,1.3326874881482382e-07,3.66075
44,1.2963595272559314e-07,3.69911
45,1.1184592937274487e-07,3.73646
46,1.288017653560396e-07,3.77269
47,1.3303585343565493e-07,3.80762
48,1.2510797464571828e-07,3.84105
49,1.1677700498160105e-07,3.87272
50,1.1707932041923714e-07,3.90228
51,1.31071262407232e-07,3.92925
52,1.2229135451666424e-07,3.95296
53,1.608113863688116e-07,3.97231
54,2.6209311376636497e-07,3.9854
