i,f,tau_if
1,0,0.05481183942179918
2,0,0.468151538419081
2,1,0.029845774963261188
3,0,12.614105792926676
3,1,0.1550796141505558
3,2,0.02184839323307642
4,0,218.06344987629336
4,1,2.9283753629030524
4,2,0.07733966560583487
4,3,0.01817376335385627
5,0,893.4435640287525
5,1,42.49516023692183
5,2,1.0884633868902112
5,3,0.04696992968793075
5,4,0.016197533090382868
6,0,3253.1320213129893
6,1,171.60006481584986
6,2,13.233613310534933
6,3,0.51225655326411
6,4,0.03172220442950554
6,5,0.015386837749701248
7,0,10866.738959292614
7,1,541.1058863128814
7,2,54.36542292332181
7,3,5.245969595883154
7,4,0.2768233516749279
7,5,0.02313471393243879
7,6,0.01531977469097008
8,0,31603.900929102318
8,1,1610.4145757610959
8,2,153.25597304359513
8,3,21.632010279655436
8,4,2.4383294397505972
8,5,0.16411212104392867
8,6,0.017903421421014844
8,7,0.01595380863214834
9,0,79977.9912927613
9,1,4173.624399069245
9,2,415.1903307044551
9,3,56.32545875880787
9,4,9.854296338690148
9,5,1.2722276520723759
9,6,0.1039002121507006
9,7,0.014577439094950831
9,8,0.0174343055256231
10,0,172814.9102147326
11,0,322170.2460539461
12,0,560415.2993858383
13,0,962212.1635077075
13,12,0.06578576883475673
14,0,1572488.0600523956
14,12,0.011095926887836947
14,13,0.538528866237657
15,0,2730220.2391011855
15,12,0.014641571495413683
15,13,0.013384434428220682
15,14,0.07756611174331685
16,0,4459100.043250191
16,12,0.056386942997071136
16,13,0.012157206344402122
16,14,0.017302779645148918
16,15,0.03653041417563019
17,0,7124827.471340388
17,12,0.20916772503017247
17,13,0.03655524939357198
17,14,0.011592858923667832
17,15,0.02693936529050437
17,16,0.030137994924611267
18,0,11422069.396807097
18,12,0.5152281183077564
18,13,0.13792706855757983
18,14,0.024327112193402136
18,15,0.014636788164437045
18,16,0.05680062589443554
18,17,0.03720076747477329
19,0,18500065.761970602
19,12,0.970978364155718
19,13,0.39342838418592485
19,14,0.08219371293727247
19,15,0.018647535783167093
19,16,0.025021212329536423
19,17,0.30159779285543453
19,18,0.06481573235024993
20,0,37318024.429591976
20,12,2.005841412221307
20,13,0.947843566491416
20,14,0.28718470859478146
20,15,0.05189925219567377
20,16,0.02363512423560868
20,17,0.1244471501395316
20,18,0.16213626460913852
20,19,0.2347922559384575
21,0,128619918.9453481
21,12,6.7122380073938634
21,13,3.1937224203644186
21,14,1.3044118517115624
21,15,0.24910958428935812
21,16,0.0704259970721134
21,17,0.10200078113874049
21,18,81.32988842173415
21,19,0.32376221921763365
21,20,3.3615717500158224
22,0,0.04453177514517531
22,1,0.001881216301818036
22,2,0.0001701998721058528
22,3,2.5149015705453278e-05
22,4,5.414003248077141e-06
22,5,1.5738061458585054e-06
22,6,6.133520573911136e-07
22,7,3.1055187801090726e-07
22,8,2.0498725156703161e-07
22,9,1.8394407450763452e-07
22,10,2.6169625843300716e-07
22,11,1.2689194214274684e-06
22,12,1.1805471602582762e-05
22,13,1.0322782190865349e-05
22,14,3.4330386055116875e-05
22,15,0.00020340122240520347
22,16,0.01221139584070654
22,17,0.0064272726085453724
22,18,0.09154820697069846
22,19,11.343143251049733
22,20,0.7841699274633428
22,21,42.92382284236682
23,0,0.0027945149012636107
23,1,0.0001401399665013622
23,2,1.552508290628816e-05
23,3,2.9327795332088854e-06
23,4,8.647330186131757e-07
23,5,4.4742595559644526e-07
23,6,0.00011609652036647743
23,7,3.1300693595945685e-07
23,8,4.790970540206247e-07
23,9,1.2752410184473511e-06
23,10,2.7380610178744014e-05
23,11,4.963173882057952e-07
23,12,3.5215613311041175e-07
23,13,5.117049802273307e-06
23,14,9.354786157761424e-06
23,15,1.1289898826923353e-05
23,16,7.94370765797525e-05
23,17,0.048513877108415725
23,18,0.0022707387553853125
23,19,0.008144767542693247
23,20,0.4905098136750902
23,21,0.9823661775968362
23,22,0.14188372309211733
24,0,0.00037000311628072527
24,1,2.2336724964089104e-05
24,2,3.111413314092162e-06
24,3,7.956831254184112e-07
24,4,3.7199962889157224e-07
24,5,5.911591233108642e-07
24,6,7.129309135308911e-07
24,7,1.2260742441748826e-06
24,8,0.00012572696034229982
24,9,1.5752892532843592e-06
24,10,4.879914892240421e-07
24,11,9.916010249923413e-07
24,12,7.373500897120869e-05
24,13,4.359205268476728e-07
24,14,6.780426415995591e-07
24,15,2.6467262064357468e-06
24,16,7.477123101939013e-06
24,17,9.861727696526985e-05
24,18,0.00027639911532206053
24,19,0.010872245371196623
24,20,0.2050076933693146
24,21,0.013646742722837859
24,22,0.25553560910601786
24,23,0.11891721509611991
25,0,7.651130448062874e-05
25,1,5.652953176072454e-06
25,2,1.027807828087053e-06
25,3,3.8989459130664095e-07
25,4,4.6394417697078993e-07
25,5,6.558056077896344e-07
25,6,0.00010817470387589352
25,7,7.965813457260877e-06
25,8,1.5854886423196582e-06
25,9,2.0157847059408966e-06
25,10,0.0001614094496544271
25,11,1.142276346323407e-06
25,12,6.400310951838074e-07
25,13,2.357541035444725e-06
25,14,7.766725733242739e-07
25,15,1.1351845442497612e-06
25,16,2.5243892973250264e-06
25,17,8.4538188272034e-06
25,18,5.1398815890316454e-05
25,19,0.00024428124141432457
25,20,0.00034229723197980053
25,21,0.0018399141664671788
25,22,23.4432984971786
25,23,0.1335638771729044
25,24,0.0709044854068179
26,0,2.1726598196183914e-05
26,1,2.004158355029956e-06
26,2,4.993234831413093e-07
26,3,3.426317677433975e-07
26,4,6.366821943560271e-06
26,5,1.5687414657020726e-05
26,6,6.72066905176451e-06
26,7,9.217848646891327e-06
26,8,1.1301372329952952e-06
26,9,1.0405210215842883e-05
26,10,8.186328478447046e-07
26,11,5.708255628590876e-06
26,12,2.8204368206696513e-05
26,13,7.239431002411874e-07
26,14,1.539368758814481e-06
26,15,1.085978643051117e-06
26,16,6.064462460209879e-07
26,17,1.8642735098593372e-06
26,18,2.295079731648858e-05
26,19,0.0005503357784978306
26,20,7.02349271829465e-05
26,21,0.005837965993609358
26,22,7.954801644941325
26,23,10.509908838111267
26,24,0.08261750068792878
26,25,0.0558596061769712
27,0,7.874257059271335e-06
27,1,9.273403263187758e-07
27,2,3.406768902553376e-07
27,3,1.924926246377474e-06
27,4,2.0759988432052697e-05
27,5,5.176929038211569e-06
27,6,1.1858924749261197e-06
27,7,1.4526406673784544e-06
27,8,7.392402579487746e-06
27,9,4.323858852184565e-06
27,10,1.575787809954991e-06
27,11,3.3873986270846476e-06
27,12,1.1143455951329092e-06
27,13,1.4440572289413943e-05
27,14,1.1688138411894085e-06
27,15,1.5478533443799072e-06
27,16,7.524729016511428e-07
27,17,1.3416676671434172e-06
27,18,2.5712240625871487e-06
27,19,3.994914840286399e-06
27,20,0.00014113632172124845
27,21,0.00017727538036435412
27,22,65.48179862984239
27,23,37.64492513031496
27,24,0.5087947013159188
27,25,0.06097326892050371
27,26,0.044418445780341355
28,0,3.4717172037459328e-06
28,1,5.354357644817372e-07
28,2,3.355888035908691e-07
28,3,3.5566557783443157e-05
28,4,4.211006126969327e-06
28,5,1.1133413330013177e-06
28,6,2.5251825387964727e-06
28,7,5.835578958390783e-06
28,8,6.1892411768004735e-06
28,9,2.35830824320675e-06
28,10,4.606210471865929e-06
28,11,1.57042209703557e-06
28,12,9.526539719115763e-05
28,13,8.278225826581574e-07
28,14,1.982694173594215e-05
28,15,1.682324784026656e-06
28,16,2.148845814416712e-06
28,17,3.5991007729598027e-07
28,18,4.413880945794955e-06
28,19,1.6544715103804716e-05
28,20,5.9441125908301474e-05
28,21,1.4882789697979007e-05
28,22,183.3843340273161
28,23,29.504589061262408
28,24,2.8017832661692346
28,25,0.16418305405498984
28,26,0.05050820311710913
28,27,0.030095534239755344
29,0,1.7999285050612238e-06
29,1,3.759763116877539e-07
29,2,6.130458604720625e-07
29,3,5.031235188951874e-06
29,4,4.9297534916510445e-06
29,5,5.2853141659760476e-06
29,6,5.742832286540359e-06
29,7,1.7546183287934637e-06
29,8,0.001807388691123504
29,9,7.341400024148839e-06
29,10,3.5719489009571866e-06
29,11,7.051471046359714e-05
29,12,2.510274857193346e-06
29,13,2.544311387419582e-06
29,14,1.14359065691337e-06
29,15,2.802807536214396e-06
29,16,2.665915970792787e-06
29,17,4.817939346290326e-06
29,18,2.7643929045054055e-07
29,19,2.2075741747357218e-06
29,20,1.2476293471805476e-06
29,21,1.2689855586096246e-05
29,22,845.9157218551024
29,23,40.31473500108068
29,24,18.565672192628316
29,25,1.096179690165838
29,26,0.09416987258672095
29,27,0.04473690348390628
29,28,0.024684371694053457
30,0,1.0704866890078273e-06
30,1,3.175943931931576e-07
30,2,1.1073288145855323e-05
30,3,3.4558472055480833e-06
30,4,9.66414771337266e-07
30,5,1.743588900381362e-05
30,6,4.709687692195594e-06
30,7,3.434090551498028e-06
30,8,6.564926581464285e-06
30,9,1.028972680999739e-06
30,10,1.4765532160828174e-05
30,11,1.3752199730597824e-06
30,12,3.473863583362544e-05
30,13,5.539620301919897e-06
30,14,1.9474302601316614e-06
30,15,1.6845885517864356e-06
30,16,1.9181529597557692e-06
30,17,4.752210667231497e-06
30,18,3.4272522685481293e-06
30,19,6.425907764108897e-07
30,20,4.091401222520467e-06
30,21,9.27460787439001e-05
30,22,103993.06657105527
30,23,335.7260063803092
30,24,11.568943382805477
30,25,142.594662274226
30,26,0.6483285147957965
30,27,0.04901862501582832
30,28,0.04852475234290141
30,29,0.08053540498390482
31,0,7.161946830330641e-07
31,1,3.2586685926956906e-07
31,2,9.479961147613767e-06
31,3,4.028802679169384e-06
31,4,9.81571608748414e-07
31,5,3.844687617071545e-06
31,6,1.3431252130348448e-06
31,7,1.5050008770545516e-05
31,8,2.9825201477170237e-06
31,9,5.64202853310953e-06
31,10,5.0955531700734565e-06
31,11,3.322863973064706e-06
31,12,6.184632616362651e-06
31,13,1.6995962756506076e-06
31,14,5.522839267228339e-05
31,15,1.8090764477981593e-06
31,16,2.0860544898871673e-06
31,17,1.7425833590450079e-06
31,18,1.344378635961861e-05
31,19,3.926317205189919e-07
31,20,8.758454525879155e-06
31,21,1.928362977685695e-06
31,22,9836.920504729873
31,23,708.3894751609903
31,24,186.0144186260747
31,25,5.438632325745991
31,26,1.9315057748677182
31,27,0.4104079701442728
31,28,0.030637082349633867
31,29,0.05629417054435648
31,30,0.003183142191644646
32,0,5.3049553697391e-07
32,1,4.352972078427622e-07
32,2,3.7295606964931447e-06
32,3,2.400182043477341e-06
32,4,7.467132543546753e-06
32,5,3.945174791763779e-06
32,6,1.8612094142984448e-06
32,7,4.658788955232478e-06
32,8,1.0358263715793726e-06
