i,tau,E
0,inf,0.0
1,inf,0.02827
2,inf,0.05426
3,inf,0.06965
4,inf,0.08355
5,inf,0.09779
6,inf,0.11768
7,inf,0.12806
8,inf,0.13831
9,inf,0.14221
10,inf,0.15396
11,inf,0.16631
12,inf,0.18194
13,inf,0.18307
14,inf,0.206
15,inf,0.2108
16,inf,0.21971
17,inf,0.23207
18,inf,0.23394
19,inf,0.24421
20,inf,0.24869
21,inf,0.25875
22,inf,0.26081
23,inf,0.27274
24,inf,0.28822
25,inf,0.29497
26,inf,0.29705
27,inf,0.30519
28,inf,0.32175
29,inf,0.32763
30,inf,0.33183
31,inf,0.33561
32,inf,0.35017
33,inf,0.35335
34,inf,0.35776
35,inf,0.36489
36,inf,0.36567
37,inf,0.37567
38,inf,0.38099
39,inf,0.38389
40,inf,0.39084
41,inf,0.397
42,inf,0.39894
43,inf,0.40912
44,inf,0.41537
45,inf,0.42148
46,inf,0.42556
47,inf,0.4309
48,inf,0.43969
49,inf,0.43991
50,inf,0.45186
51,inf,0.45659
52,inf,0.46722
53,inf,0.46782
54,inf,0.46847
55,inf,0.46918
56,inf,0.47066
57,inf,0.4831
58,inf,0.48479
59,inf,0.48642
60,inf,0.48904
61,inf,0.49474
62,inf,0.4978
63,inf,0.50526
64,inf,0.50951
65,inf,0.51552
66,inf,0.51688
67,inf,0.51866
68,inf,0.52529
69,inf,0.52721
70,inf,0.52762
71,inf,0.53041
72,inf,0.53314
73,inf,0.53817
74,inf,0.54335
75,inf,0.54376
76,inf,0.5459
77,inf,0.54694
78,inf,0.55541
79,inf,0.56326
80,inf,0.56382
81,inf,0.56474
82,inf,0.57255
83,inf,0.57376
84,inf,0.57405
85,inf,0.57747
86,inf,0.57833
87,inf,0.58182
88,inf,0.58238
89,inf,0.58527
90,inf,0.58686
91,inf,0.58871
92,inf,0.59232
93,inf,0.60122
94,inf,0.60183
95,inf,0.60616
96,inf,0.6082
97,inf,0.61055
98,inf,0.61214
99,inf,0.61335
100,inf,0.61611
101,inf,0.62051
102,inf,0.62226
103,inf,0.62473
104,inf,0.63074
105,inf,0.63716
106,inf,0.63734
107,inf,0.63892
108,inf,0.64186
