i,v1,v2lin,v3
0,0,0,0
1,0,1,0
2,0,2,0
3,1,0,0
4,0,3,0
5,1,1,0
6,0,4,0
7,1,2,0
8,2,0,0
9,1,3,0
10,0,5,0
11,2,1,0
12,1,4,0
13,0,6,0
14,3,0,0
15,1,5,0
16,0,7,0
17,2,3,0
18,3,1,0
19,1,6,0
20,3,2,0
21,0,8,0
22,2,4,0
23,4,0,0
24,4,1,0
25,2,5,0
26,0,9,0
27,4,2,0
28,3,3,0
29,5,0,0
30,1,7,0
31,0,10,0
32,3,4,0
33,5,1,0
34,3,5,0
35,1,8,0
36,2,6,0
37,0,11,0
38,4,3,0
39,5,2,0
40,6,0,0
41,2,7,0
42,1,9,0
43,4,4,0
44,0,12,0
45,6,1,0
46,3,6,0
47,1,10,0
48,5,3,0
49,2,8,0
50,7,0,0
51,3,7,0
52,5,4,0
53,6,2,0
54,4,5,0
55,0,0,1
56,1,11,0
57,7,1,0
58,4,6,0
59,2,9,0
60,0,13,0
61,0,1,1
62,6,3,0
63,3,8,0
64,1,12,0
65,4,7,0
66,8,0,0
67,0,2,1
68,6,4,0
69,5,5,0
70,2,10,0
71,0,14,0
72,7,2,0
73,1,0,1
74,5,6,0
75,8,1,0
76,0,3,1
77,3,9,0
78,7,3,0
79,1,1,1
80,2,11,0
81,4,8,0
82,0,4,1
83,5,7,0
84,0,15,0
85,9,0,0
86,7,6,0
87,1,13,0
88,7,4,0
89,6,5,0
90,1,2,1
91,3,10,0
92,8,2,0
93,6,6,0
94,2,12,0
95,2,0,1
96,0,5,1
97,9,1,0
98,8,3,0
99,7,7,0
100,0,16,0
101,1,3,1
102,1,14,0
103,3,11,0
104,2,1,1
105,10,0,0
106,8,6,0
107,8,4,0
108,0,6,1
109,2,13,0
110,7,8,0
111,4,9,0
112,2,2,1
113,1,4,1
114,9,2,0
115,0,17,0
116,1,15,0
117,9,3,0
118,10,1,0
119,7,5,0
120,1,5,1
121,0,7,1
122,8,7,0
123,3,0,1
124,4,10,0
125,7,9,0
126,3,12,0
127,11,0,0
128,9,4,0
129,3,1,1
130,0,18,0
131,5,8,0
132,10,2,0
133,1,16,0
134,8,8,0
135,7,10,0
136,2,14,0
137,4,11,0
138,6,7,0
139,2,3,1
140,3,2,1
141,11,1,0
142,0,8,1
143,9,7,0
144,3,13,0
145,2,4,1
146,9,5,0
147,5,9,0
148,4,0,1
149,8,9,0
150,0,19,0
151,1,17,0
152,10,3,0
153,12,0,0
154,2,15,0
155,8,5,0
156,6,8,0
157,11,2,0
158,1,6,1
159,11,3,0
160,4,1,1
161,1,7,1
162,2,16,0
163,7,11,0
164,0,9,1
165,9,8,0
166,8,10,0
167,5,10,0
168,4,2,1
169,3,3,1
170,4,12,0
171,12,1,0
172,2,5,1
173,11,5,0
174,1,18,0
175,6,9,0
176,8,11,0
177,3,14,0
178,10,7,0
179,0,20,0
180,5,0,1
181,12,2,0
182,5,11,0
183,3,4,1
184,11,4,0
185,10,4,0
186,1,8,1
187,13,0,0
188,0,10,1
189,4,13,0
190,2,6,1
191,9,6,0
192,6,10,0
193,5,1,1
194,2,7,1
195,4,3,1
196,5,12,0
197,2,17,0
198,1,19,0
199,3,15,0
200,0,21,0
201,9,9,0
202,13,1,0
203,3,5,1
204,0,11,1
205,4,14,0
206,13,2,0
207,11,7,0
208,12,3,0
209,6,11,0
210,12,4,0
211,10,5,0
212,10,8,0
213,1,9,1
214,4,4,1
215,3,6,1
216,14,0,0
217,6,0,1
218,5,13,0
219,10,6,0
220,12,6,0
221,3,16,0
222,2,18,0
223,9,10,0
224,6,1,1
225,5,2,1
226,1,20,0
227,0,12,1
228,0,22,0
229,4,5,1
230,2,8,1
231,8,12,0
232,5,3,1
233,6,12,0
234,6,15,0
235,10,9,0
236,1,10,1
237,14,1,0
238,5,6,1
239,14,2,0
240,3,7,1
241,5,14,0
242,12,7,0
243,0,0,2
244,9,11,0
245,4,15,0
246,11,8,0
247,15,0,0
248,7,0,1
249,5,4,1
250,2,9,1
251,3,17,0
252,7,14,0
253,2,19,0
254,0,13,1
255,6,13,0
256,11,6,0
257,1,21,0
258,13,6,0
259,8,13,0
260,10,10,0
261,13,3,0
262,6,16,0
263,0,1,2
264,6,2,1
265,6,5,1
266,7,1,1
267,1,11,1
268,0,23,0
269,9,12,0
270,6,3,1
271,3,8,1
272,7,15,0
273,11,9,0
274,0,2,2
275,4,6,1
276,15,1,0
277,5,5,1
278,2,10,1
279,6,6,1
280,8,14,0
281,14,4,0
282,4,7,1
283,0,14,1
284,13,7,0
285,6,14,0
286,14,5,0
287,4,16,0
288,10,11,0
289,12,8,0
290,5,18,0
291,2,20,0
292,16,0,0
293,6,4,1
294,6,17,0
295,8,0,1
296,3,9,1
297,1,12,1
298,3,18,0
299,1,0,2
300,1,22,0
301,0,3,2
302,13,4,0
303,9,13,0
304,15,2,0
305,14,6,0
306,14,3,0
307,11,10,0
308,7,16,0
309,5,15,0
310,7,2,1
311,7,5,1
312,6,7,1
313,0,24,0
314,13,8,0
315,1,1,2
316,10,12,0
317,2,11,1
318,12,9,0
319,7,3,1
320,0,4,2
321,8,15,0
322,0,15,1
323,4,8,1
324,16,1,0
325,8,1,1
326,1,13,1
327,15,5,0
328,9,14,0
329,2,21,0
330,3,10,1
331,14,7,0
332,11,11,0
333,7,12,0
334,4,17,0
335,5,7,1
336,1,2,2
337,7,6,1
338,6,18,0
339,17,0,0
340,7,17,0
341,1,23,0
342,15,3,0
343,7,13,0
344,15,6,0
345,9,0,1
346,2,12,1
347,2,22,0
348,12,10,0
349,0,16,1
350,2,0,2
351,1,3,2
352,7,4,1
353,8,16,0
354,8,2,1
355,12,12,0
356,1,14,1
357,13,9,0
358,3,19,0
359,5,20,0
360,9,15,0
361,16,2,0
362,8,3,1
363,0,5,2
364,3,11,1
365,17,1,0
366,0,25,0
367,0,6,2
368,2,1,2
369,6,19,0
370,16,5,0
371,19,5,0
372,9,1,1
373,15,11,0
374,14,8,0
375,10,14,0
376,12,11,0
377,5,16,0
378,2,13,1
379,18,0,0
380,7,18,0
381,8,6,1
382,17,4,0
383,0,17,1
384,9,2,1
385,2,2,2
386,16,3,0
387,5,19,0
388,4,9,1
389,8,5,1
390,7,9,1
391,15,7,0
392,10,13,0
393,13,10,0
394,0,26,0
395,10,0,1
396,1,15,1
397,11,12,0
398,8,17,0
399,3,22,0
400,8,8,1
401,9,16,0
402,16,6,0
403,14,9,0
404,8,4,1
405,17,2,0
406,3,0,2
407,18,1,0
408,9,5,1
409,5,21,0
410,6,20,0
411,9,3,1
412,2,3,2
413,1,4,2
414,11,13,0
415,3,20,0
416,17,5,0
417,1,24,0
418,5,8,1
419,2,23,0
420,15,8,0
421,7,19,0
422,16,11,0
423,3,12,1
424,10,1,1
425,0,18,1
426,0,7,2
427,1,5,2
428,19,0,0
429,3,1,2
430,5,17,0
431,1,16,1
432,8,18,0
433,4,18,0
434,17,3,0
435,1,6,2
436,10,15,0
437,7,10,1
438,16,7,0
439,12,13,0
440,2,14,1
441,14,10,0
442,8,9,1
443,11,0,1
444,4,10,1
445,0,8,2
446,10,2,1
447,3,2,2
448,9,17,0
449,11,14,0
450,21,2,0
451,2,26,0
452,10,16,0
453,17,6,0
454,3,25,0
455,4,20,0
456,14,12,0
457,18,2,0
458,0,27,0
459,15,9,0
460,19,1,0
461,3,13,1
462,18,5,0
463,0,19,1
464,10,5,1
465,1,25,0
466,21,5,0
467,6,21,0
468,7,20,0
469,5,9,1
470,2,4,2
471,1,17,1
472,4,0,2
473,6,8,1
474,13,11,0
475,18,9,0
476,3,3,2
477,8,19,0
478,2,15,1
479,4,11,1
480,11,1,1
481,18,3,0
482,9,18,0
483,2,5,2
484,20,0,0
485,17,7,0
486,16,8,0
487,4,1,2
488,7,11,1
489,9,4,1
490,0,9,2
491,10,3,1
492,4,19,0
493,8,10,1
494,16,14,0
495,5,10,1
496,12,0,1
497,18,4,0
498,19,2,0
499,3,23,0
500,19,4,0
501,2,24,0
502,15,12,0
503,0,20,1
504,13,12,0
505,7,7,1
506,4,25,0
507,11,2,1
508,1,18,1
509,16,10,0
510,4,12,1
511,1,7,2
512,4,2,2
513,1,26,0
514,3,26,0
515,13,13,0
516,2,16,1
517,2,27,0
518,20,1,0
519,3,4,2
520,3,21,0
521,17,8,0
522,11,5,1
523,8,20,0
524,18,6,0
525,0,28,0
526,14,11,0
527,19,9,0
528,3,14,1
529,6,9,1
530,0,10,2
531,17,14,0
532,20,4,0
533,7,8,1
534,12,14,0
535,12,2,1
536,9,19,0
537,21,0,0
538,5,0,2
539,5,11,1
540,12,1,1
541,18,7,0
542,10,18,0
543,15,10,0
544,1,8,2
545,10,17,0
546,4,24,0
547,2,6,2
548,5,25,0
549,10,4,1
550,4,13,1
551,21,1,0
552,8,11,1
553,11,15,0
554,20,2,0
555,5,1,2
556,2,7,2
557,23,4,0
558,16,9,0
559,0,21,1
560,1,19,1
561,3,5,2
562,6,10,1
563,2,17,1
564,12,15,0
565,4,22,0
566,0,11,2
567,4,23,0
568,13,0,1
569,3,15,1
570,9,6,1
571,8,7,1
572,23,5,0
573,5,12,1
574,13,2,1
575,3,24,0
576,2,25,0
577,7,23,0
578,12,21,0
579,11,3,1
580,19,6,0
581,4,26,0
582,6,23,0
583,19,3,0
584,21,4,0
585,4,3,2
586,3,27,0
587,12,5,1
588,4,4,2
589,13,14,0
590,9,9,1
591,1,9,2
592,4,14,1
593,2,28,0
594,22,0,0
595,13,1,1
596,6,11,1
597,11,16,0
598,14,13,0
599,20,5,0
600,0,29,0
601,18,8,0
602,6,0,2
603,19,13,0
604,11,4,1
605,5,2,2
606,0,12,2
607,2,18,1
608,1,20,1
609,20,3,0
610,3,6,2
611,7,22,0
612,9,7,1
613,22,1,0
614,2,8,2
615,5,13,1
616,3,16,1
617,0,22,1
618,10,8,1
619,17,9,0
620,17,10,0
621,9,10,1
622,3,7,2
623,6,1,2
624,5,3,2
625,14,0,1
626,1,10,2
627,5,22,0
628,10,6,1
629,10,25,0
630,11,7,1
631,15,17,0
632,4,15,1
633,20,6,0
634,7,21,0
635,4,5,2
636,22,4,0
637,11,8,1
638,12,3,1
639,13,21,0
640,0,0,3
641,6,12,1
642,5,26,0
643,23,0,0
644,21,7,0
645,13,5,1
646,12,22,0
647,19,7,0
648,9,8,1
649,10,9,1
650,3,17,1
651,6,2,2
652,0,13,2
653,4,27,0
654,5,14,1
655,14,14,0
656,11,17,0
657,2,9,2
658,22,6,0
659,5,4,2
660,2,19,1
661,15,13,0
662,14,1,1
663,5,17,1
664,25,2,0
665,1,28,0
666,12,11,1
667,9,21,0
668,12,16,0
669,7,0,2
670,1,21,1
671,0,1,3
672,3,28,0
673,1,11,2
674,13,15,0
675,10,7,1
676,2,29,0
677,8,22,0
678,3,8,2
679,4,6,2
680,0,23,1
681,18,10,0
682,4,7,2
683,5,23,0
684,13,4,1
685,23,1,0
686,23,2,0
687,4,16,1
688,6,16,1
689,16,12,0
690,0,30,0
691,0,2,3
692,21,12,0
693,19,8,0
694,22,2,0
695,2,10,2
696,21,6,0
697,11,6,1
698,16,17,0
699,15,4,1
700,21,3,0
701,5,5,2
702,12,7,1
703,0,14,2
704,6,22,0
705,17,11,0
706,7,1,2
707,14,2,1
708,15,0,1
709,5,15,1
710,4,21,0
711,13,3,1
712,20,7,0
713,15,14,0
714,24,0,0
715,1,12,2
716,3,18,1
717,6,3,2
718,14,5,1
719,2,20,1
720,12,4,1
721,0,3,3
722,11,9,1
723,6,13,1
724,24,1,0
725,12,17,0
726,1,22,1
727,16,13,0
728,1,0,3
729,5,27,0
730,18,15,0
731,13,16,0
732,11,18,0
733,6,17,1
734,15,1,1
735,4,28,0
736,6,24,0
737,14,15,0
738,13,19,0
739,14,21,0
740,17,12,0
741,8,0,2
742,22,10,0
743,3,9,2
744,2,11,2
745,9,22,0
746,0,24,1
747,0,15,2
748,0,4,3
749,1,1,3
750,7,2,2
751,24,2,0
752,3,29,0
753,20,8,0
754,22,3,0
755,6,4,2
756,13,22,0
757,17,17,0
758,8,23,0
759,12,8,1
760,12,6,1
761,16,4,1
762,18,11,0
763,13,7,1
764,2,30,0
765,3,10,2
766,1,13,2
767,1,27,0
768,11,21,0
769,18,16,0
770,14,3,1
771,25,3,0
772,1,2,3
773,14,4,1
774,9,11,1
775,6,15,1
776,25,0,0
777,19,10,0
778,2,21,1
779,7,12,1
780,0,31,0
781,16,0,1
782,5,19,1
783,18,21,0
784,12,9,1
785,16,16,0
786,7,3,2
787,22,5,0
788,14,6,1
789,27,4,0
790,6,18,1
791,8,1,2
792,10,10,1
793,7,24,0
794,13,17,0
795,20,9,0
796,1,23,1
797,2,12,2
798,6,14,1
799,0,16,2
800,14,16,0
801,3,19,1
802,15,2,1
803,1,3,3
804,27,5,0
805,2,22,1
806,6,25,0
807,25,1,0
808,17,13,0
809,6,5,2
810,16,1,1
811,6,26,0
812,18,12,0
813,15,15,0
814,15,5,1
815,20,14,0
816,11,11,1
817,2,0,3
818,1,14,2
819,5,28,0
820,23,3,0
821,17,18,0
822,9,12,1
823,10,22,0
824,21,8,0
825,0,5,3
826,11,13,1
827,13,18,0
828,25,10,0
829,3,11,2
830,4,17,1
831,12,18,0
832,21,9,0
833,8,16,1
834,7,13,1
835,0,25,1
836,14,17,0
837,13,6,1
838,12,10,1
839,13,8,1
840,22,7,0
841,4,29,0
842,3,20,1
843,14,7,1
844,8,2,2
845,2,1,3
846,4,9,2
847,9,0,2
848,1,4,3
849,9,20,0
850,15,3,1
851,16,7,1
852,3,30,0
853,9,15,1
854,10,11,1
855,5,24,0
856,0,6,3
857,26,0,0
858,7,4,2
859,5,6,2
860,0,17,2
861,6,19,1
862,27,8,0
863,26,2,0
864,17,0,1
865,8,12,1
866,18,13,0
867,17,5,1
868,17,16,0
869,8,24,0
870,13,9,1
871,0,26,1
872,26,3,0
873,15,6,1
874,2,2,3
875,22,8,0
876,9,23,0
