i,f,tau_if
0,1,3964843870593.533
1,0,0.021502147290065436
1,2,25553499892.912636
2,0,0.6440184276234426
2,1,0.012388413637669965
2,3,78138444811.16905
3,0,9.913160854515057
3,1,0.15974602493467877
3,2,0.009756436837120413
3,5,375842875877.0823
5,0,475.7604570803567
5,1,3.0923626078870017
5,2,0.0658355281411182
5,3,0.008722136517601847
5,7,1787097914961.3123
6,4,0.01832568153313744
7,0,491.2908864134819
7,1,70.37460629240238
7,2,1.7682768589627589
7,3,0.034483898717348506
7,5,0.008713137358208185
7,9,1311987271765.0974
8,4,0.22154789814202908
8,6,0.010429571785544779
9,0,2845.7369935061374
9,1,128.20483253312776
9,2,6.883504654861298
9,3,1.6403520603637554
9,5,0.021500429731191498
9,7,0.009155919377372227
9,10,266245842850.13956
10,0,669.2033577721024
10,1,333.79763019814493
10,2,70.45681564614489
10,3,2.2501421255254113
10,5,4.18836095586327
10,7,0.015013799788542769
10,9,0.010628546030237725
10,12,44805123119.3446
11,4,9.076264471067223
11,6,0.07192690719905205
11,8,0.00803397377891016
12,0,276466.2730135945
12,1,91.8413162089244
12,2,116.11880810270102
12,3,91.10869278877675
12,5,1.1988774795183286
12,7,0.7644284250394064
12,9,0.01164980748995757
12,10,0.012802596541201323
12,14,2365579270717.772
13,4,71.79925963095295
13,6,2.243704310589841
13,8,0.036372922790502756
13,11,0.0070161344317024345
14,0,42520.11459627598
14,1,750.8480021743678
14,2,28.739866327739854
14,3,61.8315157234734
14,5,19.091719646840943
14,7,0.8737260884080662
14,9,0.17552811389607614
14,10,0.009874216913718668
14,12,0.016648799233438955
15,4,130.21348598153682
15,6,27.161575195829275
15,8,0.8229876723989624
15,11,0.022464222919860548
15,13,0.006614077906609817
16,0,44705.97480731391
16,1,12312.445303935483
16,2,82.36219300951763
16,3,16.72450278965429
16,5,51.557900303143995
16,7,2.7329812448795034
16,9,0.8583716881495824
16,10,0.06937176724406084
16,12,0.009148115249834231
16,14,0.023798250009892184
17,0,41539.88000172176
17,1,8447.5274292964
17,2,1773.9883400959527
17,3,22.545657822803236
17,5,26.707170289056627
17,7,96.03369507077765
17,9,1.2288904212355953
17,10,1.3945494624526777
17,12,0.03601025820402132
17,14,0.009361453469893428
17,16,0.03857573885518861
18,4,314.93898898987334
18,6,42.60879706435538
18,8,15.216267815596666
18,11,0.38063658242364734
18,13,0.01571659375724709
18,15,0.006557741123817088
19,0,34140.7575875266
19,1,7880.496526262776
19,2,5675.5334522549265
19,3,83.50253880790265
19,5,11.134832584851459
19,7,55.87326267675355
19,9,10.00359203971645
19,10,0.9401771678163495
19,12,1.9015466888319652
19,14,0.02287537577612805
19,16,0.010831708842395383
19,17,0.07493104300393523
20,4,1873.7440897531615
20,6,66.83120639177062
20,8,25.67711460129594
20,11,9.61756934761588
20,13,0.20494477940480516
20,15,0.011939564264440632
20,18,0.006780969263466781
21,0,65635.60953259011
21,1,5507.882263829779
21,2,5151.575382935858
21,3,1447.6348771436758
21,5,20.83879485109764
21,7,9.661906690677931
21,9,104.2144474408516
21,10,1.9616134160443368
21,12,1.1866469657168535
21,14,0.18618134620454785
21,16,0.017588663346964534
21,17,0.01416365606225927
21,19,0.16621228668041046
22,0,156906.9943546237
22,1,6496.018493635088
22,2,1944.377647459247
22,3,6862.259784925541
22,5,64.5560377545376
22,7,10.450017487867681
22,9,27.622564272175183
22,10,15.963040880382668
22,12,1.2430296900579714
22,14,4.74432880248201
22,16,0.06525254952516162
22,17,0.016509870191684307
22,19,0.022894332490821838
22,21,0.5409776239267243
23,0,397738.0080572415
23,1,11567.76954751154
23,2,1927.6105821098918
23,3,5447.849140043111
23,5,309.12264083872543
23,7,19.096116774631312
23,9,11.20478492545205
23,10,423.3891882684066
23,12,2.486078557438843
23,14,2.1588652478099797
23,16,0.48285755135487457
23,17,0.037703301780968375
23,19,0.02048929071948346
23,21,0.052597613256284814
23,22,3.9309607596083835
24,4,50353.467825095584
24,6,226.84811612257732
24,8,28.429905649404702
24,11,23.90333260273813
24,13,6.790262824774168
24,15,0.1238030931355032
24,18,0.009655284395363362
24,20,0.007271728056693228
25,0,1109395.563041945
25,1,25289.91328450063
25,2,2881.681205409464
25,3,1738.708876613864
25,5,3054.2315574611434
25,7,45.91597882283628
25,9,14.407356249878317
25,10,70.31228803553053
25,12,8.419542789919566
25,14,2.2368828215231
25,16,18.3703763378855
25,17,0.12289689566084384
25,19,0.035275731853441857
25,21,0.039129806332938694
25,22,0.2149118967769085
25,23,211.76797692840825
26,0,4071788.546696586
26,1,75553.9629336007
26,2,6956.3713491719045
26,3,2797.9780807847364
26,5,220115.6995509084
26,7,159.6390644135149
26,9,34.3315974478997
26,10,57.130857387235224
26,12,45.8760445034781
26,14,5.0468239078781165
26,16,57.7368024900995
26,17,0.5690116769437971
26,19,0.10252485392353156
26,21,0.07550563728313263
26,22,0.19890829046680222
26,23,4.124188744119078
26,25,541.0175312530855
