i,tau,E
0,5111167.901865576,0.0
1,0.6411730473759459,0.16405
2,0.32845220390065344,0.32637
3,0.22428740011221202,0.48698
4,0.17225787606283585,0.64586
5,0.1410364847089672,0.80301
6,0.12028988369535412,0.95843
7,0.1055683713409554,1.11211
8,0.0945622566236022,1.26403
9,0.08605946887756202,1.4142
10,0.07931351221277354,1.5626
11,0.0738479716565628,1.70923
12,0.06929215554832077,1.85407
13,0.06552588747549525,1.99711
14,0.06234875764390098,2.13834
15,0.05964656542738967,2.27775
16,0.05733439501095447,2.41532
17,0.05534798332206057,2.55105
18,0.05363784105051427,2.6849
19,0.052165422364109926,2.81687
20,0.05090171163262766,2.94694
21,0.049823867231634775,3.07509
22,0.04891429766774693,3.2013
23,0.047944694237537284,3.32556
24,0.04731086654463619,3.44783
25,0.0468143732872983,3.5681
26,0.046450161457837945,3.68635
27,0.04622048032686474,3.80256
28,0.04577156169498376,3.91669
29,0.04577332488175971,4.02872
30,0.04592581560997661,4.13863
31,0.045760050068841394,4.24638
32,0.04617677766822358,4.35195
33,0.04622227280154196,4.45532
34,0.04695052314432576,4.55644
35,0.04793573665209488,4.65528
36,0.048362067945151604,4.75182
37,0.04982853406893214,4.84602
38,0.05059921487646418,4.93784
39,0.05065085323520933,5.02724
40,0.0539614091324849,5.1142
41,0.0554424623096415,5.19866
42,0.05720259684493443,5.28059
43,0.05928100715091511,5.35995
44,0.061722700014803754,5.43669
45,0.06458598850665206,5.51077
46,0.06794632141642892,5.58214
47,0.07191026449057791,5.65075
48,0.07662134216481765,5.71656
49,0.0822709013380086,5.77952
50,0.08547450463997851,5.83956
51,0.0895143967094089,5.89665
52,0.0983694811131387,5.95071
53,0.10469798225595031,6.00169
54,0.11246484723290186,6.04954
55,0.11324164495063446,6.0942
56,0.1339797437576713,6.13559
57,0.14267890566255442,6.17365
58,0.15448135905312096,6.20833
59,0.17064537807394814,6.23954
60,0.19352584950286467,6.26723
61,0.2280466346371008,6.29133
62,0.27399374898041884,6.31176
63,0.34825622750423385,6.32846
64,0.5185845127738129,6.34137
65,0.9305083869077397,6.35043
66,2.9222367738088058,6.35559
