i,tau,E
0,1079.324671934959,0.0
1,0.09685731249622513,0.15128
2,1.3736429235800096,0.30093
3,0.09410624681804225,0.44896
4,0.06193542357643811,0.59536
5,0.21676426531642015,0.74014
6,1.5314186281139703,0.88329
7,0.06591099289616578,1.02481
8,0.0450104744221806,1.16471
9,0.10207653227799492,1.30296
10,0.3768699231296936,1.43959
11,1.7894419833200497,1.57456
12,7.584004732027097,1.7079
13,26.252475174101555,1.83958
14,61.058933704760236,1.9696
15,49.95858665614105,2.09796
16,56.85623114380718,2.22465
17,42.176103341444346,2.34966
18,35.72019267915422,2.47298
19,39.072556495813785,2.59461
20,22.0886747281709,2.71454
21,29.040134085557437,2.83275
22,13.643571505334412,2.94924
23,11.822288427684164,3.064
24,8.52678403037932,3.17702
25,9.102522886061493,3.28827
26,0.025914063938510246,3.39776
27,9.647845030785104,3.50546
28,8.242802647889594,3.61137
29,11.7765679150714,3.71546
30,21.283432138278627,3.81772
31,0.17265308237601865,3.91814
32,13.769885385255398,4.01669
33,8.778411666609479,4.11336
34,49.678446834285445,4.20812
35,23.327195550305763,4.30096
36,16.555433181490983,4.39185
37,11.422800805583092,4.48077
38,12.188526583161476,4.56768
39,8.81650669542325,4.65258
40,11.154768114702117,4.73541
41,14.989531874937883,4.81616
42,23.706383569025576,4.8948
43,34.630279908929126,4.97128
44,46.91106390876787,5.04558
45,70.88175234101054,5.11765
46,105.83883039667948,5.18745
47,190.0423618282888,5.25494
48,302.6312094168457,5.32008
49,529.4997342044968,5.38281
50,949.1103178671927,5.44309
51,1614.1240266656691,5.50086
52,2647.009418601022,5.55606
53,5008.340129708327,5.60861
54,7978.396105858405,5.65846
55,15780.436056208653,5.70553
56,24005.794020601086,5.74972
57,64982.64685517461,5.79095
58,108621.81529405256,5.82911
59,270169.18707316864,5.86408
60,792535.3879748875,5.89573
61,3047326.8908457104,5.92392
62,16249541.648856968,5.94845
63,18779839.193187773,5.96912
64,16172020.167502873,5.98567
65,5763253.150714719,5.99805
66,6187.48096649214,6.00857
