i,f,tau_if
0,1,46181.05485577474
0,2,27906.64274776582
0,4,2043779.101711629
0,5,5206.561275281516
0,8,1478.2775116564826
1,0,0.28429760883233257
1,2,76817.05380375369
1,3,0.14690733817723314
2,0,1.501145390228722
2,1,16.173062457423033
2,3,493232.8967184011
3,0,21.178340427037913
3,1,7346.874628726384
3,2,0.09452751799508927
3,4,341525.4496266729
4,0,256.3620867829478
4,1,18.194196913030606
4,2,0.389198775424397
4,3,0.07397760425935815
4,5,32619804.33409244
5,0,3525.6826325294664
5,1,111.189415989117
5,2,2.7529423579648125
5,3,0.23601437216790294
5,4,266.6080717063968
5,6,1677739.2503038447
6,0,39001.13982592734
6,1,747.9287796617931
6,2,24.042272504071025
6,3,1.6548540890293875
6,4,281.83756909150605
6,5,454.1488712631568
6,7,3387153.135214355
7,0,414414.8500129854
7,1,7575.095645532534
7,2,16404.913400519243
7,3,13.24511616752857
7,4,1103.5301659058962
7,5,356.34324945697745
7,6,0.06625777464336076
7,8,7863144.664879779
8,0,4867243.096690175
8,1,96985.14937197842
8,2,2172.835848396
8,3,109.85860589993574
8,4,6.75238400135888
8,5,75.30678172084161
8,6,0.13098138174199747
8,7,0.06938937414033815
8,9,735326.9288560445
9,0,60036693.44163117
9,1,1064448.8648811644
9,2,133748.67687466845
9,3,997.2430896316354
9,4,5244.798323764499
9,5,1306.4007507034414
9,6,0.5535094533724836
9,7,0.12589134677208078
9,8,22.42552751448376
9,10,11161995.055496257
10,0,677679647.5271716
10,1,11467015.200044023
10,2,233882.88665263786
10,3,7194.132343167698
10,4,39359.65607146363
10,5,5653.108959614687
10,6,2.9887623903574476
10,7,0.4343818061267833
10,8,66.40948152599067
10,9,756.0794435675672
10,11,5285198.707427673
11,0,8779248321.056412
11,1,129153982.40204965
11,2,972299345.2822219
11,3,54251.37673292403
11,4,133085.63824565127
11,5,40556.09933699395
11,6,18.705328932121954
11,7,2.067488329073598
11,8,96.19442525500406
11,9,267.6911481980723
11,10,133.13762564766034
11,12,860610.8223473687
12,0,8662249474.028662
12,1,902186940109.0464
12,2,75825708.08982402
12,3,453962.98329895217
12,4,1333771.3273416157
12,5,13093.372170363355
12,6,106.84694930349933
12,7,12.090317144864894
12,8,63.844737600277895
12,9,243.8252700952561
12,10,58.45971384710476
12,11,352.58106009071855
12,13,1250560.7172111007
13,0,1121478.446928304
13,1,19938077981.49991
13,2,5944739663038.144
13,3,7032244.197870987
13,4,228363.24044677583
13,5,265745.4198529274
13,6,743.6929789382497
13,7,72.53573013611067
13,8,229.17796189312546
13,9,460.77710934547935
13,10,156.66251431957005
13,11,115.2194064038516
13,12,738.5251835876111
13,14,640609.5081438454
14,0,241920.17103670837
14,1,100567659.72539848
14,2,25591114.37709999
14,3,124199817570.88406
14,4,11987514.165593889
14,5,1210685.9607525351
14,6,4758.1745334305215
14,7,403.59855745010765
14,8,1092.9106812015714
14,9,2465.9535946086053
14,10,410.126349274089
14,11,272.1396968714737
14,12,223.37705169415145
14,13,563.8488363866593
14,15,974517.9430697603
15,0,94296714.9230272
