i,tau,E
0,1.578895408301897,0.0
1,2.551606502954302,0.09096
2,20.405925668244237,0.18119
3,0.6097845356106864,0.27068
4,0.5162917314560324,0.35943
5,0.49283075192136067,0.44743
6,2.7267227013161133,0.53468
7,35.5632777326246,0.62118
8,108.79292519602065,0.70691
9,0.5630048909153872,0.79188
10,0.39170070358206077,0.87607
11,0.5477389040257092,0.95949
12,45.07652078534854,1.04213
13,211.96026248805444,1.12398
14,218.97161739802536,1.20504
15,927.3345556985262,1.28531
16,265.1511680657013,1.36477
17,597.3263566831956,1.44342
18,164.66522388652777,1.52125
19,448.98232802086596,1.59827
20,256.0314656428969,1.67447
21,992.2792243816128,1.74983
22,1744.5515932150481,1.82436
23,2013.5773505416312,1.89805
24,67.80715675423521,1.97089
25,41468053780488.66,2.01398
26,147.34027727548101,2.04287
27,19202721.01782326,2.06984
28,223.76194315579738,2.114
29,22.627903170670763,2.12501
30,262.6703227366269,2.17948
31,214.8306018828485,2.18426
32,789.4267214538148,2.23324
33,228.87701732245483,2.25365
34,29921.052451495067,2.28628
35,255.9981494833888,2.32216
36,18894.122329295722,2.33858
37,86.32776881396562,2.38978
38,3127229.2290460714,2.39013
39,150416326.31698328,2.44091
40,278.45440024337097,2.45652
41,64737510.44463065,2.49091
42,402.1939230678646,2.52236
43,12909501.514112843,2.54011
44,536.6409951081738,2.58729
45,28405610.060149,2.58848
46,31039937.64123317,2.636
47,834.3471372641384,2.65132
48,31243122.066490293,2.68265
49,1680.018481233208,2.71442
50,110425988.36294486,2.72839
51,33736550.54030204,2.7732
52,927.179913228234,2.77661
53,31582271.89188752,2.81705
54,2.2610081256580293e-05,2.82455
55,2003.5956697824445,2.83786
56,37199864.48904902,2.85988
57,2.6823643624905976e-05,2.8873
58,2769.9143778031944,2.89817
59,51906453.71102503,2.90166
60,116139438.73480125,2.94234
61,2.0804503815021453e-05,2.94961
62,3592.5760747581053,2.95754
63,103905867.744864,2.98185
64,1.6432444352365224e-05,3.01149
65,2701.505692925121,3.01596
66,368009069.0884197,3.02014
67,2663550045.16769,3.05713
68,2.5694570972062956e-05,3.07292
69,2977.501737459,3.07341
70,1185620305.8454778,3.09274
71,1150697284.2377453,3.12687
72,4195.774626091652,3.1299
73,2.089774892015307e-05,3.13391
74,1813949851.9037359,3.15941
75,5557.455895601427,3.18542
76,912782669.1038618,3.19023
77,1.915826926751453e-05,3.19447
78,168302863.61696723,3.2192
79,12599.539329578613,3.23996
80,500018871.82995343,3.24616
81,1.9899877992400304e-05,3.25459
82,22143772.014436148,3.27092
83,1836642110.0146656,3.29329
84,31574.09339478408,3.2935
85,7420966.284864683,3.31309
86,2.451239756127831e-05,3.31427
87,830531.2534109151,3.33015
88,117832.64501105114,3.34437
89,72280.48219128756,3.34605
90,2918311.2056497857,3.35594
91,16593135.68114394,3.36618
92,2.1756461801665633e-05,3.37351
93,538963194.7815593,3.37738
94,2845406570.4238796,3.39024
95,158949.78838451693,3.3976
96,3819970520.65286,3.40457
97,5774547764.568974,3.42016
98,1.6129555057155926e-05,3.43231
99,7533294519.35624,3.43685
100,356865.47578209336,3.44813
101,13335941776.241817,3.45455
102,26113905025.278656,3.47318
103,1.9091217497071186e-05,3.49068
104,55778842924.62659,3.49268
105,753405.0059804014,3.49765
106,292409409759.09894,3.513
107,1384532223391.4612,3.53411
108,1376269.1163661089,3.54614
109,2.1713841800720158e-05,3.5486
110,2942485949074.8267,3.55596
111,1837394829836.5469,3.57853
112,2248698.6687955316,3.59359
113,1728890346127.8142,3.60179
114,1.867166052637424e-05,3.6061
115,4126802314519.4614,3.62572
116,2967568.0520573873,3.64
117,14305517241701.549,3.6503
118,1.807247386169997e-05,3.66315
119,35096037209008.7,3.67552
120,4327091.952130004,3.68536
121,169326042155901.16,3.70135
122,1.661957827635419e-05,3.71977
123,1071775559167329.0,3.72778
124,8116500.938255906,3.72967
125,1106074852642535.5,3.75481
126,15471620.645953182,3.7729
127,1.740116614975123e-05,3.77595
128,779396291594432.6,3.7824
129,716991303358982.8,3.81057
130,22329177.498894725,3.81507
131,1.564972582679012e-05,3.8317
132,981059418906075.4,3.83929
133,32559860.53978488,3.85615
134,236714966121728.97,3.86867
135,1.5761812511040274e-05,3.88701
136,145922107.44532198,3.89615
137,525600156.9310878,3.93504
138,1.4246099255990576e-05,3.94188
139,925263062.5148163,3.97283
140,1.2344499555701212e-05,3.99632
141,2389891308.2072377,4.00951
142,3264893973.387973,4.04507
143,1.345429332256315e-05,4.05032
144,7215093912.639445,4.0795
145,1.3157147641729281e-05,4.10389
146,7944331160.335045,4.11279
147,13669950711.954214,4.14494
148,1.2992670020240602e-05,4.15703
149,18149224619.1679,4.17593
150,23585703846.283485,4.20576
151,1.1652585613336892e-05,4.20973
152,52368876131.811745,4.23442
153,24501103932.064312,4.2619
154,1.0119325808459688e-05,4.26199
155,205906195336.2311,4.2882
156,54139866889.70201,4.31331
157,9.299215250075776e-06,4.31383
158,21001916804.77715,4.33721
159,94167253144.34329,4.35991
160,8.950742429641645e-06,4.36522
161,192798954445.11444,4.38138
162,3837287438340.3755,4.40164
163,8.163868330267073e-06,4.41619
164,23080362457558.113,4.42078
165,11616663795549.182,4.43927
166,12534928671340.033,4.45811
167,7.869173147573352e-06,4.46672
168,4099585720268.563,4.47816
169,2048883435547.3022,4.49965
170,7.108341080095485e-06,4.51682
171,701863210655.0831,4.52249
172,131553706799.86865,4.54663
