i,State
0,X2Pi
1,X2Pi
2,X2Pi
3,X2Pi
4,X2Pi
5,X2Pi
6,X2Pi
7,X2Pi
8,X2Pi
9,X2Pi
10,X2Pi
11,X2Pi
12,X2Pi
13,X2Pi
14,X2Pi
15,X2Pi
16,X2Pi
17,X2Pi
18,X2Pi
19,X2Pi
20,X2Pi
21,X2Pi
22,X2Pi
23,X2Pi
24,X2Pi
25,a4Pi
26,X2Pi
27,a4Pi
28,X2Pi
29,a4Pi
30,a4Pi
31,X2Pi
32,a4Pi
33,X2Pi
34,a4Pi
35,X2Pi
36,a4Pi
37,X2Pi
38,a4Pi
39,a4Pi
40,X2Pi
41,a4Pi
42,X2Pi
43,a4Pi
44,X2Pi
45,a4Pi
46,a4Pi
47,X2Pi
48,a4Pi
49,X2Pi
50,a4Pi
51,a4Pi
52,X2Pi
53,a4Pi
54,B2Pi
55,X2Pi
56,a4Pi
57,B2Pi
58,X2Pi
59,a4Pi
60,a4Pi
61,B2Pi
62,X2Pi
63,a4Pi
64,B2Pi
65,X2Pi
66,a4Pi
67,a4Pi
68,B2Pi
69,X2Pi
70,a4Pi
71,a4Pi
72,X2Pi
73,B2Pi
74,a4Pi
75,X2Pi
76,a4Pi
77,B2Pi
78,a4Pi
79,X2Pi
80,a4Pi
81,B2Pi
82,a4Pi
83,a4Pi
84,X2Pi
85,a4Pi
86,B2Pi
87,a4Pi
88,a4Pi
89,X2Pi
90,a4Pi
91,a4Pi
92,B2Pi
93,a4Pi
94,a4Pi
95,X2Pi
96,a4Pi
97,a4Pi
98,B2Pi
99,a4Pi
100,X2Pi
101,a4Pi
102,a4Pi
103,B2Pi
104,a4Pi
105,X2Pi
106,a4Pi
107,a4Pi
108,X2Pi
109,B2Pi
110,a4Pi
111,a4Pi
112,X2Pi
113,a4Pi
114,B2Pi
115,a4Pi
116,X2Pi
117,a4Pi
118,B2Pi
119,a4Pi
120,X2Pi
121,a4Pi
122,B2Pi
123,a4Pi
124,X2Pi
125,a4Pi
126,X2Pi
127,B2Pi
128,a4Pi
129,a4Pi
130,X2Pi
131,B2Pi
132,a4Pi
133,X2Pi
134,a4Pi
135,B2Pi
136,X2Pi
137,X2Pi
138,B2Pi
139,X2Pi
140,B2Pi
141,X2Pi
142,X2Pi
143,B2Pi
144,X2Pi
145,B2Pi
146,X2Pi
147,X2Pi
148,B2Pi
149,X2Pi
150,X2Pi
151,B2Pi
152,X2Pi
153,X2Pi
154,B2Pi
155,X2Pi
156,X2Pi
157,B2Pi
158,X2Pi
159,X2Pi
160,B2Pi
161,X2Pi
162,X2Pi
163,B2Pi
164,X2Pi
165,X2Pi
166,X2Pi
167,B2Pi
168,X2Pi
169,X2Pi
170,B2Pi
171,X2Pi
172,X2Pi
