i,v
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,0
26,25
27,1
28,26
29,2
30,3
31,27
32,4
33,28
34,5
35,29
36,6
37,30
38,7
39,8
40,31
41,9
42,32
43,10
44,33
45,11
46,12
47,34
48,13
49,35
50,14
51,15
52,36
53,16
54,0
55,37
56,17
57,1
58,38
59,18
60,19
61,2
62,39
63,20
64,3
65,40
66,21
67,22
68,4
69,41
70,23
71,24
72,42
73,5
74,25
75,43
76,26
77,6
78,27
79,44
80,28
81,7
82,29
83,30
84,45
85,31
86,8
87,32
88,33
89,46
90,34
91,35
92,9
93,36
94,37
95,47
96,38
97,39
98,10
99,40
100,48
101,41
102,42
103,11
104,43
105,49
106,44
107,45
108,50
109,12
110,46
111,47
112,51
113,48
114,13
115,49
116,52
117,50
118,14
119,51
120,53
121,52
122,15
123,53
124,54
125,54
126,55
127,16
128,55
129,56
130,56
131,17
132,57
133,57
134,58
135,18
136,58
137,59
138,19
139,60
140,20
141,61
142,62
143,21
144,63
145,22
146,64
147,65
148,23
149,66
150,67
151,24
152,68
153,69
154,25
155,70
156,71
157,26
158,72
159,73
160,27
161,74
162,75
163,28
164,76
165,77
166,78
167,29
168,79
169,80
170,30
171,81
172,82
