i,f,tau_if
0,1,275938.95925719617
0,2,3353489.4500181074
0,5,3.669445387587242
0,7,2.7713919818234998
1,0,3.722440992656451
1,2,374827.90054237755
1,3,8.112533091944316
1,4,3303350.775797914
2,0,30.7173156126799
2,1,60.78873766661377
2,3,34045429.68855956
3,0,1015.6820296320496
3,1,13074.7993566018
3,2,0.6101793279886311
3,4,223198515.95216665
4,0,14820.72367916574
4,1,270.17663575434705
4,2,995.3993152226918
4,3,0.5175672528394967
4,5,5391936395.876022
5,0,120502.08188278043
5,1,2968.39988739815
5,2,9805.868714985407
5,3,4.199524771411514
5,4,0.558495474193559
5,6,82583862.89112444
6,0,1555268.9576499013
6,1,33275.143989757235
6,2,1138.6148767429477
6,3,76.04069832319972
6,4,2.9068902311853746
6,5,115.33343882740203
6,7,14008266.81067114
7,0,26052544.48533728
7,1,438534.19477178506
7,2,77879.26160204088
7,3,666.3915731787188
7,4,39.742346039437976
7,5,758.4575311219049
7,6,8163.206783305794
7,8,14151402.330969881
8,0,543182346.2721002
8,1,7337429.892495556
8,2,641371.8654705858
8,3,5801.298195379891
8,4,356.7328563552679
8,5,2834.643204314351
8,6,57462.59850847471
8,7,171.108918296179
8,9,13864346.653297592
9,0,10693338394.669027
9,1,114433748.09858762
9,2,8262632.844626604
9,3,40515.071299263516
9,4,2651.850446739496
9,5,12078.930525142581
9,6,103413.37355684812
9,7,845.4868876345058
9,8,0.5635370084066734
9,10,26623978.378105577
10,0,179547685042376.7
10,1,1963408075.5327168
10,2,104091019.23591933
10,3,368287.138470376
10,4,21252.968922732784
10,5,58202.57778908321
10,6,232548.9979725135
10,7,5619.543404223814
10,8,1.2195931766555819
10,9,0.5771090201851943
10,11,91682264.8524717
11,0,3283625707563960.0
11,1,22745764648250.395
11,2,1128326288.2361581
11,3,4783429.5111978175
11,4,190832.71221646437
11,5,358863.64906831156
11,6,514191.0249099236
11,7,27227.650120180482
11,8,12.254241675207897
11,9,200.72776668020722
11,10,0.5750252570644544
11,12,6763716.056518562
12,0,3.1976013204763092e+16
12,1,184736467341619.2
12,2,16401323238.300781
12,3,75562200.36625375
12,4,2213615.330004958
12,5,88881.23903665977
12,6,258144.793612689
12,7,157708.59974645244
12,8,84.28757900878033
12,9,1156.6994061247328
12,10,179.31833185537693
12,11,259.25469974461294
12,13,108681079.47605118
13,0,2.4902339996520592e+17
13,1,4598114559115043.0
13,2,65383803835796.234
13,3,1193269760.8037434
13,4,30763215.983355425
13,5,1880064.5320235558
13,6,8042698.526840625
13,7,912201.1313886024
13,8,387.481192304964
13,9,6229.856283486016
13,10,992.0283609242041
13,11,1110.15236221526
13,12,15163.118306489003
13,14,34002484.50392094
14,0,8.211369180388958e+16
14,1,1.1973664427341192e+16
14,2,898194073044541.6
14,3,29051392203132.223
14,4,517697975.75750136
14,5,13642882.086390028
14,6,45391808.16895553
14,7,12434380.023130525
14,8,2257.6259145702393
14,9,330.08704347926323
