i,tau,E
0,0.040830932891086434,0.04566
1,0.3452426059001308,0.36785
2,1.2488675516899268,0.67801
3,0.6063658721041577,0.97616
4,3.579944807618184,1.26217
5,11.323679204642222,1.53576
6,6.132336940536189,1.79651
7,11.156747442403974,2.0439
8,0.8305929385329354,2.27727
9,0.7404770617438466,2.4959
10,0.22001384031173576,2.69897
11,0.2400603017222685,2.88558
12,0.20656669724471372,3.05476
13,0.3017909875375168,3.20547
14,0.3059170099338537,3.33666
15,0.3133641242385899,3.44722
16,0.5028179767841707,3.53607
17,0.7991476495151647,3.60214
18,8.246066145511524,3.64449
19,185511.39326990469,3.66664
20,0.32142911738203145,3.68867
21,1.5983259922969506,3.7179
22,0.49841615012894896,3.75292
23,0.5502755673659955,3.79296
24,5.828112623777944e-07,3.82369
25,0.394173819475905,3.83756
26,0.4817513539637019,3.88637
27,0.33957772690019355,3.93914
28,0.28088695527500906,3.99567
29,6.386232458313025e-07,4.04488
30,0.297595712694312,4.05578
31,0.4547228244184241,4.11936
32,1.0451530365623498,4.18627
33,7.060105275970616e-07,4.24187
34,1.291218583246718,4.25643
35,2.8080798585100246,4.32974
36,3.7801364978511827,4.40612
37,7.785826386925384e-07,4.41309
38,2.7845549245528347,4.48552
39,8.994035249868421e-07,4.55667
40,1.820971327303656,4.56786
41,0.6709295824112513,4.65309
