i,f,tau_if
0,1,1628223.5974573696
0,2,0.040830933915003004
1,0,0.34524266215952465
1,2,2118623.543376883
2,0,1.6297756057892692
2,1,5.343478166998432
2,4,101001737104.81087
3,0,9.111346056806456
3,1,0.6506556078790978
3,2,400.79079251269184
3,4,103847.22030908562
4,0,47.22846028746291
4,1,3.90569637212753
4,2,25440.284711629047
4,3,483.8187241426114
4,5,56323.83414378079
4,6,473253365.28728896
5,0,213.22336939202185
5,1,11.989729160544265
5,2,10620.47034483283
5,3,192759.53676329355
5,4,8581.202910771073
5,6,280237641.520009
6,0,687.3378595924491
6,1,53.420898371351214
6,2,10.947874107992599
6,3,19.65747189958166
6,4,161373.00068295927
6,5,1478.3348710131183
6,7,171453014.98592797
7,0,2806.661521086551
7,1,178.6761848007111
7,2,148.0163402846813
7,3,97.64307859813312
7,4,15.597424358187585
7,5,389.362786304033
7,6,225689463.3368039
7,8,1171591129.1588771
8,0,101445.77105432212
8,1,774.4803509349916
8,2,239.0528416123089
8,3,378.6287000032525
8,4,53.05621226757746
8,5,0.8543193430740318
8,6,154.9596833605107
8,7,98557.3251707197
8,9,2540017520.033536
9,0,30368.18658928538
9,1,21735.350894689236
9,2,462.317331393535
9,3,2230.877841385388
9,4,7.767255093363202
9,5,49.73541972018902
9,6,7.5209012180010655
9,7,54.97927426513321
9,8,0.9543924017958476
9,10,1237362302.5638087
10,0,25038.391661826547
10,1,7113.349644694345
10,2,7496.897981944732
10,3,4882.71043085203
10,4,103.54011138890743
10,5,11.61030390054948
10,6,113.36625586880002
10,7,0.4622868056436593
10,8,1.1124158184827353
10,9,0.7257227295174835
10,11,794659035.3956356
11,0,51878.75791657536
11,1,5997.986189540602
11,2,3307.6769026754396
11,3,7401.910370918882
11,4,510.56408881489824
11,5,79.11418471115293
11,6,5.333424418842091
11,7,7.4225559272041135
11,8,0.5663124600472488
11,9,3.0384107961232734
11,10,0.5769538676461174
11,12,145860.82360574836
12,0,58574.85352864898
12,1,16863.914171987373
12,2,16441.080736200598
12,3,3980.9568446928783
12,4,874.795277628278
12,5,35.981191122487196
12,6,39.63296824354388
12,7,1.2764635061429406
12,8,1.4786446433773062
12,9,0.8286103199140991
12,10,3.065384707275694
12,11,0.557499574651028
12,13,13012019596.12821
13,0,500583.2932751576
13,1,29681.99475010217
13,2,36824.45434847282
13,3,15378.779239414884
13,4,1518.3678082839674
13,5,273.9956003553848
13,6,39.974791634202155
13,7,14.140873328717651
13,8,4.304040556047768
13,9,5.965559993569974
13,10,1.2225153934947302
13,11,0.6927152744084485
13,12,1.8121398865546166
13,14,57560577.84530328
13,19,91392238.09758416
14,0,101380.58391552778
14,1,24173.4446255385
14,2,46543489803.58419
14,3,26717.448567774558
14,4,3523.8379269212523
14,5,480.1784572023941
14,6,116.1653319259858
14,7,16.605516849979164
14,8,11.919001428006203
14,9,742.2780417898143
14,10,0.8519075925628392
14,11,5.718878985615291
14,12,0.9551603571135392
14,13,1.3954436517810127
14,15,19964577.11725136
14,16,14656.737962202968
14,18,405184.80297310505
14,19,6192712.652683005
15,0,204944.4773208254
15,1,489481474.41365725
15,2,11740.753767248269
