i,tau,E
0,0.018788508971713778,0.0
1,0.015382394028266945,0.19181
2,1249251.0032566013,0.20995
3,0.012966146889936659,0.37434
4,104.72947801438887,0.38156
5,0.009243600339443903,0.4152
6,0.009877123816791825,0.52238
7,0.2492891242719841,0.54762
8,0.010508901970900479,0.5493
9,0.804073432455564,0.58309
10,5.5424907115182153e-05,0.67123
11,0.008410517835679004,0.68414
12,27.05466576636351,0.70814
13,0.011747851243373913,0.71776
14,0.000467573415884823,0.74222
15,0.12728263908248957,0.74522
16,0.0015454028521046327,0.83924
17,5.800522925553197e-05,0.84019
18,183.6418236345286,0.86308
19,0.011439219448274775,0.8803
20,0.00043241843431559185,0.89932
21,2.930485328361315,0.90158
22,0.00173895917260515,0.99022
23,5.072413392286874e-05,1.00333
24,15.953594700258531,1.01237
25,0.008088262341502155,1.03695
26,0.0006260836665650995,1.05028
27,1.1229124027123951,1.05222
28,0.0034705022266113025,1.1376
29,2.220289729398428,1.15586
30,4.9517262572959625e-05,1.17319
31,0.007914596898630874,1.18704
32,0.0009108383015123883,1.19611
33,0.3639561551381051,1.19664
34,0.005312512891391491,1.28136
35,0.009563969784569323,1.29336
36,0.09618218286879371,1.33064
37,0.0015550755290477992,1.33485
38,0.009887400984170869,1.3396
39,4.102880480997657e-05,1.35238
40,0.005488487364361846,1.42078
41,0.005285622346554011,1.4245
42,0.006309709641525222,1.46238
43,0.0007037987307250718,1.46691
44,0.010677221439273183,1.47573
45,4.677906210086304e-05,1.52935
46,0.004923694824640899,1.54874
47,0.0037413492485074812,1.55456
48,0.0067742401969925385,1.58597
49,0.00047252136215861137,1.59165
50,0.006914987962699943,1.60447
51,0.004054664853792927,1.66514
52,0.002767932432655235,1.68074
53,4.600214450714098e-05,1.70061
54,0.014576843355355579,1.70064
55,0.00043514502090277415,1.70799
56,0.004591090216907188,1.72311
57,0.005991070739412944,1.77215
58,0.0039102767212848485,1.79607
59,0.008913333508738751,1.80444
60,0.00043112431351095625,1.81418
61,0.00798185052946828,1.82833
62,2.7835798901974045e-05,1.86395
63,0.024465115959035617,1.86678
64,0.010379009717222432,1.89338
65,0.0027940708143816286,1.8946
66,0.00046733977223099735,1.90688
67,0.0034448264070161398,1.91456
68,0.003733173958561272,1.94148
69,0.00889746175768643,1.95203
70,0.003480548848836034,1.9582
71,0.003206781493953615,1.95995
72,0.0005759672159520381,1.96028
