i,State
0,X1Sigma+
1,X1Sigma+
2,a3Delta
3,X1Sigma+
4,a3Delta
5,b3Pi
6,A1Delta
7,a3Delta
8,X1Sigma+
9,b3Pi
10,B1Pi
11,A1Delta
12,a3Delta
13,X1Sigma+
14,c3Sigma+
15,b3Pi
16,A1Delta
17,B1Pi
18,a3Delta
19,X1Sigma+
20,c3Sigma+
21,b3Pi
22,A1Delta
23,B1Pi
24,a3Delta
25,X1Sigma+
26,c3Sigma+
27,b3Pi
28,A1Delta
29,a3Delta
30,B1Pi
31,X1Sigma+
32,c3Sigma+
33,b3Pi
34,A1Delta
35,a3Delta
36,b3Pi
37,c3Sigma+
38,X1Sigma+
39,B1Pi
40,A1Delta
41,a3Delta
42,b3Pi
43,c3Sigma+
44,X1Sigma+
45,B1Pi
46,a3Delta
47,A1Delta
48,b3Pi
49,c3Sigma+
50,X1Sigma+
51,a3Delta
52,A1Delta
53,B1Pi
54,b3Pi
55,c3Sigma+
56,X1Sigma+
57,a3Delta
58,A1Delta
59,b3Pi
60,c3Sigma+
61,X1Sigma+
62,B1Pi
63,a3Delta
64,b3Pi
65,A1Delta
66,c3Sigma+
67,X1Sigma+
68,a3Delta
69,X1Sigma+
70,b3Pi
71,A1Delta
72,B1Pi
