i,f,tau_if
0,1,0.09964129135113592
0,2,999740.1500458255
0,3,0.03996003996003996
0,4,110892.60339681785
0,7,0.055056950054812495
1,0,0.015382462944040073
1,2,832890.9232492871
1,4,3447.6659800488474
2,0,3430007.7163519165
2,1,300177279161.80566
2,3,2041233.8199733594
2,4,52543085.329970576
3,0,0.4970522267744137
3,1,0.013316377359602808
3,2,60.45387094583208
3,4,1993377.6409415223
3,5,1724568326.1213937
3,7,81148.88281563362
4,0,68737.55833885683
4,1,928052.3568477825
4,2,105.21401692985891
4,3,28338509.874505144
4,5,2509931948.24373
4,7,2.008012761109839e+16
4,8,35325.869465844626
4,12,260601295.47970116
5,0,643.8521946936636
5,1,331.42119639372345
5,2,0.026957386634225436
5,3,141275012.2736605
5,4,1396.0201441984073
5,6,1359964.5444217557
5,7,39301087987.21136
5,8,111501481.48302816
5,9,0.029233852245404923
5,11,471.2894622080696
5,12,13079439.789549857
5,13,438498.00108266954
5,15,0.027206980268912457
5,16,854.3357539513028
5,18,10.332361683533898
5,19,1013.6539182792211
5,21,53.116676235172925
5,24,1664004.4244176818
5,27,43276929069.11326
6,0,0.030288881661552566
6,1,1.0849217953514811
6,2,0.442279909835812
6,3,743.1792686380802
6,4,671.5398010770413
6,5,36.74718651329631
6,7,307619.1770690811
6,8,7853.723079413506
6,9,3380528545.6928225
6,11,0.023584082442405313
6,12,938.6692710190869
6,13,231609.26450671736
6,15,186355.64563371567
6,16,0.044239956696178306
6,18,203004.14400840373
6,19,575.7052389176741
6,21,311.5594798202925
6,24,240.84432583364494
6,27,17000.73103143435
7,0,12008.14055375534
7,1,23797679.42094227
7,2,0.2492965686163307
7,3,222803.46249386336
7,4,638132095.8801527
7,5,79548.42015825307
7,6,52000.14836684563
7,8,5843503.318221638
7,9,6732617009.6851225
7,12,221082419.52599928
7,13,22857668348.775185
7,18,1837270373519.361
8,0,1.1990784753397514
8,1,0.1592832237566828
8,2,37.32619711249947
8,3,0.011369026694753367
8,4,30.940907789229026
8,5,35.825797308920784
8,6,6105697.529799326
8,7,141480.65721120048
8,9,74800.90156403066
8,12,3684823.151599966
9,0,56109.677552263245
9,1,297.4872743698085
9,2,1.3411738140917815
9,3,1195.91220814225
9,4,2.024970800559413
9,5,11811372.469962096
9,6,68238129.86754969
9,7,821167.6433915357
9,8,1369376.4287276946
9,11,118760864.24077328
9,12,6105473.563303067
9,13,67127093625.70404
9,15,3210820101.5262895
9,18,16622348512879.152
9,21,52835323776.64183
10,0,6.0026233392779046e-05
10,1,0.0008588257291618356
10,2,0.1236017152636414
10,3,0.14351165726749232
10,4,17.85813284231706
10,5,0.06091623864347705
10,6,0.005347681007280906
10,7,296.0608687833303
10,8,12.500618899055066
10,9,100.18762415007932
10,11,43805.568209038094
10,12,4929.98174547552
10,13,32.53551984491602
10,14,1549.7462458605291
10,15,8895768.702481646
10,16,71.51237365453142
10,18,39693.288810442114
10,19,4976484.010169882
10,21,2934703.06301484
10,24,15120013385.388567
10,25,39382.48578423401
10,29,1129254.466201414
11,0,0.02329054644106012
11,1,0.5660491710811354
11,2,4.534551102811759
11,3,7.552872255338126
11,4,0.7782825056172131
11,5,151.31801991930874
11,6,0.013785343518039528
11,7,205.87056491967311
11,8,4662.72498358324
11,9,169.74224265527215
11,10,171062.9525545543
11,12,9046885750.106735
11,13,692169.4395034361
11,14,42651183.17033101
11,15,28840.605428558603
11,18,416942.5467320154
11,21,10496914.077722391
12,0,3391277.009410573
12,1,215102.91663978656
12,2,1108.359364864485
12,3,10890.657411957634
12,4,29.72865525208456
12,5,447.9810278437307
12,6,7465712.247664185
12,7,293795.6506883352
12,8,604661.9181564477
12,9,20634734.440793853
12,10,17431414.783922963
12,11,33471.75176526585
12,13,30229445619.508995
12,14,47085072374.58143
12,15,1912220193.0295916
12,18,638666971.8727309
12,19,17179.473964507208
13,0,4.134583274654081
13,1,0.5391693833445195
13,2,246.9622992602712
13,3,0.08658788201677632
13,4,112.57110781519145
13,5,46.38896538275789
13,6,95962.92202987678
13,7,17.947041803189595
13,8,0.014008378560011822
13,9,3454.2015539651316
13,10,54315.80150350531
13,11,10651317.357014807
13,12,119090.47014893363
13,14,670796882595.2467
13,15,26759.622303130243
13,18,34112417999.929985
14,0,0.0031312350891360917
14,1,3900.735627970897
14,2,0.0601554896953616
14,3,0.389643455048345
14,4,8.336758748535184
14,5,0.000556423702995577
14,6,0.4171931401611014
14,7,204.06063812928704
14,8,75.28734982413734
14,9,2.639081313429222
14,10,245.00556581204555
14,11,25.817263273280357
14,12,37659.75639726334
14,13,73991442.5653656
14,15,91661455936.2911
14,16,10698283.723651333
14,17,6779433894.828346
14,18,409478.3912677005
14,19,57300.850106153055
14,21,140553595.5786679
14,22,533209.2796402244
14,24,1068792948.8487285
14,25,311282.12737658457
14,26,54228148.16083891
14,27,83923184625690.36
14,29,2868836980.3067327
14,33,8240645.555707949
15,0,174710.9740801392
15,1,23.158317738708543
15,2,8.20650325348746
15,3,2535.754609718342
15,4,354.9556221658558
15,5,0.1452851675203402
15,6,1174.044207890614
15,7,1.25815552131198
15,8,233.39080907768428
15,9,2205304.87184722
15,10,33183.88776154084
15,11,3899901.904527183
15,12,189.39497281614896
15,13,48390693.35564735
15,14,75734240.48076318
15,16,458996197.10731155
15,18,3284138665.174753
15,19,88656712.90861064
15,24,719534.855705427
16,0,0.0034676315248655934
16,1,0.0036977680336975844
16,2,3.645206769267886
16,3,0.039448720650307474
16,4,3230.5619166119163
16,5,9.566988004327053
16,6,0.08387352945988634
16,7,0.6991773933920064
16,8,37.53603147824447
16,9,38.72951600081534
16,10,1.299755906690815
16,11,0.020687151321014424
16,12,140300.4861600639
16,13,1921264.2147954223
16,14,106891.49756565354
16,15,43.15317232837004
16,17,7397962.214065519
16,18,4576630.256306172
16,19,120045.07641653965
16,21,5620319.932838362
16,24,1281887.1705089263
16,27,14276.93094820868
17,0,0.00014763688945425404
17,1,0.00012061945062081608
17,2,0.34106979458864256
17,3,0.0005403332428138894
17,4,0.16317322922345442
17,5,0.01640705182441656
17,6,0.26114631641788755
17,7,4.327544732011509
17,8,0.022319410258656774
17,9,0.450794226389261
17,10,0.022267397077201323
17,11,0.00631000251096028
17,12,41.45174229767949
17,13,9.339930249308233
17,14,1.8273045731342998
17,15,34.463725455131005
17,16,2453.623174963411
17,18,291187.3622331539
17,19,322.1799379114303
17,20,197521.06994666782
17,21,7668059708.795031
17,22,114.51192384592989
17,24,12193.150055485203
17,25,98191281.49944516
17,27,283287632.8270272
17,28,122343349.10878615
17,29,18946.65342210292
17,31,258.24445420034607
18,0,1229.724850161156
18,1,114194.4091996245
18,2,169780.47491680217
18,3,4528.783306889909
18,4,1091.2894535214725
18,5,206510.86602846053
18,6,9160.688724316402
18,7,331.1386784349919
18,8,456693.84255730844
18,9,10912.996331255037
18,10,56847699129.7339
18,11,136716.6529867094
18,12,4168.246749319595
18,13,300578.21156251006
18,14,333989054.0327752
18,15,1304241.9907217263
18,16,84735037.83739732
18,17,744459.5772692943
18,19,25995537060.913105
18,20,3852324887.9934697
18,21,17031212113.217657
18,24,423857674.70845556
19,0,185.5145850345585
19,1,1.4454768720442255
19,2,774.5842846032342
19,3,0.25489513553613746
19,4,204.26244953358622
19,5,128.85157699776823
19,6,17000.562103144926
19,7,50531.681731203294
19,8,0.06483097878496683
19,9,52.227032733851004
19,10,787.0678554020229
19,11,3574.3927764488913
