i,tau,E
0,0.1635186241986276,1e-05
1,0.015871665916958037,0.24429
2,0.1108138739767828,0.47977
3,1.6761411100894346,0.70655
4,5.9091537564886485,0.92472
5,3.595870594142999,1.13428
6,0.4111643227069408,1.33513
7,4.617625233108347,1.52707
8,1.8835057987880555,1.70651
9,2.5782638741433552,1.70979
10,0.23560577578617556,1.88291
11,0.8862054448303183,1.96801
12,0.08347749027497102,2.046
13,0.07389912718944822,2.19856
14,0.17633150934460076,2.20651
15,0.20592819156909334,2.34004
16,0.09954261672654602,2.4203
17,0.22749691310769984,2.46984
18,0.05892642919885117,2.58733
19,0.07965263501430378,2.60751
20,0.6916041826947789,2.69186
21,0.10655684128414804,2.76607
22,0.037945952762299694,2.78273
23,0.7144832927130402,2.85938
24,0.05837421553281372,2.8917
25,0.08493416050479338,2.89368
26,114.14774139187539,2.92352
27,0.050964814234556885,2.94524
28,0.1061214464846284,2.98442
29,0.3213100832445606,2.98581
30,0.11819261588866964,2.98783
31,6.067693072026108e-07,3.00879
32,4.3774344405860965,3.01059
33,8.873098142481183,3.0339
34,0.5857161060630961,3.04587
35,0.173052779622034,3.05684
36,0.540825813672406,3.06367
37,26.021642034352915,3.07548
38,0.21703772052499612,3.09966
39,41.083958427263084,3.10892
40,0.02051716041260688,3.13748
41,0.2502519134898696,3.14148
42,1.7938444607526036,3.15273
43,0.3065696996396976,3.18811
44,0.34256418549194895,3.20491
45,7.27502097048923e-07,3.21462
46,0.004786640577569767,3.22664
47,0.24751942320276418,3.23985
48,0.578148688846249,3.26448
49,0.1832136022273943,3.29607
50,0.002766789729774927,3.32303
51,0.4062102401317306,3.33079
52,0.10937080482379903,3.35689
53,8.943022607887053e-07,3.39581
54,0.36019225088139983,3.40336
55,0.08207434123801663,3.42169
56,0.0018919605422109654,3.42633
57,0.20637370065319952,3.48189
58,0.07105782995560256,3.49127
59,0.0014641780101930957,3.53524
60,1.4103447666803392e-06,3.55025
61,0.08685298792255718,3.56478
62,0.2673269917255404,3.56604
63,0.07545337835827434,3.64202
64,0.0013269189728291138,3.65047
65,0.14292994049014252,3.65575
66,2.173753700830454e-06,3.6756
67,0.08047463264457859,3.7236
68,0.09476773203555885,3.7506
69,3.4893911874814234e-06,3.76926
70,0.0010809568922275255,3.77109
71,0.07784498382924851,3.80903
72,5.574481249753391e-06,3.8284
73,7.221588794974894e-06,3.85689
74,4.538204730809914e-06,3.88524
