i,State
0,X2Pi
1,X2Pi
2,X2Pi
3,X2Pi
4,X2Pi
5,X2Pi
6,X2Pi
7,X2Pi
8,a4Sigma
9,X2Pi
10,X2Pi
11,a4Sigma
12,X2Pi
13,X2Pi
14,a4Sigma
15,X2Pi
16,a4Sigma
17,X2Pi
18,X2Pi
19,a4Sigma
20,X2Pi
21,a4Sigma
22,X2Pi
23,X2Pi
24,B2Sigma
25,a4Sigma
26,X2Pi
27,B2Sigma
28,B2Sigma
29,X2Pi
30,a4Sigma
31,A2Delta
32,B2Sigma
33,B2Sigma
34,a4Sigma
35,X2Pi
36,B2Sigma
37,a4Sigma
38,B2Sigma
39,a4Sigma
40,X2Pi
41,B2Sigma
42,a4Sigma
43,B2Sigma
44,a4Sigma
45,A2Delta
46,X2Pi
47,B2Sigma
48,a4Sigma
49,B2Sigma
50,X2Pi
51,a4Sigma
52,B2Sigma
53,A2Delta
54,a4Sigma
55,B2Sigma
56,X2Pi
57,a4Sigma
58,B2Sigma
59,X2Pi
60,A2Delta
61,B2Sigma
62,a4Sigma
63,B2Sigma
64,X2Pi
65,a4Sigma
66,A2Delta
67,B2Sigma
68,a4Sigma
69,A2Delta
70,X2Pi
71,B2Sigma
72,A2Delta
73,A2Delta
74,A2Delta
