i,f,tau_if
0,1,267129914.55106553
0,2,0.1635186242987225
1,0,0.01587166591745173
1,2,510256148.5865905
2,0,0.11278523024753018
2,1,6.3398832375256005
2,3,278014484.5081622
3,0,15.041192511773502
3,1,2.380964203249675
3,2,9.080854777682015
3,4,535491481.2253153
3,5,20409728.17531733
3,6,215866.41215683278
4,0,213.6577115067867
4,1,6.5595484600089415
4,2,1691.2826073024412
4,3,88.0297906344072
4,5,203633424.8323467
4,6,44510.960368051004
4,7,7965.659518443069
5,0,572.7021734552168
5,1,80.21718053427598
5,2,431.6352532502299
5,3,14987596.724489447
5,4,3.838586279444835
5,6,34938092652.7641
5,7,2952895.6931140632
5,9,948.3864959488719
5,26,3028434.213963643
6,0,2157.1425783892773
6,1,121.74575265317957
6,2,164.48717419982418
6,3,4.959893192345988
6,4,0.4513204433737676
6,5,62783.696315625624
6,7,71269329.83209716
6,9,59166332.364868306
6,26,144452.97502615745
7,0,6870.899600438589
7,1,491.36992981056466
7,2,45587.33932890756
7,3,16377.351126953436
7,4,16.278343834141552
7,5,6.577552233892787
7,6,1278.7888785044304
7,9,69789259.29477316
7,10,19115.239809145936
8,0,30.36843095481006
8,1,2.0593559546179483
8,2,82.1026002526991
8,3,43256.188427166555
8,4,5654.567121913199
8,5,40705.26917753882
8,6,385925.9475779317
8,7,5517818.36272545
8,9,1666304928.5113738
8,10,817631304.272461
8,12,8200171912.274185
8,13,139467814142.91626
8,14,2067014205551.6816
8,15,13826238561.807524
8,17,192672604488362.12
8,18,1055035785.5620949
8,20,114592935212.5444
8,22,45019451591.533264
8,23,502579769037.9019
8,26,15999665079972.83
8,29,7018874794325.591
8,33,6751615359341.534
8,35,499497015464938.75
9,0,33924.280093567104
9,1,1784.0517757866864
9,2,845.7010761461165
9,3,395.2873347054819
9,4,176.1498497168982
9,5,145.82015731384593
9,6,4.707034300065847
9,7,6.3147216398902355
9,8,4182502648.8443193
9,10,131694329.06736492
9,12,54216.12363460703
9,20,604302.6347594876
9,26,5189.885848553447
10,0,45462.04453451521
10,1,9282.048087972102
10,2,1307.2955459978793
10,3,450.93707455827627
10,4,10.244396914693088
10,5,37.7266317941601
10,6,5.8956220857271555
10,7,0.2606867186536858
10,8,17962436426.922165
10,9,9.420314802487509
10,12,2226944192.800621
10,13,50326.72966000267
10,22,705.5268139218542
10,26,255.44154180782482
11,0,45.30970700096337
11,1,5.920855500341949
11,2,1.0683987163823965
11,3,4492.154346806343
11,4,2573.136130923598
11,5,1478.2127537809022
11,6,7439.38599027165
11,7,53278.59537643268
11,8,17030587.629739717
11,9,3221555.1821084535
11,10,1291954.0655253767
11,12,673254881.4309369
11,13,184761947.33385795
11,14,17692793925.457867
11,15,63429023638.828094
11,16,1775059481.8257608
11,17,312548160.704105
11,18,131404196586.3814
11,20,51410794.947352774
11,22,16879505.296520554
11,23,12256032.008093568
11,25,1602943.8996317396
11,26,15458945.163250642
11,28,1141163067.6442442
11,29,23291520.724726662
11,30,1.3799026109684713e+18
11,32,273363953512.2059
11,33,77155661962.56859
11,34,33126306381170.32
11,35,188997103276.89856
11,37,16075875711150.361
11,40,49411781.11371395
11,41,1.001065525783825e+16
11,42,1503000065.5783591
11,43,1028902387.3746554
11,46,34169376039.9905
11,49,2040857.9766934023
11,50,55431.95408292744
12,0,309062.58656113525
12,1,47779.290257456174
12,2,4500.852075305244
12,3,6220.7588161742315
12,4,30.555925183311274
12,5,70.6614888813731
12,6,15.410190402621573
12,7,3.081089270920803
12,8,43678020221045.16
12,9,0.08667762496892159
12,10,181.7866657985917
12,11,6678240.339256096
12,13,217082824131.48642
12,15,91549.68216831342
12,26,41973.64639876443
13,0,1089773.8387332885
13,1,66952.19426891979
13,2,24956.683312771787
13,3,4157.397029483059
13,4,50.83719908044191
13,5,621.4199031259011
13,6,279.82284938745727
13,7,4.886742206110215
13,8,2637907295644.2627
13,9,1.8323265125328039
13,10,0.08129635789361145
13,11,15473717231.204973
13,12,2.2657781846958605
13,14,391844134749.12476
13,15,21404704.780536164
13,17,1222.2538113355936
13,20,270.7799644139925
13,22,8384.702576281883
13,26,102.39655947955089
14,0,28.809035042437383
14,1,0.5993934094654447
14,2,0.7967871197495067
14,3,0.3699949306768998
14,4,1397.4664792226238
14,5,155.20802514900785
14,6,544.082837018262
14,7,35641.57666915831
14,8,31605403.698086374
14,9,52943.43150130826
14,10,254076.7906600487
14,11,34798861.97265189
14,12,821325.7428077001
14,13,14233632.24646223
14,15,430176102.0788277
14,16,2814857128860.1147
14,17,81244756166.58888
14,18,31837094827.96754
14,19,2926729531.4055457
14,20,5538718557.204828
14,21,2011666802.4806552
14,22,41663944214.888626
14,23,403275706.1999797
14,25,198219981.815637
14,26,85736433230252.94
14,28,151530725575.90286
14,29,364048024863855.0
14,30,723457.4639445887
14,32,4454685717918.821
14,33,891393195295.9196
14,34,46601825434.33688
14,35,55436797.455080524
14,37,295082047254979.3
14,40,156619838486.0426
14,41,42560.43581886279
14,42,163541.98053120173
14,43,90892.28847476451
14,46,876.165120104821
14,47,450217.6402561649
14,48,89805894.5852496
14,49,668547.8934823456
14,50,18079.639578499857
14,51,51141296.73174946
14,52,454969442.8286804
14,56,4257130.693912303
15,0,6915756.757338036
15,1,461396.8079635362
15,2,10840.697288668951
15,3,6947.751179426493
15,4,131.2625817721509
15,5,82.29956559579442
15,6,7.088055590479635
15,7,5.747147949618577
15,8,54180721.15903905
15,9,0.8338977784699686
15,10,1.1008069330274723
15,11,4452970.308212045
15,12,5.201305075383762
15,13,35889.33103309965
15,14,2730372744.6179333
15,17,7759648.761164955
15,18,92792.79949177035
15,20,178.36062977080294
15,22,33077.533739084414
15,23,0.46907951444237533
15,26,11.963141213927335
16,0,454.2411828245782
16,1,4.185552531171713
16,2,0.3350724078066841
16,3,0.6057782813468692
16,4,0.203755730198281
16,5,4.972086778705649
16,6,19.43329647552883
16,7,111.37642755189023
16,8,172746378.83540985
16,9,28748.627651320316
16,10,5349.611337014114
16,11,36452334.215817675
16,12,139092.49164411644
16,13,330037.09119380463
16,14,496922677.7619989
16,15,898013.5193929141
16,17,189713616111.37457
16,18,18893265.65184812
16,19,863065514131.3511
16,20,7999401105.099621
16,21,6245613650.969889
16,22,23633163644148.473
16,23,2487950799382.878
16,25,11952228.729959955
16,26,16248211303.506721
16,28,2803301.8951933947
16,29,45019403076.84058
16,30,836516598622.2692
16,32,142908060.87344974
16,33,8711678314215.663
16,34,314360741.79775774
16,35,9771876400.206303
16,36,958129730765.5455
16,37,16351093444.70424
16,40,2489968.7734735366
16,41,98319332.2489746
16,42,646430847543.946
16,43,416784727.9515786
16,46,83171987.91675372
16,47,72896923749.81775
16,48,157089273.61815494
16,49,2295789.5220166217
16,50,16326264.060994923
17,0,33101271.43285124
17,1,137822.45655726973
17,2,16747.2775614413
17,3,3230.4539724948568
17,4,269.37862465768745
17,5,91.32738952777005
17,6,38.325729179384666
17,7,12.093059710226628
17,8,558958700.5795375
17,9,10.31405264441945
17,10,10.71880926926202
17,11,224628533.93237424
17,12,0.9749597540105369
17,13,0.3281543906492593
17,14,19272022.046554834
17,15,126.68957420018606
17,16,4667995.021128824
17,18,5707248.495753669
17,20,23275986.636209268
17,22,3629.1986584279016
17,23,2647.2190310071983
17,26,116213.54627087749
17,33,138486.08245017737
17,39,112326736.00970502
18,0,30517006.72280693
18,1,4102069.008305527
18,2,21081.965832433656
18,3,8577.603450117409
18,4,817.272786375697
18,5,185.51308071359747
18,6,26.704895571996236
18,7,14.375646877413697
18,8,2399940460.6043763
18,9,3.709353834571646
18,10,1.2551531867929961
18,11,210507892.5659696
18,12,0.24502474304780325
18,13,0.17226601716849155
18,14,158620666943.4468
18,15,3.565076018340512
18,16,5347004418.976253
18,17,375.1050585951855
18,19,2.0444631572571604e+18
18,20,2070830936.556659
18,22,4418.442590162645
