i,tau,E
0,2.120536943217691e+20,0.0
1,31299623583356.855,0.12381
2,3.177055490204466e+17,0.24528
3,190432780689264.1,0.24709
4,2315823080921.6343,0.24865
5,4813391639324435.0,0.36595
6,67795768312603.33,0.36881
7,49472112298.37679,0.37179
8,7171467479620.155,0.48519
9,43727732438662.98,0.48548
10,6855464484032.48,0.49003
11,78172564919.45201,0.49421
12,8202218211095.111,0.60418
13,166574075401.0441,0.60624
14,376541544504.9075,0.60997
15,177245028.004192,0.61058
16,1024755015.6373929,0.61268
17,672696789498.2192,0.71513
18,465881888852.83716,0.71515
19,117823257051.35489,0.72222
20,40663124367.653946,0.72512
21,47630838632.70965,0.72916
22,1213027250943.857,0.73009
23,6086138976.442364,0.73018
24,57965988013329.97,0.73287
25,35563352757.71453,0.7331
26,20990637390.823723,0.83202
27,261479969914.02817,0.83212
28,5058354135.022836,0.83939
29,33758314363.90297,0.84306
30,58663519311.661606,0.84683
31,113002033343.7354,0.84745
32,1705141884.9794738,0.84852
33,8263208656.425932,0.85118
34,2135664.831569447,0.85189
35,247482648209.82886,0.9366
36,155661771086.35178,0.9366
37,749211015.6339887,0.94754
38,40969680247.26368,0.94793
39,1884781912.3630383,0.95568
40,1589989816.5051966,0.95971
41,20001769510.658844,0.96082
42,142870584891.98526,0.96145
43,35327587699.22455,0.9634
44,4174814269.704102,0.96489
45,15365417.39849111,0.96567
46,2619477.853052918,0.96924
47,195205989043.04172,0.97006
48,2774812908.665644,1.05151
49,1144026722.1172194,1.05151
50,769995920.0275042,1.0626
51,939679552.5984039,1.06373
52,163592717.7652918,1.07108
53,765074511.3532125,1.07425
54,3923412.641164013,1.07632
55,11985725693.80496,1.07648
56,307458069.7524003,1.07943
57,699839877.0558661,1.08186
58,18411760878.23596,1.0864
59,75935.67061073026,1.08665
60,9319087.275886843,1.09715
61,177926758.49134806,1.14965
62,162590719.1789306,1.14965
63,78585362.15493555,1.16529
64,47879848.73777814,1.16529
65,12652490.478297684,1.17616
66,49404237.92554158,1.17693
67,7460796.439700863,1.18213
68,18359710.950444277,1.18222
69,7951287.673456881,1.18551
70,5228865.931023807,1.18731
71,53727470.463055424,1.1906
72,3960774.0167369633,1.19097
73,62548742.42228398,1.19461
74,25128961.203052737,1.19669
75,171806.94471118873,1.19702
76,61179344.83518614,1.2009
77,79130685.69687355,1.20224
78,1116913.725507469,1.20327
79,3136236.3491402525,1.21483
80,9624438.50120946,1.26233
81,10924903.486075088,1.26233
82,62399.11925186759,1.27793
83,248062.37939692882,1.27796
84,58330.73889748077,1.28566
85,70007.25732494752,1.28862
86,1633.3601846471431,1.29233
87,96033.2950076782,1.29486
88,258532.05234296553,1.29507
89,16416.9787337177,1.29935
90,50465.92626765028,1.30388
91,1558.6190416997688,1.30439
92,91367.61771587138,1.30495
93,3135.120755822149,1.31095
94,29849.835852741904,1.31457
95,6102.761540260539,1.31547
96,937.7009316497861,1.31894
97,18417.456763353788,1.33149
98,714210.2381563126,1.35444
99,717101.0282129174,1.35444
100,22770.207063975133,1.37393
101,13038.92316756732,1.37393
102,2438.0693867579635,1.3894
103,1190.2662132713874,1.38949
104,6069.247041190551,1.39456
105,960.6338274027199,1.39457
106,565.4017049652638,1.39575
107,813.046737662143,1.39997
108,33.46279242821915,1.40396
109,201.33699058896235,1.40626
110,308.0160575380862,1.40678
111,98.56546398245443,1.41054
112,362.9716722060721,1.41633
113,884.0829072983387,1.41671
114,1827.2091957294463,1.41746
115,700.6132431677321,1.4192
116,62202.778215381004,1.42367
117,29.478000600229322,1.42774
118,3424.5183045040176,1.42921
119,373.12605253180027,1.42951
120,221.1722947363862,1.43362
121,1241.77232622047,1.44708
122,244816.02170731005,1.46478
123,235786.9172219399,1.46478
124,18943.532554254434,1.48447
125,378580.81128696195,1.48447
126,12325.418153541217,1.49955
127,8534.033119399961,1.49983
128,3670.46984210776,1.50466
129,58222.000846125295,1.5052
130,14655.866717447525,1.50521
131,1412.2365028413112,1.51019
132,154.68788935988783,1.51416
133,7341.842855849499,1.51736
134,23011.189579988888,1.51871
135,1910.9329001141448,1.52729
136,314.84616421201963,1.5279
137,4882.035090935132,1.52876
138,8837.63202073645,1.53017
139,4975.338795009049,1.53936
140,4337.317058125059,1.54016
141,2504.481328919378,1.54263
142,1678818.449910785,1.54712
143,2075.5101293764346,1.54726
144,776155.1237958107,1.5511
145,1220365.458907761,1.5511
146,27530.349454097617,1.57409
147,18015.25295719664,1.57409
148,3093.260303446914,1.59393
149,618.4765652883237,1.59393
150,33803.26659716813,1.59851
151,17324.571710500484,1.59851
152,751.0622288787993,1.60895
153,2724.115932988982,1.61035
154,3129.0554106777217,1.6147
155,1699.4084971863415,1.61472
156,241.1821986275412,1.61926
157,5145.084729738114,1.62684
158,2164.5550690771806,1.62806
159,1117.4985679900835,1.62924
160,2009.0436181285336,1.62996
161,2800.3233016643367,1.63536
162,1217.0937463451444,1.63545
163,2828.7564859324134,1.63795
164,8381.3822486367,1.63885
165,7523.672991207888,1.64035
166,257.64201503786234,1.64339
167,837.6410259127173,1.64912
168,10424.03377330499,1.64997
169,2988.5488588666944,1.65143
170,1024.7527482048665,1.6522
171,29971.0075272706,1.65905
172,532927.638554128,1.65905
173,2651.690066546893,1.66128
174,35631.143817172146,1.67482
175,120261.10824455466,1.68239
176,194162.00825239712,1.68239
177,27001.210343912397,1.70229
