i,v1,v2,v3
0,0,0,0
1,0,1,0
2,0,2,0
3,0,0,1
4,1,0,0
5,0,3,0
6,0,1,1
7,1,1,0
8,1,0,1
9,2,0,0
10,0,2,1
11,0,0,2
12,1,1,1
13,2,1,0
14,1,3,0
15,0,3,1
16,0,1,2
17,3,0,0
18,2,0,1
19,1,2,1
20,2,2,0
21,1,4,0
22,0,2,2
23,0,4,1
24,0,0,3
25,1,0,2
26,3,1,0
27,2,1,1
28,1,3,1
29,2,3,0
30,0,3,2
31,1,5,0
32,0,5,1
33,0,1,3
34,1,1,2
35,3,0,1
36,4,0,0
37,3,2,0
38,2,2,1
39,1,4,1
40,2,4,0
41,2,0,2
42,1,0,3
43,0,4,2
44,1,6,0
45,0,6,1
46,0,2,3
47,0,0,4
48,3,1,1
49,4,1,0
50,2,3,1
51,3,3,0
52,1,5,1
53,1,3,2
54,2,5,0
55,1,1,3
56,0,5,2
57,0,7,1
58,0,1,4
59,0,3,3
60,1,7,0
61,5,0,0
62,4,0,1
63,3,2,1
64,4,2,0
65,2,4,1
66,3,4,0
67,3,0,2
68,2,0,3
69,1,6,1
70,1,4,2
71,1,2,3
72,2,6,0
73,0,6,2
74,1,0,4
75,0,8,1
76,0,0,5
77,0,2,4
78,0,4,3
79,1,8,0
80,5,1,0
81,4,1,1
82,4,3,0
83,3,3,1
84,1,9,0
85,2,5,1
86,3,5,0
87,3,1,2
88,2,1,3
89,1,5,2
90,1,3,3
91,2,3,2
92,0,9,1
93,1,1,4
94,0,1,5
95,0,3,4
96,0,5,3
97,0,7,2
98,6,0,0
99,5,0,1
100,5,2,0
101,4,2,1
102,4,4,0
103,3,4,1
104,4,0,2
105,3,0,3
106,1,10,0
107,2,6,1
108,3,6,0
109,3,2,2
110,2,2,3
111,1,6,2
112,1,4,3
113,2,0,4
114,0,10,1
115,1,0,5
116,1,2,4
117,0,2,5
118,0,0,6
119,0,4,4
120,0,6,3
121,0,8,2
122,5,1,1
123,6,1,0
124,4,3,1
125,5,3,0
126,4,5,0
127,3,5,1
128,1,11,0
129,4,1,2
130,3,1,3
131,1,9,1
132,3,7,0
133,2,3,3
134,3,3,2
135,2,1,4
136,1,5,3
137,0,11,1
138,1,1,5
139,0,1,6
140,0,3,5
141,0,5,4
142,0,9,2
143,0,7,3
144,7,0,0
145,6,0,1
146,5,2,1
147,6,2,0
148,4,4,1
149,5,4,0
150,5,0,2
151,4,0,3
152,3,6,1
153,4,6,0
154,4,2,2
155,3,2,3
156,1,10,1
157,2,4,3
158,3,4,2
159,3,0,4
160,2,0,5
161,1,4,4
162,2,6,2
163,2,2,4
164,0,12,1
165,1,2,5
166,1,0,6
167,0,8,3
168,0,2,6
169,0,4,5
170,0,0,7
171,6,1,1
172,7,1,0
173,0,6,4
174,0,10,2
175,5,3,1
176,6,3,0
177,4,5,1
178,5,5,0
179,4,1,3
180,5,1,2
181,3,7,1
182,4,7,0
183,4,3,2
184,3,3,3
185,1,11,1
186,2,7,2
187,3,9,0
188,2,5,3
189,3,1,4
190,2,1,5
191,3,5,2
192,7,0,1
193,8,0,0
194,1,5,4
195,2,3,4
196,0,13,1
197,1,3,5
198,1,1,6
199,0,3,6
200,0,1,7
201,0,5,5
202,0,7,4
203,7,2,0
204,6,2,1
205,0,9,3
206,1,9,2
207,6,4,0
208,5,4,1
209,6,0,2
210,5,0,3
211,5,6,0
212,4,6,1
213,5,2,2
214,4,2,3
215,1,14,0
216,3,8,1
217,4,8,0
218,4,4,2
219,3,4,3
220,4,0,4
221,3,0,5
222,1,12,1
223,0,16,0
224,3,10,0
225,2,6,3
226,3,2,4
227,7,1,1
228,8,1,0
229,2,2,5
230,3,6,2
231,2,0,6
232,2,4,4
233,0,14,1
234,1,4,5
235,1,0,7
236,1,2,6
237,0,4,6
238,0,8,4
239,0,2,7
240,0,0,8
241,0,6,5
242,7,3,0
243,6,3,1
244,0,10,3
245,1,6,4
246,6,5,0
247,5,5,1
248,1,10,2
249,6,1,2
250,5,1,3
251,5,7,0
252,4,7,1
253,4,3,3
254,5,3,2
255,8,0,1
256,9,0,0
257,1,15,0
258,2,11,1
259,4,9,0
260,4,5,2
261,3,5,3
262,4,1,4
263,3,1,5
264,1,13,1
265,0,17,0
266,2,5,4
267,1,9,3
268,7,2,1
269,8,2,0
270,3,3,4
271,2,3,5
272,3,7,2
273,2,1,6
274,0,15,1
275,1,5,5
276,1,1,7
277,1,3,6
278,2,7,3
279,0,5,6
280,0,3,7
281,0,9,4
282,6,4,1
283,7,4,0
284,0,1,8
285,0,7,5
286,6,0,3
287,7,0,2
288,0,11,3
289,1,7,4
290,6,6,0
291,5,6,1
292,6,2,2
293,5,2,3
294,1,11,2
295,5,8,0
296,4,8,1
297,8,1,1
298,9,1,0
299,5,4,2
300,4,4,3
301,5,0,4
302,4,0,5
303,0,18,0
304,2,12,1
305,4,6,2
306,3,6,3
307,3,10,1
308,4,2,4
309,3,2,5
310,2,6,4
311,1,10,3
312,3,0,6
313,8,3,0
314,7,3,1
315,0,14,2
316,2,4,5
317,2,0,7
318,0,16,1
319,3,8,2
320,2,2,6
321,1,6,5
322,1,4,6
323,1,2,7
324,1,0,8
325,2,8,3
326,0,8,5
327,7,5,0
328,6,5,1
329,0,4,7
330,0,6,6
331,0,2,8
332,0,10,4
333,6,1,3
334,7,1,2
335,0,0,9
336,0,12,3
337,1,8,4
338,6,7,0
339,5,7,1
340,6,3,2
341,5,3,3
342,1,12,2
343,5,9,0
344,4,9,1
345,9,2,0
346,8,2,1
347,5,5,2
348,4,5,3
349,5,1,4
350,4,1,5
351,0,19,0
352,2,13,1
353,3,7,3
354,4,3,4
355,3,3,5
356,4,7,2
357,3,1,6
358,7,4,1
359,8,4,0
360,7,0,3
361,0,15,2
362,2,1,7
363,2,5,5
364,0,17,1
365,2,3,6
366,1,5,6
367,1,3,7
368,1,1,8
369,0,13,3
370,10,0,0
371,1,11,3
372,7,6,0
373,6,6,1
374,9,0,1
375,0,9,5
376,7,2,2
377,6,2,3
378,0,5,7
379,0,3,8
380,0,7,6
381,0,1,9
382,0,11,4
383,2,9,4
384,5,8,1
385,6,8,0
386,5,4,3
387,6,4,2
388,6,0,4
389,5,0,5
390,4,10,1
391,8,0,2
392,5,10,0
393,8,3,1
394,9,3,0
395,5,6,2
396,4,6,3
397,5,2,4
398,4,2,5
399,1,16,1
400,0,20,0
401,4,0,6
402,4,4,4
403,3,0,7
404,3,4,5
405,4,8,2
406,2,6,5
407,3,6,4
408,3,2,6
409,0,18,1
410,7,1,3
411,7,5,1
412,8,5,0
413,2,2,7
414,0,16,2
415,2,4,6
416,1,2,8
417,1,6,6
418,1,4,7
419,9,1,1
420,7,3,2
421,6,3,3
422,0,4,8
423,0,6,7
424,0,12,4
425,0,10,5
426,0,2,9
427,0,8,6
428,6,7,1
429,7,7,0
430,9,2,1
431,0,14,3
432,2,13,2
433,10,1,0
434,2,10,4
435,6,1,4
436,5,1,5
437,6,5,2
438,5,5,3
439,5,9,1
440,6,9,0
441,2,14,2
442,5,3,4
443,4,3,5
444,8,4,1
445,9,4,0
446,5,7,2
447,4,7,3
448,11,0,0
449,10,0,1
450,4,1,6
451,5,11,0
452,4,11,1
453,3,1,7
454,8,1,2
455,0,21,0
456,3,5,5
457,3,3,6
458,2,5,6
459,0,19,1
460,7,2,3
461,8,2,2
462,3,15,0
463,2,3,7
464,3,13,1
465,7,6,1
466,8,6,0
467,2,7,5
468,1,3,8
469,1,5,7
470,2,17,0
471,1,7,6
472,0,5,8
473,1,9,5
474,0,15,3
475,7,4,2
476,6,4,3
477,0,3,9
478,0,7,7
479,0,9,6
480,0,11,5
481,10,1,1
482,6,8,1
483,7,8,0
484,10,2,0
485,11,1,0
486,5,2,5
487,6,2,4
488,1,19,0
489,0,13,4
490,11,0,1
491,12,0,0
492,1,17,1
493,6,6,2
494,9,0,2
495,5,6,3
496,8,0,3
497,4,4,5
498,6,10,0
499,5,10,1
500,1,13,3
501,2,11,4
502,4,2,6
503,3,6,5
504,3,2,7
505,4,6,4
506,3,4,6
507,0,22,0
508,3,12,1
509,4,12,0
510,2,4,7
511,2,15,2
512,2,6,6
513,2,8,5
514,0,20,1
515,11,2,0
516,10,2,1
