i,f,tau_if
0,1,1.7650807270808494e+21
0,2,2.434563440131708e+20
0,3,1.4110191299934887e+24
0,4,3.0643935305769346e+25
0,5,9.503470565538744e+26
0,6,2.348819070149421e+28
0,7,2.2369184750233936e+23
0,8,2.0776071496873884e+25
0,9,1.0689224199439601e+24
0,10,4.0138466490533275e+25
0,11,1.2636695476839908e+24
0,12,3.6300672548401528e+22
0,13,1.1440234283119165e+25
0,14,3.17275070879675e+27
0,15,2.6092770141720824e+23
0,16,3.079643787377449e+23
1,0,7.418538228967309e+16
1,2,4.1233641584494666e+19
1,3,4.872112755032213e+19
1,4,3.428491433924962e+17
1,5,1.3205823500702565e+21
1,6,2.428909087080968e+25
1,7,8.739657997441373e+18
1,8,4.707870672665583e+22
1,9,1.251366044390156e+20
1,10,8.252000390482829e+23
1,11,8.740254163368039e+23
1,12,6.582163718766003e+23
1,13,6.751246462977359e+19
1,14,1.8128336998159522e+20
1,15,7.809619771985699e+19
1,16,6.906419781905754e+22
1,17,6720103176522736.0
1,18,2212543629938334.5
1,19,1458134567026943.0
1,20,33333927116090.453
1,21,2.8909772905381754e+23
1,22,4870012446585065.0
1,23,5121538065268934.0
1,24,2.8408628007028732e+16
1,25,7487814254409636.0
1,26,1.9951716845234534e+17
1,27,2.10637177461822e+19
1,29,1.909307875894988e+19
1,30,7.863489816780687e+21
1,31,8.203912082385829e+20
1,32,1.4308608058608058e+16
1,34,4.395604395604396e+17
2,0,1.0024688915608885e+19
2,1,1.7738474566868035e+18
2,3,9.941004690176452e+17
2,4,1.217025038079016e+18
2,5,4.486163394394197e+18
2,6,1.7150448775323353e+19
2,7,3.243402303619158e+18
2,8,1.5207098543619574e+21
2,9,3.426254248430681e+19
2,10,3.1884011563699274e+20
2,11,2.8531219042678373e+21
2,12,7.837583471481891e+21
2,13,5.509964974155224e+21
2,14,5.289299350228131e+19
2,15,3.542047403829102e+21
2,16,1.1033165003226765e+21
2,17,7.079251342158463e+21
2,18,3.1155882352411536e+21
2,19,3.769981677771299e+21
2,21,4.6867210774237644e+21
2,22,1.8247239688686875e+22
2,23,1.2749165063577462e+20
2,24,1.0065439473154694e+23
2,25,2.3036615512232444e+20
3,0,205737345598103.16
3,1,2587575235770685.5
3,2,4.794147021294859e+17
3,4,5.477243767786518e+17
3,5,4.4403023576625326e+18
3,6,1.550294598387804e+20
3,7,4.909023841324882e+19
3,8,2.103342365032495e+22
3,9,1.1306465262951414e+23
3,10,1.8868545416989988e+23
3,11,4.1744228577968783e+20
3,12,3.041586444706381e+22
3,13,4.359005309878857e+25
3,14,3.0499662495444747e+26
3,15,1.2235145449143606e+23
3,16,5.00494550304497e+22
3,17,2.0025213437308295e+23
3,18,1.6247518459069943e+22
3,19,4.647137659943735e+23
3,20,4.858286267586127e+20
3,21,5.715626249169835e+23
3,22,1.1339763021016649e+23
3,23,5.2341918595503636e+23
3,24,3.496062879235831e+23
3,25,7.434492791699855e+25
4,0,4.5173955837088947e+18
4,1,376516858700493.0
4,2,2369652197471.7524
4,3,139828521578700.03
4,5,9.669362481093504e+17
4,6,1.0061698741305474e+21
4,7,6.356886105425576e+18
4,8,9.658589981166525e+19
4,9,8.097463847956142e+19
4,10,9.204987274665409e+20
4,11,1.8738476009164162e+21
4,12,9.939795746753932e+20
4,13,1.3582354335536542e+19
4,14,2.825266324163398e+22
4,15,5.372168742559057e+21
4,16,7.495390009203309e+23
4,17,6.717567672026658e+23
4,18,5.1222371308230995e+23
4,19,6.480073075414779e+25
4,21,8.550695178203878e+25
4,22,3.9477383423950464e+22
4,23,2.745721015156068e+20
4,24,9.896352013044951e+21
4,25,3.339407396610336e+22
5,0,8.367742224164158e+16
5,1,8.374704369875485e+16
5,2,1.519624777127376e+17
5,3,4.049793329109779e+17
5,4,1.5945773439717546e+20
5,6,6653223105275265.0
5,7,4.137769464122901e+16
5,8,8.656960667461857e+22
5,9,2.699972217036967e+22
5,10,5.597749629478478e+18
5,11,1.1971807441929114e+19
5,12,1.0866266062814613e+20
5,13,3.7659141124256976e+20
5,14,1.8448024290164133e+21
5,15,5.736273030168024e+23
5,16,2.45750180953937e+21
5,17,6.418671007522933e+23
5,18,2.103954738437546e+22
5,19,2.0540159982928597e+19
5,20,2.7835901635110046e+21
5,21,3.835005669296707e+25
5,22,7.300355868794418e+22
5,23,8.87486211770118e+19
5,24,8.030026210947735e+21
5,25,2.0805999729811846e+23
6,0,75817838354231.45
6,1,884178918873698.8
6,2,2.9868681899744304e+16
6,3,5914673865666775.0
6,4,7073294839514922.0
6,5,1.0725562514874511e+18
6,7,3.407678950610334e+17
6,8,5.000365567842535e+18
6,9,8.242072459122367e+18
6,10,1.8076147451038243e+17
6,11,9.994098215790606e+17
6,12,1.7739792670175906e+22
6,13,5.350291442285408e+22
6,14,8.058151159025731e+20
6,15,3.425781541717885e+25
6,16,2.6787215048361782e+23
6,17,1.2284775075823716e+23
6,18,1.0382471671272816e+24
6,19,6.426420052708667e+24
6,20,2.294428261775644e+23
6,21,3.7446593252448375e+26
6,22,6.497876898939976e+24
6,23,3.592931841519866e+24
6,24,1.803463522391799e+26
6,25,2.67789489886356e+20
6,26,4.617445788107413e+16
6,27,1.2833587204060605e+17
6,28,3.5188711251255856e+16
6,29,6.364239224137186e+16
6,30,1.679528335855391e+18
6,31,9.283409057701077e+24
6,32,1.2097535299777157e+18
6,33,5.954721632458969e+21
6,34,3.824028486563217e+19
7,0,5.6992147027648794e+17
7,1,4.19593260704605e+16
7,2,891514482327.7198
7,3,192269446973.58936
7,4,77017435863.5058
7,5,3853545657488.84
7,6,1545491510696.3245
7,8,1.829996702633927e+19
7,9,1.7307570750137636e+18
7,10,2.193083216986608e+17
7,11,3.2198696321716096e+16
7,12,3.2076744222040175e+19
7,13,6.670979070780971e+20
7,14,1.3572464320651523e+18
7,15,1.2927036545891358e+21
7,16,7.027768323288449e+24
7,17,2.713290362038946e+20
7,18,2.382716572424823e+20
7,19,1.192780814833551e+28
7,20,3.8992851083738977e+18
7,21,9.73096119518306e+17
7,22,4.108425302571309e+20
7,23,1.855121991899577e+20
7,24,2.80651813079551e+18
7,25,1.3776558244934433e+18
7,26,1.5687070065150745e+19
7,27,8.98474625692796e+19
7,28,2.495774331902676e+17
7,29,3.6290075702733976e+19
7,30,1.3849346386109655e+20
7,31,6.545391191028007e+18
7,32,4.550004934540481e+19
7,33,3.514386701964899e+18
7,34,4.234223388211809e+20
8,0,7544798774937.696
8,1,204367547501385.16
8,2,5905427665451180.0
8,3,6.748014533980539e+17
8,4,899073016572919.1
8,5,7110095285076155.0
8,6,2.6582105547371044e+18
8,7,1.0048414978908214e+16
8,9,2.0918412083929284e+16
8,10,2503817393556626.0
8,11,3.958151517928144e+16
8,12,7.310752054032287e+17
8,13,1.3684564710545683e+17
8,14,2.415510947831342e+18
8,15,9.754161561989218e+19
8,16,6.646037861040947e+17
8,17,1.402615859326947e+24
8,18,2.3561681193206064e+21
8,19,9.74413286545767e+19
8,20,1.0355011512277538e+22
8,21,1.2673583169302064e+23
8,22,2.101257112236718e+22
8,23,1.8048811880423385e+21
8,24,2.530473683655968e+24
8,25,2.2200729695631728e+21
8,26,6.938267385910002e+21
8,27,7.398230416251277e+21
8,28,3.17564097286511e+23
8,29,6.3337601195872335e+22
8,30,1.638574617490957e+26
8,31,3.649749399778643e+21
8,32,6.2557978185597505e+29
8,33,7.117683547547277e+22
8,34,2.521817200536238e+21
9,0,109331414262558.81
9,1,551206183126849.94
9,2,783322042271315.4
9,3,1.2660198220194464e+16
9,4,2080648475809504.5
9,5,1949794831345257.2
9,6,1446308324794066.5
9,7,1406813019448685.5
9,8,639393635754085.8
9,10,151889101643829.28
9,11,1.56949396941313e+20
9,12,6.978606972463091e+17
9,13,6.377228466301603e+17
9,14,1.803276513772184e+17
9,15,3.52500907784097e+18
9,16,6.364182406006341e+18
9,17,1.0558824662945583e+23
9,18,1.4441283854699683e+21
9,19,1.4104143870645972e+20
9,20,1.6895072016856253e+23
9,21,8.607062382317278e+21
9,22,2.046976620239836e+22
9,23,3.239536497401685e+23
9,24,6.259998250389036e+23
9,25,8.064122789049978e+25
9,26,1.8772301362785628e+24
9,27,5.143681218090955e+21
9,28,1.8417047725948788e+23
9,29,1.239693113877968e+22
9,30,4.2971122319797566e+21
9,31,2.499873505128687e+20
9,32,5.41276277867746e+24
9,33,3.4022708554677975e+22
9,34,1.3740646381741096e+21
10,0,1.3221211551999374e+16
10,1,3.005512635600827e+16
10,2,3740533749428907.0
10,3,3.7388346033512064e+17
10,4,1.2119869023149466e+19
10,5,16256445602114.027
10,6,509552128710611.8
10,7,36559411040900.6
10,8,36998393763971.26
10,9,40540050074228.086
10,11,370157293612186.5
10,12,7.470251576543916e+17
10,13,3.983308723511611e+19
10,14,3927165166482516.5
10,15,3.472128680905551e+18
10,16,1.322609695458356e+17
10,17,6.436571786132081e+21
10,18,2.1851352830975243e+20
10,19,1.5043919208544154e+21
10,20,4.8105848774159244e+20
10,21,3.7352862638768266e+20
10,22,1.3068940844893028e+21
10,23,1.9412216475563767e+20
10,24,5.7671405356151694e+22
10,25,1.465186604913882e+20
10,26,2.0725646452732838e+20
10,27,4.0078696157665434e+20
10,28,1.715375554468465e+21
10,29,1.4846448215388344e+19
10,30,5.483441376546669e+20
10,31,6.179317964238804e+19
10,32,2.6765685226808924e+21
10,33,5.1040768899802776e+19
10,34,5.903820769936991e+19
11,0,1.10083252415247e+19
11,1,2.7822644060392885e+20
11,2,5.846486200369465e+18
11,3,8.336133518128591e+18
11,4,7.5347182996176e+19
11,5,3.689307495528101e+17
11,6,2.78290996272592e+16
11,7,1.4870994815476314e+17
11,8,97269989937.40987
11,9,421400784058.8967
11,10,7223104124600.224
11,12,5.2591851820020064e+17
11,13,3.4511596634822236e+18
11,14,5.874696468291441e+16
11,15,9.307436221730661e+17
11,16,3.885827772635495e+29
11,17,4.2114005763243924e+23
11,18,2.989802333698107e+20
11,19,8.989484679817488e+24
11,20,6.042849167721178e+19
11,21,1.1280736875839825e+24
11,22,9.29143648008988e+19
11,23,6.9102545264442745e+19
11,24,2.019794146210675e+22
11,25,3.1370735898135227e+22
11,26,6.157010723667828e+22
11,27,1.3834225745669356e+24
11,28,1.1436243151200538e+20
11,29,7.631502593958914e+22
11,30,2.539469604095361e+22
11,31,9.038046511561481e+23
11,32,1.211278337584832e+22
11,33,2.681707602166456e+22
11,34,1.86495828086337e+23
12,0,120792260785395.73
12,1,9884313457061.51
12,2,1835902411448583.8
12,3,3162008687790244.0
12,4,659231098228516.4
12,5,1.1562361889882536e+16
12,6,1.0231927343034748e+16
12,7,4.694950233997187e+17
12,8,4732855581239856.0
12,9,6756769608715967.0
12,10,2.574525903740021e+16
12,11,3.179776364129837e+16
12,13,1.105340061831824e+17
12,14,131794498091669.69
12,15,986499367537677.4
12,16,1623975983701176.5
12,17,1.045468407399686e+16
12,18,1.5287948559120888e+16
12,19,5.2554798603833606e+17
12,20,3.741423868375103e+16
12,21,2.811110237961472e+16
12,22,6.134999149377403e+18
12,23,1.6279538608054825e+18
12,24,4.723894989956382e+17
12,25,1.3838006994322174e+19
12,26,5.190069375635784e+19
12,27,1.9721203668648437e+20
12,28,1.2303112632704002e+20
12,29,1.1801191634833522e+21
12,30,1.6080269738817348e+21
12,31,3.807425042987649e+21
12,32,1.3783652484324483e+23
12,33,4.6800355060783735e+19
12,34,1.58821942858373e+18
12,35,3.1197480105109344e+17
12,36,5.852785424963043e+16
12,37,6.789342209393615e+20
12,38,3.71658475640889e+19
12,44,1.9824763157701976e+19
13,0,177525348597.92374
13,1,5375412062020.058
13,2,110747259370115.38
13,3,16621563427604.014
13,4,21748349067610.914
13,5,164631068694605.56
13,6,1189087963074716.2
13,7,128315438086954.23
13,8,912628054879396.8
13,9,69553390456794.805
13,10,75641598534455.06
13,11,1104048285905330.8
13,12,504450346354215.44
13,14,46502817163655.79
13,15,3.590844242274377e+17
13,16,864833336241497.1
13,17,4.9774261999118824e+16
13,18,3.8446055901490824e+16
13,19,2.1899826873565836e+16
13,20,3.401333989809026e+16
13,21,1.7815236170897686e+17
13,22,2.745411752947563e+16
13,23,6.7440947153842376e+16
13,24,2.3783336822533403e+19
13,25,1.3040452351490866e+20
13,26,5.068778989634864e+18
13,27,6.405781307305124e+18
13,28,3.873143187651068e+19
13,29,1.4143601122447102e+21
13,30,7.83500901190925e+19
13,31,2.063919904699266e+23
13,32,1.8422728220367956e+20
13,33,2.7322668710287933e+20
13,34,2.1403444286894463e+20
14,0,2658277690953384.5
14,1,145522915652306.47
14,2,2.214742896506526e+17
14,3,2054226316509323.5
14,4,1761998642800831.2
14,5,9362210411568.947
14,6,4.449146842882348e+16
14,7,40873387979122.64
14,8,3459747975722.0186
14,9,528577906782.5004
14,10,9096647966211.426
14,11,28593130537335.3
14,12,1.7315415332015786e+17
14,13,42851281133675.3
14,15,50891907469522.02
14,16,6801916440714.75
14,17,7.967630071256963e+18
14,18,1.0601975882701088e+18
14,19,2.937553755918452e+21
14,20,2.490493780507997e+24
14,21,8.264331192123127e+17
14,22,5.0529961326773485e+17
14,23,2.3868196863287968e+17
14,24,9.438387656791464e+19
14,25,3.7853565378288655e+18
14,26,1.686359965742409e+20
14,27,3.166064567652566e+20
14,28,3.5105606732610744e+18
14,29,9.956172321547665e+18
14,30,3.3567736057214464e+23
14,31,8.581409455540807e+19
