i,tau,E
0,391262.304198201,0.0
1,0.896796148272227,0.15245
2,0.4419600322851812,0.30342
3,0.2909644929439664,0.45293
4,0.21582760660245495,0.60097
5,0.1710023869975806,0.74754
6,0.14128430292182334,0.89266
7,0.12017197729254898,1.03633
8,0.10442431957661501,1.17855
9,0.09226598381145151,1.31933
10,0.08251127865922589,1.45866
11,0.07470074916721635,1.59656
12,0.06814113441194058,1.73303
13,0.06260346371086331,1.86807
14,0.05786441935957135,2.00169
15,0.05376252018307474,2.13388
16,0.050379685816304295,2.26467
17,0.04723670865921443,2.39404
18,0.044443985955257614,2.522
19,0.04216871811928773,2.64857
20,0.039942876763313796,2.77373
21,0.03792820407867717,2.8975
22,0.036097569780388854,3.01987
23,0.03442844330218123,3.14086
24,0.03290224500977831,3.26047
25,0.03177513537274606,3.37869
26,0.03021703827726769,3.49554
27,0.029324715011491198,3.61102
28,0.028239340569639334,3.72513
29,0.027236751733988804,3.83787
30,0.026310778412547236,3.94926
31,0.02545592687179327,4.05928
32,0.0246677750493681,4.16796
33,0.023942809549916653,4.27528
34,0.02327793556461529,4.38126
35,0.022670804885663077,4.48589
36,0.02211915200320376,4.58918
37,0.021620659985939445,4.69113
38,0.021172860669947235,4.79175
39,0.02077282293190646,4.89104
40,0.020417231908757452,4.989
41,0.02010204181562502,5.08563
42,0.019823492481353167,5.18094
43,0.01920592634254268,5.27492
44,0.019001720850687034,5.36759
45,0.01882875089947419,5.45893
46,0.018294523247244395,5.54896
47,0.018179047713959628,5.63767
48,0.01809204697214438,5.72507
49,0.018030873101100832,5.81115
50,0.017603881860002016,5.89592
51,0.01760011225350546,5.97938
52,0.01722863196296877,6.06151
53,0.017286836662260666,6.14233
54,0.016979400066022946,6.22184
55,0.017108936165921303,6.30002
56,0.016874173798511718,6.37689
57,0.016684110003433925,6.45242
58,0.016923098188695414,6.52663
59,0.01681224382281931,6.59951
60,0.017114011796674575,6.67105
61,0.01708667618379968,6.74125
62,0.017106381133489796,6.8101
63,0.01717922601095659,6.87759
64,0.0173131133324128,6.94372
65,0.017520132600744195,7.00848
66,0.01781863220683638,7.07185
67,0.018234757504368943,7.13384
68,0.0187993709026692,7.19441
69,0.01931309977276608,7.25358
70,0.019265130033308358,7.3113
71,0.019937514075027463,7.36758
72,0.020633182926567083,7.42239
73,0.02081259219571027,7.47572
74,0.021058657777727467,7.52754
75,0.02140943515792616,7.57783
76,0.022402185826888712,7.62656
77,0.023159805514968608,7.67371
78,0.02430142527387152,7.71924
79,0.026001574464421078,7.76312
80,0.028470104264700414,7.80532
81,0.03106811154544898,7.84577
82,0.034851324431179005,7.88445
83,0.04131577859079645,7.9213
84,0.047834315955033,7.95624
85,0.05232170753778752,7.98923
86,0.05830515910471015,8.02017
87,0.06456408819783517,8.04898
88,0.0691994868468906,8.07555
89,0.06791891230809761,8.09976
90,0.07194857505145133,8.12145
91,0.09900532261419129,8.14043
92,0.17811091272447627,8.15646
93,0.414162276088232,8.16922
94,0.7340822279649466,8.17822
95,2.983534041945989,8.18265
