i,f,tau_if
0,1,391262.304198201
1,0,0.8968188066166984
1,2,35495.2522010269
2,0,10.698457824349132
2,1,0.46103194502768574
2,3,7720.239905550037
3,0,207.51983529967902
3,1,3.721906098257858
3,2,0.3161213620489843
3,4,197543.2999453706
4,0,12162.47056213618
4,1,53.34541516199531
4,2,1.941112378851053
4,3,0.24394646170843334
4,5,14092.532307773386
5,0,2302190.6004949994
5,1,2443.5160206778405
5,2,21.872517066723855
5,3,1.2142243813146134
5,4,0.20087697376753233
5,6,20666878.156904884
6,1,1468983.4633432608
6,2,799.6684580553399
6,3,11.199174620557658
6,4,0.843315493548836
6,5,0.17236770461641623
6,7,27052.613954284476
7,2,82050.8569327002
7,3,339.9515407925238
7,4,6.557361263189548
7,5,0.6270614468274642
7,6,0.1521852508178743
7,8,3644.8399407646334
8,3,32350.92572100429
8,4,167.39210246177393
8,5,4.1986074330336995
8,6,0.4891873411510528
8,7,0.13721397959438433
8,9,24750.936451109355
9,4,12922.425133163275
9,5,90.83467130877757
9,6,2.8960409042155835
9,7,0.3964252905284392
9,8,0.12564293255737147
9,10,4186.903366270306
10,5,5995.420365045169
10,6,53.490120454793775
10,7,2.0559523204097907
10,8,0.32854410788349653
10,9,0.11667913300533543
10,11,17641.400221996963
11,6,3141.388016825268
11,7,33.33110496944929
11,8,1.5542426665870706
11,9,0.2800485269375136
11,10,0.10938266592919466
11,12,1457047342.2288787
12,7,1724.9081248687125
12,8,21.79360032837081
12,9,1.196314526022637
12,10,0.24218588594632273
12,11,0.10347779318111722
12,13,11226.242464384746
13,8,983.540367201212
13,9,14.840122442444878
13,10,0.9442063720370002
13,11,0.21252759046534792
13,12,0.09861163569447676
13,14,419762.414473408
14,9,578.5272629828526
14,10,10.462346818687358
14,11,0.7610429000437299
14,12,0.1888133348859115
14,13,0.09456939685976223
15,10,345.2101271881498
15,11,7.599454189057619
15,12,0.6245153977051711
15,13,0.16952241267649504
15,14,0.09119402578306246
15,16,27639.579878385848
16,11,210.40330749403424
16,12,5.659861430718457
16,13,0.5313521688699036
16,14,0.15455898546288624
16,15,0.088371839741813
16,17,19028771.502511796
17,12,135.12541979088104
17,13,4.302268936165726
17,14,0.44957718265506236
17,15,0.14125919454281197
17,16,0.0860093505825112
18,13,90.59950846616096
18,14,3.3299402300591368
18,15,0.38494323867032476
18,16,0.1300132039778826
18,17,0.0840368257691456
18,19,31596.57493127745
19,14,62.2471103608772
19,15,2.6242163459366665
19,16,0.3406677094380212
19,17,0.12123652306023174
19,18,0.08241727308212685
19,20,28023764.1520009
20,15,43.82586429451639
20,16,2.096562829935912
20,17,0.29810404803644774
20,18,0.11301116935544511
20,19,0.08108492922564244
21,16,31.419365174256612
21,17,1.698101407481079
21,18,0.2630533638664762
21,19,0.10587682920245746
21,20,0.08001001038739655
22,17,22.9488541915682
22,18,1.391822270166694
22,19,0.233940940722771
22,20,0.09965258331644276
22,21,0.0791690898626026
23,18,17.13191883948579
23,19,1.152925063081172
23,20,0.20956497100004343
23,21,0.09419587339903185
23,22,0.07854191365200629
24,19,13.028781681881396
24,20,0.9646188180808131
24,21,0.18899904630262238
24,22,0.08939270413104536
24,23,0.07811277342257039
25,20,10.026151687234488
25,21,0.8184307320982713
25,22,0.17622514382614446
25,23,0.0859170664222784
25,24,0.07790668798251459
26,21,7.839924957721979
26,22,0.6942300419669658
26,23,0.1565843491843758
26,24,0.08139317857168064
26,25,0.07779958695004698
27,22,6.160767200999605
27,23,0.5998306212678921
27,24,0.14791171841802306
27,25,0.07886113915995548
27,26,0.07794130773400466
28,23,4.9007806519182795
28,24,0.5196447533602065
28,25,0.13656603079364754
28,26,0.07591074853092564
28,27,0.07820246400885626
29,24,3.9442015718248262
29,25,0.4533055664709393
29,26,0.12671211527998716
29,27,0.07328908588022133
29,28,0.07862227464237105
30,25,3.2082490164587556
30,26,0.3980430456780703
30,27,0.11813072392361106
30,28,0.07096384857466304
30,29,0.07919933085767555
31,26,2.6341482844610895
31,27,0.3516906914114796
31,28,0.1106443203892682
31,29,0.0689071684276558
31,30,0.07993414970304896
32,27,2.181992247318721
32,28,0.3125562303152838
32,29,0.10410811583498113
32,30,0.06709748883186854
32,31,0.08082825433582365
33,28,1.8222944892738713
33,29,0.27932157550352665
33,30,0.09840578284464853
33,31,0.06551736175857852
33,32,0.08188534890192077
34,29,1.5327631573731149
34,30,0.2509468153437398
34,31,0.09344251871042641
34,32,0.06415280608673221
34,33,0.08310988980966841
35,30,1.2980670616906234
35,31,0.22658765106707526
35,32,0.0891422157178241
35,33,0.06299285472519521
35,34,0.08450893106170662
36,31,1.1063953000850566
36,32,0.20557297641494968
36,33,0.08544088624116139
36,34,0.06202789976688169
36,35,0.08609093272678581
37,32,0.9489742955650475
37,33,0.18734418065748024
37,34,0.08228476664729356
37,35,0.061249292270731115
37,36,0.08786665560411921
