i,tau,E
0,inf,0.0
1,0.43003985329007105,0.0923
2,0.21840923609112006,0.18396
3,0.14789652745025583,0.27498
4,0.11266385775316069,0.36537
5,0.09154332315123412,0.45511
6,0.07747938440448146,0.54422
7,0.06744779981824447,0.63269
8,0.059936678590396614,0.72052
9,0.05410595293641063,0.80772
10,0.04945180127487327,0.89429
11,0.04565315129058028,0.98022
12,0.04249683704280784,1.06551
13,0.03983455915189175,1.15018
14,0.03756067674907239,1.23421
15,0.03559762179844171,1.31761
16,0.03388728119980329,1.40037
17,0.03238531863113329,1.48251
18,0.031057122823714253,1.56401
19,0.029875299493573693,1.64488
20,0.028817772195241877,1.72513
21,0.0278669684819061,1.80474
22,0.02700864723783409,1.88372
23,0.026230826072448577,1.96208
24,0.02552349618618795,2.03981
25,0.02487776757019482,2.1169
26,0.02428642051087082,2.19337
27,0.023743733815380332,2.26922
28,0.023245058717353568,2.34443
29,0.022787406874051362,2.41902
30,0.022366650540680738,2.49298
31,0.021901741744143752,2.56632
32,0.02106793429402436,2.63902
33,0.02026878302126865,2.71111
34,0.019528145581071146,2.78256
35,inf,2.85339
36,inf,2.9236
37,inf,2.99318
38,inf,3.06214
39,inf,3.13048
40,inf,3.19822
41,inf,3.26554
42,inf,3.33466
