i,tau,E
0,806172.4879209134,0.00013
1,0.04070569675408092,0.12434
2,0.8551285924533376,0.24733
3,21.292828728969944,0.36911
4,18513.291680529277,0.48968
5,9902.24622354817,0.60903
6,0.5566281449930869,0.69852
7,40967.3502476909,0.72717
8,0.08280646396574114,0.82381
9,23749.427438918512,0.84409
10,7400675.3344840165,0.86938
11,0.052284024801813475,0.94771
12,18642.843714318005,0.9598
13,0.10400945984842679,0.9855
14,280.74165080994476,1.06123
15,0.03957434309667248,1.07021
16,12402.269744879264,1.0743
17,4.955190987414948,1.10038
18,0.43543965508172533,1.17385
19,0.07956750112184886,1.18728
20,8943.676167255519,1.18758
21,0.032310068253044964,1.19133
22,0.009909615535428785,1.20085
23,27.204041998294493,1.21404
24,1.9659506160115306e-05,1.23529
25,1.967738738232354e-05,1.23931
26,0.04656514993289129,1.28045
27,0.0003962965328905129,1.29258
28,3485.772394471415,1.29965
29,0.017057860193392234,1.31104
30,0.04061982772627553,1.31182
31,0.016418066170759898,1.32391
32,38.847631546801104,1.32651
33,0.00014716982250043934,1.38952
34,2197.108134571399,1.4105
35,0.0007253978946157033,1.41701
36,0.016294180902006888,1.42936
37,92.18341989960912,1.43487
38,254.7457103083279,1.43761
39,0.02097563343169363,1.44576
40,0.00020879364009138198,1.49656
41,1812.157486618936,1.52014
42,0.0001226478865579732,1.54174
43,0.005809766735303692,1.54627
44,257.5059382086698,1.54758
45,0.00010403082912279748,1.55603
46,111.66842241862177,1.55642
47,0.008183388189406298,1.56605
48,0.004237900946271904,1.60219
49,577.4871171847739,1.62857
50,5142.9693725001325,1.6563
51,0.004931200373539542,1.66171
52,0.00011824104715138334,1.66667
53,3.1780235224766535e-05,1.66733
54,177.55511143647743,1.67646
55,0.007540162291751202,1.68488
56,0.0014201287123541896,1.7066
57,996.9750468010752,1.73578
58,15927.718803678683,1.76379
59,0.0035920304138420274,1.77573
60,4.337068810208987e-06,1.77806
61,0.0004070603852336627,1.78841
62,102.91674615022447,1.79501
63,0.006183332283583069,1.80222
64,0.002928365464476621,1.81004
65,485.21774053724187,1.84178
66,2276.6818289152884,1.87005
67,9.831554721907834e-06,1.88736
68,0.0003913868788273493,1.88797
69,0.005073029748691833,1.88816
70,0.00591364574675014,1.90893
71,77.20320214631799,1.91206
72,0.000913870360267026,1.91587
73,0.0057507474570993936,1.91815
74,434.0974233950845,1.94656
75,20157.10168964726,1.97508
76,3.166181846255294e-05,1.9953
77,0.005277330087779944,1.99859
78,0.000364054511755382,2.00356
79,0.0029329952907649385,2.0121
80,62.49968737228486,2.0276
81,0.0005147220201389216,2.03162
82,0.004969733450522661,2.03249
83,410.68101912545166,2.05013
84,29431.376453567293,2.07887
85,5.250793999055395e-05,2.10019
86,6.725241478915838e-05,2.10192
87,0.012330611786178367,2.10851
88,0.014798769758451747,2.11552
89,6.0325116288968116e-05,2.11765
90,78.11728983365343,2.14164
91,0.00804527898372628,2.14539
92,0.0009579807094672727,2.14917
93,343.6363847628572,2.15249
94,5.834408645682966e-05,2.16022
95,2638.8355820458837,2.18143
96,3.919282293420604e-05,2.20723
97,0.014146407267934822,2.20847
98,4.9291660479836695e-05,2.21512
99,0.016874017648924038,2.22135
100,9.220503691134685e-05,2.23025
101,0.00023337043440835445,2.2378
102,263.86211005748817,2.25363
103,57.277133371293516,2.25419
104,0.0037242583057830484,2.25682
105,0.0006334669224386499,2.26544
106,1.937435928328239e-05,2.26612
107,5132.0357748443685,2.28276
108,0.024358660085263103,2.30623
109,8.130159961868633e-05,2.31125
110,0.011081840735771465,2.32783
111,2.5465450615663887e-05,2.32895
112,0.0004102376730763689,2.34134
113,0.00020392989690974785,2.35332
114,265.525251004637,2.35355
115,0.0001415504724748731,2.35675
116,70.15811878042422,2.36524
117,0.00559169442881546,2.36676
118,2.8234602487280526e-07,2.37055
119,0.0004653003522196132,2.38005
120,1343.1953166169442,2.38287
121,0.01944544520073259,2.40269
122,0.00012136705940907097,2.41396
123,0.009170160383391714,2.43338
124,3.098082933505291e-05,2.44164
125,0.00038405512804227547,2.45093
126,271.43741006750423,2.45227
127,6.493478731462884e-05,2.46013
128,0.0001658312294016586,2.46699
129,4.27805714773358e-07,2.47356
130,0.9878145538387891,2.47478
131,0.013818743428831047,2.47517
132,7206.6612217255715,2.48178
133,0.00020086782615994143,2.49133
134,0.009299782624939223,2.49879
135,4.3729979301848165e-05,2.51539
136,1083095.0884396655,2.53302
137,0.007895119238765673,2.53769
138,80.37287890694763,2.54976
139,6.077754758498185e-05,2.55315
140,0.0004070623410813975,2.55902
141,0.00014228853809570243,2.56266
142,7.188111252447374e-07,2.5752
143,0.0001693472681369379,2.57883
144,12216.318684716201,2.57911
145,0.00810345215238992,2.58246
146,13.998708576465479,2.58283
147,0.0048950528522228665,2.59094
