i,State
0,X4Sigma-
1,X4Sigma-
2,X4Sigma-
3,X4Sigma-
4,X4Sigma-
5,X4Sigma-
6,a2Sigma-
7,X4Sigma-
8,a2Sigma-
9,X4Sigma-
10,Ap4Phi
11,a2Sigma-
12,X4Sigma-
13,Ap4Phi
14,b2Gamma
15,a2Sigma-
16,X4Sigma-
17,Ap4Phi
18,A4Pi
19,b2Gamma
20,X4Sigma-
21,a2Sigma-
22,c2Delta
23,Ap4Phi
24,0
25,0
26,A4Pi
27,d2Sigma+
28,X4Sigma-
29,a2Sigma-
30,b2Gamma
31,c2Delta
32,Ap4Phi
33,A4Pi
34,X4Sigma-
35,d2Sigma+
36,a2Sigma-
37,b2Gamma
38,Ap4Phi
39,c2Delta
40,A4Pi
41,X4Sigma-
42,d2Sigma+
43,a2Sigma-
44,Ap4Phi
45,B4Pi
46,b2Gamma
47,c2Delta
48,A4Pi
49,X4Sigma-
50,Ap4Phi
51,a2Sigma-
52,d2Sigma+
53,B4Pi
54,b2Gamma
55,c2Delta
56,A4Pi
57,X4Sigma-
58,Ap4Phi
59,a2Sigma-
60,B4Pi
61,d2Sigma+
62,b2Gamma
63,c2Delta
64,A4Pi
65,X4Sigma-
66,Ap4Phi
67,B4Pi
68,e2Phi
69,a2Sigma-
70,A4Pi
71,b2Gamma
72,d2Sigma+
73,c2Delta
74,X4Sigma-
75,Ap4Phi
76,B4Pi
77,a2Sigma-
78,e2Phi
79,A4Pi
80,b2Gamma
81,d2Sigma+
82,c2Delta
83,X4Sigma-
84,Ap4Phi
85,f2Pi
86,B4Pi
87,A4Pi
88,a2Sigma-
89,e2Phi
90,b2Gamma
91,c2Delta
92,d2Sigma+
93,X4Sigma-
94,C4Sigma-
95,Ap4Phi
96,B4Pi
97,A4Pi
98,f2Pi
99,a2Sigma-
100,e2Phi
101,g2Pi
102,X4Sigma-
103,b2Gamma
104,c2Delta
105,d2Sigma+
106,C4Sigma-
107,Ap4Phi
108,A4Pi
109,B4Pi
110,a2Sigma-
111,f2Pi
112,e2Phi
113,g2Pi
114,X4Sigma-
115,D4Delta
116,b2Gamma
117,c2Delta
118,C4Sigma-
119,d2Sigma+
120,Ap4Phi
121,A4Pi
122,B4Pi
123,a2Sigma-
124,f2Pi
125,e2Phi
126,X4Sigma-
127,D4Delta
128,g2Pi
129,C4Sigma-
130,b2Gamma
131,c2Delta
132,Ap4Phi
133,d2Sigma+
134,A4Pi
135,B4Pi
136,X
137,a2Sigma-
138,X4Sigma-
139,f2Pi
140,e2Phi
141,D4Delta
142,C4Sigma-
143,g2Pi
144,Ap4Phi
145,c2Delta
146,b2Gamma
147,A4Pi
148,d2Sigma+
149,B4Pi
150,X
151,a2Sigma-
152,X4Sigma-
153,f2Pi
154,D4Delta
155,e2Phi
156,C4Sigma-
157,Ap4Phi
158,A4Pi
159,c2Delta
160,g2Pi
161,b2Gamma
162,B4Pi
163,d2Sigma+
164,X4Sigma-
165,a2Sigma-
166,X
167,D4Delta
168,e2Phi
169,Ap4Phi
170,f2Pi
171,C4Sigma-
172,A4Pi
173,c2Delta
174,b2Gamma
175,g2Pi
176,B4Pi
177,d2Sigma+
178,X4Sigma-
179,a2Sigma-
180,X
181,Ap4Phi
182,D4Delta
183,A4Pi
184,C4Sigma-
185,e2Phi
186,f2Pi
187,c2Delta
188,b2Gamma
189,g2Pi
190,B4Pi
191,X4Sigma-
192,d2Sigma+
193,a2Sigma-
194,X
195,A4Pi
196,Ap4Phi
197,D4Delta
198,C4Sigma-
199,e2Phi
200,f2Pi
201,c2Delta
202,b2Gamma
203,B4Pi
204,g2Pi
205,X4Sigma-
206,d2Sigma+
207,a2Sigma-
208,A4Pi
209,Ap4Phi
210,X
211,D4Delta
212,C4Sigma-
213,e2Phi
214,f2Pi
215,c2Delta
216,B4Pi
217,b2Gamma
218,X4Sigma-
219,g2Pi
220,A4Pi
221,a2Sigma-
222,Ap4Phi
223,d2Sigma+
224,X
225,C4Sigma-
226,D4Delta
